Sh_x,Sh_y,Sh_z,El_x,El_y,El_z,Wr_x,Wr_y,Wr_z,WrVec_x,WrVec_y,WrVec_z,Trunk_x,Trunk_y,Trunk_z
-0.034864813,0.03476582,-0.11780713,0.13847278,0.12865837,0.57070136,0.015567257,-1.0620266,-2.0131667,-0.21147016,0.42246166,-0.03579264,-0.50847924,0.29425818,0.070799105
1.3649052,-0.71387935,-0.21026798,-1.8608285,1.5135434,1.6466099,-1.249613,0.24880792,-0.0815159,0.46990588,0.23180106,-0.6778627,-0.2645831,0.7125679,0.4997737
2.604602,-1.2531247,-0.28304595,-3.7686727,2.8942099,2.6530619,-2.3228235,1.8158064,2.1541107,1.1582252,-0.058659833,-1.2254623,0.0757523,1.071518,0.95456225
3.5720825,-1.3972098,-0.31755462,-5.536221,4.3012195,3.567875,-3.0712008,3.9070847,4.9743423,1.865548,-0.5303117,-1.6013241,0.5942063,1.3083309,1.4445319
4.2156925,-1.0176071,-0.29927194,-7.163289,5.7931137,4.4080286,-3.4360693,6.753089,8.577848,2.6027362,-1.2358427,-1.7547497,1.3489975,1.3624362,1.9585332
4.530138,-0.035920523,-0.2154119,-8.678999,7.4386263,5.2189865,-3.4119318,10.53421,13.090566,3.3797898,-2.20055,-1.6553338,2.3725064,1.1683524,2.4661481
4.5405226,1.5872039,-0.053128432,-10.123479,9.300595,6.064082,-3.0248818,15.372523,18.580837,4.206741,-3.426199,-1.2877076,3.6734486,0.6551259,2.9246712
4.2892723,3.8617625,0.19999975,-11.534937,11.424424,7.0152073,-2.3173532,21.329386,25.072601,5.0942492,-4.89559,-0.64921236,5.2411113,-0.2462487,3.2891188
3.8256085,6.7764792,0.5535509,-12.941704,13.831687,8.143315,-1.3392575,28.410831,32.557148,6.0535555,-6.5776324,0.2513959,7.0491004,-1.5908746,3.5217884
3.1982284,10.304835,1.0118788,-14.358042,16.518965,9.509997,-0.14309672,36.575638,41.002045,7.0956736,-8.432328,1.3953577,9.057562,-3.4079006,3.598701
2.451279,14.408288,1.5733196,-15.782304,19.460066,11.162557,1.220434,45.74216,50.35432,8.230209,-10.414882,2.755722,11.214475,-5.6918354,3.5118783
1.6227187,19.03653,2.2309306,-17.197556,22.609648,13.132927,2.7064052,55.794334,60.535877,9.464353,-12.478353,4.2991905,13.457082,-8.398722,3.2675
0.74412614,24.126343,2.973999,-18.575106,25.907368,15.43848,4.277505,66.58676,71.435616,10.802078,-14.5750265,5.9877796,15.714675,-11.447534,2.8813798
-0.15860294,29.601227,3.78935,-19.880154,29.28282,18.082268,5.9031386,77.94925,82.908005,12.243297,-16.657566,7.7806296,17.913204,-14.726507,2.374335
-1.0643148,35.37337,4.6619844,-21.07794,32.661697,21.052362,7.5564895,89.69288,94.782196,13.782918,-18.680962,9.636426,19.980812,-18.102772,1.7696517
-1.9557203,41.348057,5.5755353,-22.13901,35.97252,24.322268,9.21131,101.61848,106.87599,15.41014,-20.60527,11.516073,21.852724,-21.432611,1.093305
-2.8182247,47.42879,6.5131297,-23.043007,39.15223,27.85385,10.839949,113.52639,119.0075,17.10824,-22.398249,13.384649,23.473978,-24.56977,0.37613013
-3.6382399,53.521576,7.458718,-23.781355,42.149727,31.60293,12.412675,125.227776,131.00258,18.85494,-24.036932,15.212518,24.799011,-27.370516,-0.3435362
-4.4014378,59.53792,8.398607,-24.359358,44.927223,35.52706,13.897693,136.5577,142.70099,20.623241,-25.507812,16.976381,25.788208,-29.696198,-1.0182902
-5.0917993,65.396935,9.322828,-24.797565,47.460102,39.59363,15.261695,147.38788,153.96335,22.382557,-26.805742,18.660793,26.402966,-31.415419,-1.5925426
-5.692159,71.02637,10.225886,-25.131222,49.73574,43.784916,16.471148,157.6339,164.6781,24.099873,-27.932121,20.259653,26.601927,-32.40775,-2.0066502
-6.186229,76.36272,11.106627,-25.407053,51.751247,48.097584,17.494232,167.25243,174.76527,25.740894,-28.892994,21.776897,26.341139,-32.569843,-2.2039082
-6.5613866,81.35135,11.967259,-25.67771,53.510258,52.537556,18.303013,176.22993,184.17667,27.271366,-29.697544,23.226076,25.579275,-31.823996,-2.138673
-6.8113556,85.94748,12.811852,-25.995466,55.02,57.11327,18.875565,184.56866,192.89417,28.658913,-30.356932,24.628807,24.286362,-30.128248,-1.7832028
-6.9381704,90.11802,13.644648,-26.406855,56.29031,61.829506,19.197922,192.27594,200.92819,29.875607,-30.88314,26.011883,22.452696,-27.486229,-1.1312457
-6.9530196,93.84318,14.468496,-26.949171,57.3348,66.68209,19.265623,199.35944,208.31625,30.900814,-31.287704,27.403236,20.095316,-23.95422,-0.19773068
-6.8756003,97.117035,15.283888,-27.64865,58.172474,71.65408,19.08449,205.8268,215.11978,31.723312,-31.58065,28.827732,17.26127,-19.643368,0.9848132
-6.731863,99.94732,16.08885,-28.519247,58.82758,76.71436,18.670368,211.68607,221.41823,32.341713,-31.770044,30.30402,14.027624,-14.715599,2.3719451
-6.550643,102.35465,16.879509,-29.561277,59.326855,81.818695,18.047598,216.94565,227.29967,32.763065,-31.862175,31.842943,10.497271,-9.372998,3.91387
-6.360208,104.37136,17.650723,-30.76009,59.695625,86.91201,17.24632,221.61497,232.8481,33.000633,-31.861881,33.44718,6.7898636,-3.8421915,5.5614896
-6.185579,106.03948,18.396477,-32.08632,59.955654,91.931114,16.2991,225.70956,238.12978,33.071976,-31.772669,35.11156,3.0291862,1.6439258,7.2706156
-6.0468183,107.40843,19.110193,-33.499226,60.126907,96.80839,15.23786,229.25963,243.18378,32.997738,-31.59699,36.824017,-0.6698174,6.8653383,9.003834
-5.9579115,108.5329,19.785337,-34.953266,60.232746,101.47787,14.092287,232.31763,248.02159,32.800877,-31.337538,38.56728,-4.210938,11.634064,10.730976
-5.9257555,109.47103,20.416452,-36.406048,60.30528,105.88337,12.889853,234.95825,252.63443,32.506,-30.999695,40.320915,-7.5214653,15.811699,12.429787
-5.9491453,110.2817,21.000355,-37.82497,60.38677,109.98618,11.656297,237.2698,257.00275,32.138634,-30.594078,42.06308,-10.551658,19.321938,14.086977
-6.018324,111.020676,21.536972,-39.190697,60.52555,113.7693,10.415355,239.34183,261.1038,31.724255,-30.137493,43.77204,-13.270763,22.154217,15.698182
-6.1160583,111.73664,22.029308,-40.496998,60.76856,117.236496,9.187873,241.2552,264.91675,31.287111,-29.65158,45.427513,-15.662799,24.357222,17.265709
-6.220557,112.46842,22.482483,-41.747475,61.153748,120.406654,7.9914017,243.07669,268.42578,30.848795,-29.159645,47.01146,-17.724363,26.024443,18.79463
-6.309371,113.2435,22.902264,-42.950336,61.704624,123.305984,6.840861,244.8566,271.62152,30.42681,-28.683058,48.507797,-19.464052,27.275312,20.288616
-6.362853,114.07721,23.29376,-44.11285,62.427715,125.96096,5.7499924,246.62811,274.5011,30.03366,-28.238539,49.901306,-20.901405,28.235094,21.746601
-6.3662496,114.972275,23.660673,-45.237232,63.31265,128.39374,4.73282,248.40782,277.0668,29.676947,-27.836895,51.176933,-22.064217,29.016434,23.16081
-6.310401,115.91916,24.005146,-46.31891,64.334465,130.62029,3.804274,250.1977,279.3234,29.360283,-27.483038,52.320465,-22.98471,29.705463,24.516329
-6.1916366,116.897835,24.328098,-47.346905,65.457275,132.65054,2.979496,251.98828,281.27686,29.084465,-27.17683,53.320515,-23.695784,30.35449,25.791601
-6.0114517,117.88095,24.62978,-48.305405,66.63836,134.48997,2.272027,253.76212,282.93463,28.84821,-26.914402,54.17114,-24.227943,30.981207,26.959034
-5.77618,118.83752,24.910255,-49.17571,67.83203,136.14087,1.6917676,255.49602,284.30746,28.648413,-26.689667,54.87391,-24.60693,31.572554,27.985165
-5.496506,119.73611,25.169617,-49.938072,68.99275,137.60321,1.243712,257.162,285.41028,28.480206,-26.495867,55.438656,-24.85158,32.090656,28.830399
-5.186595,120.54715,25.407848,-50.573418,70.07764,138.87508,0.9278269,258.72794,286.26282,28.337225,-26.32707,55.88257,-24.971878,32.479095,29.448702
-4.862722,121.2446,25.62452,-51.06513,71.04866,139.9538,0.739636,260.1598,286.89023,28.212345,-26.179491,56.227962,-24.967405,32.668713,29.78774
-4.541572,121.80748,25.8185,-51.401093,71.87506,140.83829,0.67065847,261.4255,287.3244,28.098797,-26.052464,56.49914,-24.826754,32.58283,29.790243
-4.2386007,122.22156,25.987762,-51.57594,72.535706,141.53151,0.70799917,262.49924,287.60486,27.991371,-25.948853,56.71883,-24.528557,32.141926,29.397566
-3.966917,122.48098,26.129244,-51.592907,73.02124,142.04105,0.8328847,263.363,287.77716,27.887308,-25.874786,56.90442,-24.044733,31.268206,28.556526
-3.736997,122.589134,26.238657,-51.464638,73.33491,142.37547,1.018515,264.00327,287.88712,27.78658,-25.838776,57.063995,-23.346169,29.890718,27.230015
-3.5572667,122.55777,26.310123,-51.212074,73.49121,142.53615,1.2279671,264.40125,287.969,27.691479,-25.850203,57.19221,-22.410286,27.95222,25.410429
-3.4353356,122.4034,26.335812,-50.861523,73.512505,142.50618,1.4130012,264.5189,288.02948,27.60543,-25.917162,57.266773,-21.228697,25.41862,23.132347
-3.3794358,122.14128,26.305887,-50.44085,73.42495,142.24197,1.5147152,264.28705,288.03192,27.531025,-26.043911,57.247185,-19.811758,22.290737,20.478487
-3.399527,121.778366,26.20903,-49.97624,73.255554,141.67159,1.4671135,263.60294,287.88962,27.467546,-26.228895,57.07707,-18.186993,18.615484,17.5733
-3.5075905,121.30715,26.0333,-49.489662,73.02989,140.70087,1.2039837,262.337,287.47137,27.408766,-26.464176,56.689537,-16.39147,14.49075,14.563646
-3.716937,120.70229,25.766787,-48.99632,72.768845,139.2244,0.66776717,260.34372,286.615,27.342018,-26.736055,56.01374,-14.462714,10.059015,11.593379
-4.040762,119.921135,25.39787,-48.50173,72.48389,137.13724,-0.18206495,257.4724,285.1425,27.249264,-27.026098,54.981583,-12.433467,5.489734,8.782041
-4.4904003,118.90811,24.915562,-47.99963,72.17293,134.34564,-1.3629309,253.57916,282.87253,27.109947,-27.312267,53.534718,-10.331648,0.95562464,6.214017
-5.0734773,117.60187,24.310658,-47.471874,71.81875,130.7765,-2.8658135,248.54092,279.63116,26.904512,-27.570156,51.631966,-8.183214,-3.3909883,3.9375749
-5.791853,115.94289,23.577692,-46.890846,71.39021,126.38701,-4.654589,242.26906,275.26376,26.617134,-27.774004,49.256058,-6.015247,-7.436279,1.9694237
-6.6395564,113.879906,22.717077,-46.22385,70.84546,121.173515,-6.667907,234.71962,269.6494,26.237068,-27.8974,46.418125,-3.8580074,-11.112725,0.30142146
-7.601438,111.37417,21.736387,-45.438526,70.135994,115.17718,-8.823566,225.89915,262.71542,25.758749,-27.914099,43.15893,-1.745505,-14.394898,-1.0917395
-8.653257,108.40198,20.65036,-44.50787,69.211205,108.48401,-11.025307,215.86612,254.44777,25.181047,-27.799232,39.54702,0.2857297,-17.286499,-2.2444024
-9.763384,104.95648,19.479721,-43.413754,68.02306,101.21936,-13.171489,204.7291,244.8941,24.505938,-27.530785,35.674572,2.1993654,-19.804998,-3.192476
-10.895643,101.04913,18.24928,-42.14833,66.53071,93.53791,-15.164461,192.64267,234.15973,23.736887,-27.091124,31.65205,3.962446,-21.969454,-3.9678276
-12.012557,96.710236,16.985748,-40.713566,64.70443,85.6108,-16.91903,179.80226,222.39798,22.877502,-26.46853,27.601812,5.5476975,-23.79398,-4.5950704
