Sh_x,Sh_y,Sh_z,El_x,El_y,El_z,Wr_x,Wr_y,Wr_z,WrVec_x,WrVec_y,WrVec_z
-78.29725,650.9714,300.32086,-186.79254,474.17764,45.302326,-89.481224,246.00452,49.87716,-35.061253,9.824472,-32.208305
-77.60254,650.2663,300.20688,-187.67123,474.76285,44.516235,-88.11511,246.79431,53.171318,-33.97628,8.684099,-32.969505
-77.00272,649.6855,300.1042,-188.64188,475.48877,43.709415,-86.77988,247.97592,56.80681,-32.8539,7.458636,-33.698242
-76.561424,649.3267,300.02338,-189.76352,476.45126,42.882706,-85.4964,249.9052,61.134552,-31.660778,6.072632,-34.346527
-76.30437,649.24817,299.97165,-191.05296,477.69345,42.0491,-84.26675,252.85342,66.4685,-30.372007,4.4669,-34.85997
-76.22877,649.47437,299.9533,-192.48782,479.20236,41.24328,-83.08098,257.0013,73.05146,-28.975336,2.6063788,-35.177837
-76.31369,650.0047,299.97083,-194.01788,480.9165,40.52502,-81.926414,262.44067,81.0286,-27.472654,0.48463663,-35.236935
-76.5282,650.82074,300.0258,-195.57855,482.74026,39.974693,-80.796486,269.17902,90.43601,-25.878971,-1.876035,-34.978012
-76.83777,651.89264,300.1192,-197.10298,484.56055,39.683193,-79.696945,277.1488,101.20595,-24.219414,-4.4289584,-34.35284
-77.20909,653.1838,300.25146,-198.53152,486.2632,39.73936,-78.64732,286.22025,113.18385,-22.525137,-7.110534,-33.330406
-77.61336,654.654,300.4223,-199.81805,487.7465,40.217415,-77.67757,296.217,126.15118,-20.829279,-9.848797,-31.90068
-78.027954,656.2623,300.63052,-200.93277,488.92935,41.167027,-76.82101,306.9331,139.84975,-19.163761,-12.571243,-30.075275
-78.43655,657.9682,300.87415,-201.86147,489.75543,42.608063,-76.10634,318.14926,154.00563,-17.557064,-15.211002,-27.885279
-78.82807,659.7329,301.15048,-202.60304,490.19238,44.53109,-75.55138,329.64676,168.35043,-16.032848,-17.711166,-25.377314
-79.19509,661.5201,301.45654,-203.16652,490.22925,46.90309,-75.16048,341.21838,182.6376,-14.6093445,-20.027306,-22.60875
-79.53225,663.29663,301.78918,-203.5687,489.8731,49.676094,-74.92559,352.67654,196.65167,-13.299584,-22.128239,-19.642643
-79.835106,665.0335,302.14548,-203.83208,489.14557,52.79553,-74.82972,363.86075,210.21117,-12.112224,-23.995306,-16.54289
-80.0996,666.7064,302.52267,-203.98285,488.07904,56.206097,-74.85085,374.6435,223.16805,-11.05238,-25.620686,-13.370151
-80.322235,668.2969,302.91803,-204.0484,486.7135,59.85476,-74.96524,384.93353,235.4071,-10.121976,-27.0054,-10.17891
-80.50064,669.79285,303.32822,-204.05516,485.09348,63.691704,-75.14965,394.67477,246.84663,-9.319661,-28.157427,-7.0159025
-80.63439,671.18854,303.74908,-204.02696,483.26593,67.67005,-75.38269,403.83975,257.43884,-8.640917,-29.08989,-3.919914
-80.725494,672.4835,304.17532,-203.98428,481.27817,71.74494,-75.64558,412.41934,267.16757,-8.078755,-29.819345,-0.9227003
-80.778404,673.6803,304.6009,-203.9442,479.17673,75.872246,-75.922615,420.4127,276.04303,-7.6247516,-30.364452,1.9496951
-80.79968,674.7822,305.01923,-203.92073,477.0062,80.00743,-76.201706,427.8213,284.09427,-7.269815,-30.745327,4.6759863
-80.79736,675.7914,305.42368,-203.92493,474.80835,84.10428,-76.474785,434.6466,291.36035,-7.0044312,-30.983389,7.2391915
-80.78024,676.7083,305.80798,-203.96436,472.6218,88.114,-76.73787,440.8893,297.88254,-6.8186636,-31.100992,9.626149
