File,Status,IK_Error_mm,Time
S5_12_1.csv,OK,17.5840,23.12
S11_12_1.csv,OK,32.4048,26.32
S11_12_2.csv,OK,27.2115,26.24
S11_12_3.csv,OK,30.3445,33.75
S12_12_1.csv,OK,52.3747,33.43
S12_12_2.csv,FAIL,N/A,1.72
S12_12_3.csv,FAIL,N/A,1.73
S13_12_1.csv,OK,21.9681,26.23
S13_12_2.csv,OK,21.5852,24.46
S13_12_3.csv,OK,21.1130,26.37
S14_12_1.csv,OK,49.9735,35.13
S14_12_2.csv,OK,53.1242,35.51
S14_12_3.csv,OK,52.2409,35.53
S16_12_1.csv,OK,61.7043,22.11
S16_12_2.csv,OK,59.4450,23.17
S16_12_3.csv,OK,62.9926,22.1
S19_12_1.csv,FAIL,N/A,1.94
S19_12_2.csv,FAIL,N/A,1.93
S19_12_3.csv,FAIL,N/A,2.18
S1_12_1.csv,OK,27.6154,58.48
S1_12_2.csv,OK,25.3082,27.93
S1_12_3.csv,OK,25.1650,40.9
S3_12_1.csv,OK,12.8740,15.52
S3_12_2.csv,OK,25.3527,18.38
S3_12_3.csv,OK,14.6673,21.31
S4_12_1.csv,OK,23.6185,21.79
S4_12_2.csv,OK,24.2195,19.9
S4_12_3.csv,OK,23.5915,18.16
S5_12_2.csv,OK,15.7140,25.18
S5_12_3.csv,OK,15.7311,24.48
