Sh_x,Sh_y,Sh_z,El_x,El_y,El_z,Wr_x,Wr_y,Wr_z,WrVec_x,WrVec_y,WrVec_z
-159.02927,84.870155,37.05736,-244.9221,-89.60196,-227.95908,-201.03082,-297.2479,-220.15619,-66.96895,-11.303239,-11.313574
-159.02927,84.870155,37.05736,-240.09712,-90.98314,-225.47351,-192.61528,-293.12338,-223.05429,-67.915955,-11.429753,-11.620773
-159.02927,84.870155,37.05736,-239.99626,-95.721306,-222.07515,-188.09558,-284.70663,-217.63628,-67.90416,-14.131752,-10.219051
-159.02927,84.870155,37.05736,-241.7509,-98.48659,-222.08492,-186.16563,-282.53015,-213.89467,-67.83624,-15.879022,-9.922866
-159.02927,84.870155,37.05736,-243.49117,-102.17605,-222.51524,-185.22388,-286.44092,-208.79947,-66.95043,-17.302792,-11.3601055
-159.02927,84.870155,37.05736,-244.35976,-106.624306,-220.93654,-184.38617,-293.7405,-202.07544,-65.79255,-18.474957,-13.142438
-159.02927,84.870155,37.05736,-244.06668,-110.36584,-217.46269,-183.04375,-301.89084,-195.82883,-64.871544,-19.088928,-14.541626
-159.02927,84.870155,37.05736,-243.48051,-113.603584,-213.94029,-180.88997,-309.99982,-191.24359,-64.12058,-19.54985,-15.748213
-159.02927,84.870155,37.05736,-243.39542,-116.88664,-211.71878,-178.17757,-318.62482,-188.71939,-63.52957,-20.16195,-17.060883
-159.02927,84.870155,37.05736,-243.76018,-120.61587,-210.26358,-174.81029,-327.9194,-187.12354,-63.05106,-20.902266,-18.402895
-159.02927,84.870155,37.05736,-244.13577,-124.78269,-208.73483,-170.73946,-337.33997,-185.27638,-62.67508,-21.560575,-19.619345
-159.02927,84.870155,37.05736,-244.2014,-129.10213,-207.0245,-166.13658,-346.16034,-183.34457,-62.398926,-21.962687,-20.745296
-159.02927,84.870155,37.05736,-243.76244,-133.2352,-205.5049,-161.10023,-353.64874,-182.2477,-62.163807,-22.107944,-21.884264
-159.02927,84.870155,37.05736,-242.80864,-136.8809,-204.4146,-155.68466,-359.49515,-182.42523,-61.89264,-22.104862,-23.07969
-159.02927,84.870155,37.05736,-241.58083,-139.74661,-203.79195,-150.22867,-363.6386,-183.50836,-61.534294,-22.083183,-24.31473
-159.02927,84.870155,37.05736,-240.46292,-141.55547,-203.63994,-145.26755,-365.79846,-184.46931,-61.0308,-22.187952,-25.570293
-159.02927,84.870155,37.05736,-239.72502,-142.25394,-203.92223,-140.93124,-365.69965,-184.24333,-60.27803,-22.577868,-26.881348
-159.02927,84.870155,37.05736,-239.33344,-142.13997,-204.50677,-136.90994,-363.7737,-182.8116,-59.23122,-23.248447,-28.272348
-159.02927,84.870155,37.05736,-238.97298,-141.74002,-205.16585,-133.02197,-361.15988,-181.23781,-57.999363,-23.967505,-29.625402
-159.02927,84.870155,37.05736,-238.29088,-141.57549,-205.63104,-129.25174,-358.78583,-180.0031,-56.71911,-24.594685,-30.776379
-159.02927,84.870155,37.05736,-237.175,-141.8949,-205.7412,-125.64979,-356.68744,-178.44653,-55.44463,-25.212275,-31.670328
-159.02927,84.870155,37.05736,-235.80083,-142.58893,-205.51321,-122.554306,-354.48056,-176.09364,-54.20529,-25.891085,-32.33121
-159.02927,84.870155,37.05736,-234.48273,-143.35101,-205.05034,-120.485886,-352.10104,-173.3283,-53.046017,-26.58641,-32.808895
-159.02927,84.870155,37.05736,-233.50961,-143.92535,-204.4634,-119.65054,-349.77585,-170.77618,-51.998177,-27.266878,-33.137177
-159.02927,84.870155,37.05736,-233.03706,-144.24994,-203.83902,-119.69752,-347.49094,-168.6031,-51.059864,-27.997204,-33.270695
-159.02927,84.870155,37.05736,-233.05647,-144.40524,-203.21837,-119.97968,-344.7841,-166.47572,-50.194252,-28.872856,-33.101494
-159.02927,84.870155,37.05736,-233.46683,-144.45908,-202.59807,-119.95517,-340.9975,-163.89218,-49.33685,-29.963543,-32.546963
-159.02927,84.870155,37.05736,-234.15588,-144.41531,-201.94789,-119.378624,-335.65762,-160.4347,-48.425663,-31.31066,-31.60275
-159.02927,84.870155,37.05736,-235.02834,-144.27304,-201.20905,-118.282295,-328.70358,-155.85011,-47.43423,-32.92374,-30.327297
-159.02927,84.870155,37.05736,-236.01495,-144.08444,-200.26219,-116.89394,-320.44894,-150.04926,-46.381805,-34.768097,-28.787086
-159.02927,84.870155,37.05736,-237.08023,-143.99521,-198.92654,-115.567375,-311.4021,-143.0922,-45.32238,-36.7652,-27.017159
-159.02927,84.870155,37.05736,-238.21254,-144.26292,-197.0643,-114.68384,-302.14496,-135.09326,-44.313812,-38.823505,-25.057165
-159.02927,84.870155,37.05736,-239.41696,-145.10947,-194.66588,-114.466125,-293.16492,-126.003815,-43.363018,-40.896084,-23.021187
-159.02927,84.870155,37.05736,-240.7062,-146.42096,-191.80205,-114.84499,-284.52203,-115.58574,-42.385654,-42.999504,-21.06493
-159.02927,84.870155,37.05736,-242.04787,-147.74771,-188.68407,-115.591064,-275.81842,-103.771904,-41.25511,-45.148827,-19.281666
-159.02927,84.870155,37.05736,-243.37094,-148.57326,-185.70154,-116.54278,-266.5786,-90.94527,-39.921055,-47.305862,-17.649405
-159.02927,84.870155,37.05736,-244.61563,-148.51834,-183.23134,-117.64348,-256.58487,-77.811806,-38.459328,-49.40776,-16.051998
-159.02927,84.870155,37.05736,-245.73878,-147.50385,-181.42877,-118.83766,-245.9201,-65.01829,-37.0032,-51.40838,-14.350255
-159.02927,84.870155,37.05736,-246.69337,-145.7659,-180.20439,-119.995026,-234.80368,-52.864693,-35.64859,-53.288162,-12.45369
