Sh_x,Sh_y,Sh_z,El_x,El_y,El_z,Wr_x,Wr_y,Wr_z,WrVec_x,WrVec_y,WrVec_z
-42.994858,23.19219,20.413883,-73.90963,-27.599543,-48.968704,-51.340096,-73.28826,-29.26288,-14.236997,-8.663395,-4.3810544
-102.391914,55.135384,48.33939,-176.06775,-65.84592,-116.4581,-121.849335,-174.38614,-69.58655,-33.93568,-20.630772,-10.53225
-137.23618,73.830215,64.67607,-235.98624,-88.332634,-156.02641,-163.16269,-233.635,-93.242455,-45.527668,-27.668945,-14.130879
-145.48102,78.25631,68.55104,-250.16393,-93.658264,-165.39043,-172.94496,-247.65674,-98.8439,-48.273975,-29.335968,-14.983087
-146.94485,79.042725,69.24096,-252.67993,-94.6037,-167.05278,-174.6833,-250.14621,-99.8387,-48.76175,-29.631128,-15.134328
-147.21349,79.187126,69.3679,-253.14128,-94.777176,-167.35771,-175.00253,-250.60297,-100.02121,-48.851265,-29.684986,-15.162056
-147.26701,79.215935,69.39325,-253.23308,-94.81175,-167.41841,-175.06618,-250.69391,-100.05754,-48.869102,-29.695618,-15.167575
-147.27876,79.22225,69.39881,-253.25317,-94.819336,-167.43172,-175.08011,-250.71384,-100.06548,-48.87301,-29.697922,-15.168782
-147.28163,79.223785,69.40018,-253.25806,-94.82118,-167.43495,-175.08353,-250.7187,-100.06742,-48.87396,-29.698471,-15.169078
-147.28242,79.22421,69.40054,-253.2594,-94.8217,-167.43585,-175.08443,-250.72003,-100.067955,-48.87423,-29.698622,-15.169159
-147.28267,79.22435,69.40067,-253.25986,-94.82187,-167.43611,-175.08472,-250.72046,-100.06813,-48.87431,-29.698666,-15.169186
-147.28275,79.224396,69.4007,-253.25998,-94.82193,-167.43623,-175.08484,-250.72061,-100.06818,-48.87434,-29.69868,-15.169193
-147.28278,79.22442,69.40073,-253.26004,-94.821945,-167.43626,-175.0849,-250.72067,-100.068214,-48.87435,-29.698687,-15.169197
-147.28279,79.224434,69.40074,-253.26009,-94.82196,-167.4363,-175.0849,-250.72069,-100.06822,-48.874355,-29.698689,-15.169199
-147.28282,79.224434,69.40074,-253.2601,-94.82196,-167.4363,-175.08492,-250.72073,-100.06823,-48.87436,-29.69869,-15.169199
-147.28282,79.224434,69.40074,-253.2601,-94.82197,-167.43631,-175.08493,-250.72073,-100.06823,-48.87436,-29.69869,-15.169199
-147.28282,79.22444,69.40074,-253.2601,-94.82197,-167.43631,-175.08493,-250.72073,-100.06823,-48.87436,-29.69869,-15.1692
-147.28282,79.22444,69.40074,-253.26012,-94.82197,-167.43631,-175.08493,-250.72073,-100.06823,-48.87436,-29.698694,-15.1692
-147.28282,79.22444,69.40074,-253.26012,-94.82197,-167.43631,-175.08493,-250.72075,-100.06823,-48.87436,-29.698694,-15.1692
-147.28282,79.22444,69.40074,-253.26012,-94.82197,-167.43631,-175.08493,-250.72075,-100.06823,-48.87436,-29.698694,-15.1692
-147.28282,79.22444,69.40074,-253.26012,-94.82197,-167.43631,-175.08493,-250.72075,-100.06824,-48.87436,-29.698694,-15.1692
-147.28284,79.22444,69.40074,-253.26012,-94.82197,-167.43631,-175.08493,-250.72075,-100.06824,-48.874363,-29.698694,-15.1692
-147.28284,79.22444,69.40075,-253.26012,-94.82197,-167.43631,-175.08493,-250.72075,-100.06824,-48.874363,-29.698694,-15.1692
-147.28284,79.22444,69.40075,-253.26012,-94.82197,-167.43631,-175.08493,-250.72075,-100.06824,-48.874363,-29.698694,-15.1692
-147.28284,79.22444,69.40075,-253.26012,-94.82197,-167.43631,-175.08493,-250.72075,-100.06824,-48.874367,-29.698694,-15.1692
-147.28284,79.22444,69.40075,-253.26012,-94.82197,-167.43631,-175.08493,-250.72075,-100.06824,-48.874367,-29.698694,-15.1692
-147.28284,79.22444,69.40075,-253.26012,-94.82197,-167.43631,-175.08493,-250.72075,-100.06824,-48.874367,-29.698694,-15.1692
-147.28284,79.22444,69.40075,-253.26012,-94.82197,-167.43631,-175.08493,-250.72075,-100.06824,-48.874367,-29.698694,-15.1692
-147.28284,79.22444,69.40075,-253.26012,-94.82197,-167.43631,-175.08493,-250.72075,-100.06824,-48.874367,-29.698694,-15.1692
-147.28284,79.22444,69.40075,-253.26012,-94.82197,-167.43631,-175.08493,-250.72075,-100.06824,-48.874367,-29.698694,-15.1692
-147.28284,79.22444,69.40075,-253.26012,-94.82197,-167.43631,-175.08493,-250.72075,-100.06824,-48.874367,-29.698694,-15.1692
-147.28284,79.22444,69.40075,-253.26012,-94.82197,-167.43631,-175.08493,-250.72075,-100.06824,-48.874367,-29.698694,-15.1692
-147.28284,79.22444,69.40075,-253.26012,-94.82197,-167.43631,-175.08493,-250.72075,-100.06824,-48.874367,-29.698694,-15.1692
-147.28284,79.22444,69.40075,-253.26012,-94.82197,-167.43631,-175.08493,-250.72075,-100.06824,-48.874367,-29.698694,-15.1692
-147.28284,79.22444,69.40075,-253.26012,-94.82197,-167.43631,-175.08493,-250.72075,-100.06824,-48.874367,-29.698694,-15.1692
-147.28284,79.22444,69.40075,-253.26012,-94.82197,-167.43631,-175.08493,-250.72075,-100.06824,-48.874367,-29.698694,-15.1692
-147.28284,79.22444,69.40075,-253.26012,-94.82197,-167.43631,-175.08493,-250.72075,-100.06824,-48.874367,-29.698694,-15.1692
-147.28284,79.22444,69.40075,-253.26012,-94.82197,-167.43631,-175.08493,-250.72075,-100.06824,-48.874367,-29.698694,-15.1692
-147.28284,79.22444,69.40075,-253.26012,-94.82197,-167.43631,-175.08493,-250.72075,-100.06824,-48.874367,-29.698694,-15.1692
-147.28284,79.22444,69.40075,-253.26012,-94.82197,-167.43631,-175.08493,-250.72075,-100.06824,-48.874367,-29.698694,-15.1692
-147.28284,79.22444,69.40075,-253.26012,-94.82197,-167.43631,-175.08493,-250.72075,-100.06824,-48.874367,-29.698694,-15.1692
-147.28284,79.22444,69.40075,-253.26012,-94.82197,-167.43631,-175.08493,-250.72075,-100.06824,-48.874367,-29.698694,-15.1692
-147.28284,79.22444,69.40075,-253.26012,-94.82197,-167.43631,-175.08493,-250.72075,-100.06824,-48.874367,-29.698694,-15.1692
-147.28284,79.22444,69.40075,-253.26012,-94.82197,-167.43631,-175.08493,-250.72075,-100.06824,-48.874367,-29.698694,-15.1692
-147.28284,79.22444,69.40075,-253.26012,-94.82197,-167.43631,-175.08493,-250.72075,-100.06824,-48.874367,-29.698694,-15.1692
-147.28284,79.22444,69.40075,-253.26012,-94.82197,-167.43631,-175.08493,-250.72075,-100.06824,-48.874367,-29.698694,-15.1692
-147.28284,79.22444,69.40075,-253.26012,-94.82197,-167.43631,-175.08493,-250.72075,-100.06824,-48.874367,-29.698694,-15.1692
