Sh_x,Sh_y,Sh_z,El_x,El_y,El_z,Wr_x,Wr_y,Wr_z,WrVec_x,WrVec_y,WrVec_z
-0.15464336,0.08693388,0.05908578,-0.2743697,-0.056766912,-0.2074572,-0.26223963,-0.2937583,-0.19747728,-0.070032366,-0.0057509206,-0.010090038
-0.15142927,0.08406137,0.05795208,-0.26462433,-0.05522452,-0.20003854,-0.24884601,-0.28096962,-0.19231702,-0.067518435,-0.0017322397,-0.013243632
-0.15336625,0.086334676,0.059894554,-0.2736326,-0.056171343,-0.20095724,-0.25539264,-0.2877246,-0.19616938,-0.06820477,-0.0023202496,-0.012422227
-0.15288681,0.08528529,0.06069472,-0.2729556,-0.05846097,-0.19780439,-0.25237903,-0.28338048,-0.1904893,-0.067697056,-0.002705673,-0.012498827
-0.15302962,0.08396024,0.061989572,-0.27297917,-0.061072905,-0.19634807,-0.25008607,-0.2831977,-0.1858849,-0.06710372,-0.0038730218,-0.013131519
-0.15334222,0.08224328,0.063273005,-0.27237156,-0.06375881,-0.19546618,-0.24685496,-0.28491938,-0.18196808,-0.06632943,-0.0052957055,-0.014320238
-0.15387994,0.08047425,0.06444787,-0.27166447,-0.066394344,-0.19494528,-0.2429666,-0.2884405,-0.17911656,-0.06552875,-0.0068758843,-0.01576057
-0.15454796,0.07873242,0.06545095,-0.27082917,-0.06897345,-0.19441721,-0.23829933,-0.29296586,-0.17700775,-0.06472933,-0.008505869,-0.017246062
-0.1552799,0.077047534,0.06632737,-0.26992577,-0.071531646,-0.19372642,-0.23295179,-0.2980054,-0.17538193,-0.06393018,-0.010122475,-0.018674895
-0.15600738,0.07540992,0.06715269,-0.26899317,-0.074122205,-0.19281326,-0.2270676,-0.30318084,-0.1740057,-0.06311251,-0.011679138,-0.02003026
-0.15667462,0.07380517,0.067996025,-0.26807538,-0.07679193,-0.19167763,-0.22080821,-0.30820933,-0.1726846,-0.062261354,-0.01314868,-0.021330914
-0.15724222,0.07222741,0.06889835,-0.26721504,-0.07956567,-0.19034494,-0.21431835,-0.31285506,-0.17123666,-0.061372045,-0.014523911,-0.022594113
-0.1576878,0.07068544,0.06986862,-0.26645213,-0.08243809,-0.18885136,-0.20771559,-0.3169075,-0.16947852,-0.060449827,-0.015820026,-0.023815472
-0.15800396,0.06920274,0.0708893,-0.2658204,-0.08537241,-0.18723732,-0.20108996,-0.3201699,-0.16721848,-0.05950494,-0.017075317,-0.024964238
-0.15819444,0.06781426,0.07192683,-0.26534417,-0.08830534,-0.18554479,-0.19450906,-0.3224587,-0.16425666,-0.058546253,-0.018349497,-0.025988273
-0.15827017,0.06656093,0.072942555,-0.26503453,-0.09115718,-0.18381412,-0.18802431,-0.32360736,-0.16038935,-0.057576064,-0.019717377,-0.02682393
-0.15824473,0.0654844,0.07390191,-0.26488894,-0.09384575,-0.18207824,-0.18167782,-0.32347167,-0.15541658,-0.056586836,-0.02125826,-0.027406093
-0.15813033,0.064622104,0.07478011,-0.26489136,-0.096301235,-0.18035322,-0.17551094,-0.3219362,-0.14915223,-0.055560954,-0.02304175,-0.027676148
-0.15793368,0.06400455,0.07556477,-0.26501483,-0.0984799,-0.17862691,-0.16957235,-0.3189193,-0.1414363,-0.054472465,-0.025112893,-0.027586462
-0.15765296,0.06365418,0.076255456,-0.26522562,-0.10037364,-0.17684881,-0.16392803,-0.3143771,-0.13214768,-0.05329011,-0.02747948,-0.027101312
-0.157277,0.06358612,0.07686155,-0.26548663,-0.1020141,-0.17492528,-0.1586665,-0.3083058,-0.12121614,-0.05198094,-0.030104922,-0.026195735
-0.15678665,0.06381031,0.07739851,-0.26576275,-0.10347074,-0.17272452,-0.153898,-0.3007436,-0.10863088,-0.05051442,-0.032909494,-0.024853684
-0.15615915,0.06433324,0.07788282,-0.2660254,-0.10484305,-0.17009221,-0.14973994,-0.29176995,-0.09444586,-0.048867617,-0.035780955,-0.023067065
-0.15537469,0.06515928,0.078326106,-0.2662561,-0.10624834,-0.1668779,-0.14629008,-0.28150493,-0.078781545,-0.0470319,-0.038593445,-0.020836797
-0.1544244,0.066289365,0.07872971,-0.26644936,-0.10780704,-0.16296549,-0.1435913,-0.2701087,-0.06182556,-0.045021083,-0.04123065,-0.01817606
-0.15331767,0.06771685,0.07908123,-0.2666103,-0.10962805,-0.1583007,-0.14160037,-0.2577813,-0.043834925,-0.04287939,-0.043606136,-0.015114867
-0.15208793,0.06942074,0.07935587,-0.26675043,-0.11179589,-0.15290555,-0.14017569,-0.24476324,-0.025139622,-0.040686443,-0.04567552,-0.011703725
-0.15079334,0.07135822,0.079523854,-0.26688147,-0.11436004,-0.14687549,-0.13909526,-0.23133245,-0.0061406326,-0.03855485,-0.047436975,-0.008013633
-0.14951238,0.073460884,0.079562694,-0.26701075,-0.11732662,-0.14036083,-0.13810608,-0.21779041,0.012708806,-0.036616527,-0.048922468,-0.0041304254
-0.14833103,0.07563827,0.07946999,-0.26714098,-0.12065249,-0.13353851,-0.13699444,-0.20443664,0.030945757,-0.034997154,-0.050182503,-0.00014405548
-0.14732441,0.07778965,0.07926952,-0.26727355,-0.12424483,-0.12658612,-0.13564985,-0.19153629,0.048157204,-0.033784505,-0.051268417,0.00386289
-0.14653781,0.079820804,0.07900507,-0.2674112,-0.12796871,-0.11966671,-0.13409574,-0.17929798,0.064032584,-0.03300315,-0.052215576,0.007821517
-0.14597608,0.08165847,0.07872391,-0.26755923,-0.1316628,-0.112928055,-0.13246834,-0.16787376,0.07838469,-0.032607928,-0.05303316,0.011674841
-0.14560746,0.08325723,0.07845836,-0.26772356,-0.13515905,-0.1065106,-0.1309548,-0.157381,0.091133095,-0.032499738,-0.05370513,0.015369187
-0.14537892,0.08459818,0.07821585,-0.2679093,-0.13830243,-0.10055378,-0.12971887,-0.14792916,0.10226503,-0.032555994,-0.054202795,0.01884446
-0.1452348,0.08568295,0.077981174,-0.26812094,-0.14096637,-0.09519366,-0.12885009,-0.13963419,0.11179651,-0.032662902,-0.054502208,0.022029277
-0.14512989,0.0865269,0.07772827,-0.2683627,-0.14306423,-0.09055082,-0.12835047,-0.13261038,0.11974684,-0.032738995,-0.05459772,0.024844194
-0.14503554,0.08715401,0.07743418,-0.26863712,-0.14455433,-0.086714685,-0.12815866,-0.12694982,0.12613122,-0.03274466,-0.054506015,0.027212264
