 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
32.3487,514.638,33.912,-16.942,517.538,13.6567,-46.4454,652.451,13.5663,-13.0046,535.869,18.7097,9.01479,541.83,33.559,-25.2131,656.17,33.6297,,,,-58.1277,738.31,-7.32316,-58.6874,777.406,85.7804,-56.468,791.234,123.765,-55.0523,804.753,161.647,-37.2452,772.876,175.538,-43.6982,763.222,136.282,-49.0697,751.099,98.6847,5.38175,875.388,292.815,34.3142,793.025,282.735,15.5922,831.32,311.062,162.741,743.77,265.44,160.146,758.953,292.129,206.091,764.525,293.118,210.339,748.955,264.284
32.3416,514.633,33.924,-16.9485,517.52,13.6729,-46.6007,652.439,13.6467,-13.0148,535.861,18.7205,9.00844,541.819,33.5791,-25.2525,656.164,33.6633,,,,-58.1852,738.291,-7.27315,-58.7211,777.412,85.8517,-56.4838,791.217,123.823,-55.0557,804.725,161.701,-37.2516,772.866,175.613,-43.665,763.2,136.388,-49.0886,751.082,98.7294,5.40187,875.349,292.841,34.3595,792.985,282.759,15.6034,831.3,311.116,162.797,743.733,265.399,160.17,758.939,292.129,206.118,764.514,293.102,210.37,748.951,264.288
32.3158,514.623,33.9121,-16.948,517.504,13.6924,-46.5851,652.358,13.766,-13.0072,535.939,18.3313,9.00121,541.812,33.5971,-25.2764,656.154,33.699,,,,-58.2287,738.273,-7.23345,-58.7411,777.4,85.8914,-56.5002,791.209,123.869,-55.0546,804.709,161.72,-37.2625,772.847,175.656,-43.8238,763.09,136.42,-49.1173,751.078,98.7687,5.35708,875.645,292.868,34.3831,792.955,282.773,15.6459,831.256,311.138,162.846,743.721,265.411,160.198,758.923,292.13,206.171,764.495,293.051,210.393,748.948,264.283
32.3448,514.632,33.9363,-16.9483,517.495,13.7125,-46.6083,652.316,13.8325,-13.0146,535.936,18.3463,8.99424,541.807,33.6152,-25.2879,656.12,33.7608,,,,-58.2711,738.258,-7.18768,-58.7623,777.396,85.9212,-56.5147,791.167,123.944,-55.0598,804.697,161.755,-37.3017,772.875,175.756,-43.8501,763.096,136.453,-49.1396,751.086,98.8119,5.37756,875.601,292.885,34.4055,792.917,282.795,15.6771,831.22,311.161,162.892,743.707,265.393,160.23,758.906,292.131,206.201,764.476,293.04,210.443,748.937,264.268
32.3544,514.627,33.9486,-16.9428,517.543,13.6892,-46.6251,652.301,13.8666,-13.0278,535.921,18.3753,8.99372,541.806,33.6288,-25.3089,656.113,33.796,,,,-58.3483,738.246,-7.12983,-58.789,777.4,85.9764,-56.5416,791.151,124.002,-55.0674,804.691,161.785,-37.3259,772.845,175.782,-43.8732,763.097,136.485,-49.1658,751.082,98.8497,5.41531,875.554,292.93,34.4309,792.887,282.816,15.7075,831.188,311.176,162.929,743.683,265.393,160.263,758.875,292.123,206.243,764.461,293.025,210.479,748.928,264.273
32.361,514.627,33.9533,-16.9359,517.526,13.7158,-46.64,652.282,13.9132,-13.0303,535.921,18.3928,8.99643,541.803,33.6457,-25.3366,656.156,33.7894,,,,-58.3812,738.223,-7.08258,-58.7992,777.393,85.9975,-56.5542,791.144,124.034,-55.0724,804.685,161.81,-37.3311,772.821,175.812,-43.8794,763.093,136.511,-49.1848,751.101,98.8751,5.44234,875.522,292.965,34.4553,792.861,282.828,15.7301,831.161,311.187,162.963,743.672,265.379,160.345,758.863,292.155,206.275,764.442,293.016,210.504,748.921,264.265
32.3668,514.629,33.9575,-16.9354,517.523,13.7302,-46.6266,652.274,13.9363,-13.0314,535.92,18.4112,8.9983,541.805,33.6587,-25.3991,656.165,33.8307,,,,-58.4124,738.215,-7.04742,-58.8171,777.373,86.027,-56.5618,791.151,124.075,-55.088,804.674,161.867,-37.392,772.79,175.809,-43.889,763.089,136.53,-49.202,751.098,98.9025,5.46378,875.487,292.989,34.4852,792.812,282.859,15.7841,831.12,311.186,163.005,743.658,265.379,160.528,758.783,292.047,206.385,764.456,292.996,210.543,748.91,264.265
32.3809,514.633,33.9559,-16.93,517.517,13.7493,-46.6067,652.232,14.0066,-13.0336,535.922,18.4346,9.0047,541.808,33.6708,-25.3425,656.157,33.8254,,,,-58.4717,738.213,-6.97457,-58.8257,777.364,86.046,-56.5674,791.146,124.108,-55.0891,804.665,161.901,-37.3364,772.782,175.869,-43.8963,763.089,136.547,-49.2149,751.06,98.934,5.49031,875.426,293.012,34.5179,792.776,282.882,15.807,831.05,311.208,163.029,743.649,265.373,160.558,758.729,292.033,206.415,764.443,292.99,210.578,748.913,264.207
32.3925,514.628,33.9529,-16.9272,517.518,13.7633,-46.6162,652.224,14.0476,-13.0662,535.928,18.4852,9.0264,541.811,33.6901,-25.3445,656.179,33.8493,,,,-58.4973,738.201,-6.93534,-58.8345,777.357,86.0673,-56.5747,791.138,124.143,-55.0879,804.654,161.938,-37.3509,772.775,175.923,-43.9058,763.087,136.567,-49.2322,751.057,98.9675,5.54256,875.323,293.023,34.5536,792.736,282.927,15.8356,831.012,311.223,163.056,743.64,265.368,160.587,758.713,292.034,206.449,764.41,292.985,210.607,748.898,264.18
