 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,, Cylinder_1,,, Cylinder_2,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-241.521,408.798,27.1207,-307.96,414.312,24.7582,-312.423,594.555,-9.72812,-305.869,505.051,12.8703,-256.529,506.709,31.1823,-259.915,582.576,35.5111,-224.591,682.941,-48.881,-301.876,669.537,-9.56644,-275.724,682.132,91.7808,-264.88,689.506,137.009,-252.554,701.56,209.867,-236.031,659.248,207.719,-245.738,654.995,146.973,-261.834,648.606,101.442,-174.447,746.061,314.606,-133.577,659.844,313.71,-169.32,692.735,330.91,-17.2272,610.498,262.865,-14.0634,622.792,289.305,28.8716,623.26,287.186,28.162,607.13,264.709,,,,,,
-241.522,408.795,27.1141,-307.962,414.31,24.7497,-312.426,594.555,-9.73454,-305.87,505.051,12.8592,-256.532,506.706,31.1761,-259.922,582.572,35.5106,-224.59,682.941,-48.8817,-301.877,669.536,-9.57502,-275.736,682.135,91.7761,-264.893,689.506,137.005,-252.577,701.554,209.868,-236.059,659.242,207.719,-245.757,654.997,146.97,-261.852,648.609,101.44,-174.461,746.071,314.611,-133.592,659.862,313.716,-169.338,692.744,330.919,-17.234,610.49,262.859,-14.075,622.785,289.302,28.8621,623.256,287.189,28.1536,607.125,264.709,,,,,,
-241.524,408.793,27.1078,-307.965,414.307,24.7414,-312.43,594.555,-9.74103,-305.872,505.051,12.8483,-256.535,506.705,31.1701,-259.928,582.567,35.5099,-224.59,682.941,-48.883,-301.877,669.535,-9.58377,-275.748,682.138,91.7712,-264.907,689.507,137,-252.599,701.548,209.869,-236.086,659.236,207.719,-245.775,654.998,146.967,-261.87,648.611,101.438,-174.474,746.08,314.616,-133.607,659.881,313.721,-169.355,692.754,330.927,-17.2407,610.482,262.853,-14.0865,622.778,289.299,28.8527,623.251,287.192,28.1452,607.12,264.709,,,,,,
-241.525,408.791,27.1018,-307.968,414.305,24.7334,-312.434,594.555,-9.74757,-305.873,505.051,12.8377,-256.538,506.703,31.1642,-259.935,582.563,35.5091,-224.589,682.941,-48.8847,-301.878,669.535,-9.59267,-275.76,682.14,91.766,-264.92,689.507,136.996,-252.62,701.542,209.869,-236.113,659.23,207.719,-245.793,654.999,146.963,-261.888,648.614,101.435,-174.488,746.09,314.62,-133.622,659.899,313.725,-169.372,692.764,330.934,-17.2474,610.474,262.846,-14.0979,622.771,289.295,28.8433,623.247,287.194,28.1368,607.115,264.708,,,,,,
-241.527,408.79,27.096,-307.97,414.303,24.7256,-312.438,594.555,-9.75418,-305.876,505.051,12.8273,-256.542,506.702,31.1584,-259.942,582.559,35.5081,-224.589,682.941,-48.8869,-301.879,669.534,-9.60173,-275.772,682.143,91.7605,-264.932,689.507,136.991,-252.641,701.537,209.869,-236.139,659.225,207.718,-245.811,655,146.959,-261.905,648.616,101.432,-174.501,746.1,314.623,-133.636,659.917,313.729,-169.389,692.774,330.94,-17.2542,610.467,262.839,-14.1091,622.765,289.291,28.834,623.243,287.196,28.1285,607.11,264.707,,,,,,
-241.53,408.788,27.0905,-307.974,414.301,24.7181,-312.442,594.556,-9.76085,-305.878,505.052,12.8172,-256.546,506.701,31.1528,-259.949,582.556,35.507,-224.589,682.942,-48.8897,-301.88,669.534,-9.61094,-275.783,682.145,91.7548,-264.945,689.508,136.986,-252.662,701.532,209.868,-236.164,659.22,207.717,-245.829,655.001,146.955,-261.922,648.619,101.428,-174.514,746.11,314.626,-133.649,659.935,313.732,-169.405,692.784,330.946,-17.2609,610.46,262.831,-14.1203,622.758,289.286,28.8249,623.239,287.198,28.1201,607.106,264.706,,,,,,
-241.532,408.787,27.0853,-307.977,414.3,24.7108,-312.446,594.556,-9.76759,-305.88,505.052,12.8073,-256.55,506.7,31.1473,-259.957,582.553,35.5057,-224.59,682.943,-48.8929,-301.882,669.534,-9.62032,-275.795,682.147,91.7488,-264.958,689.508,136.981,-252.682,701.527,209.867,-236.188,659.215,207.716,-245.846,655.002,146.95,-261.939,648.621,101.424,-174.526,746.12,314.627,-133.663,659.952,313.734,-169.421,692.795,330.95,-17.2677,610.453,262.823,-14.1313,622.752,289.282,28.8157,623.235,287.199,28.1118,607.102,264.704,,,,,,
-241.535,408.786,27.0804,-307.98,414.299,24.7038,-312.451,594.557,-9.77439,-305.883,505.053,12.7976,-256.554,506.7,31.142,-259.964,582.551,35.5043,-224.591,682.943,-48.8966,-301.884,669.534,-9.62984,-275.806,682.149,91.7425,-264.97,689.508,136.975,-252.701,701.523,209.865,-236.212,659.211,207.714,-245.863,655.003,146.945,-261.955,648.623,101.42,-174.538,746.13,314.628,-133.676,659.97,313.735,-169.436,692.806,330.954,-17.2744,610.446,262.815,-14.1422,622.745,289.277,28.8067,623.231,287.199,28.1035,607.098,264.701,,,,,,
-241.537,408.786,27.0757,-307.984,414.298,24.697,-312.456,594.557,-9.78125,-305.886,505.054,12.7882,-256.558,506.699,31.1368,-259.971,582.548,35.5028,-224.592,682.944,-48.9008,-301.886,669.534,-9.63953,-275.818,682.151,91.736,-264.983,689.508,136.969,-252.72,701.519,209.863,-236.235,659.207,207.712,-245.88,655.003,146.94,-261.971,648.625,101.415,-174.55,746.141,314.628,-133.688,659.987,313.735,-169.451,692.816,330.958,-17.2811,610.44,262.807,-14.153,622.739,289.271,28.7978,623.227,287.199,28.0952,607.095,264.698,,,,,,
