 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-169.036148,382.738729,28.779464,-230.670478,388.044379,14.064988,-216.610508,567.269874,61.548711,-222.527232,506.604014,47.269516,-181.919757,482.875931,68.494022,-183.842944,549.992416,90.814440,-138.069007,625.707971,13.825639,-198.434184,618.896646,58.671785,-159.839265,682.691372,164.003575,-146.261123,708.952332,203.488395,-132.775033,732.255175,233.619535,-113.278631,697.787636,249.219265,-128.368775,678.648102,218.378496,-138.254672,655.311854,177.806270,-52.262871,809.856955,298.936327,-33.074789,714.162540,279.204849,-43.125108,751.747170,307.207561,72.394456,676.161531,249.495566,74.229504,692.901351,276.130970,117.668500,691.867221,277.416442,119.477047,677.161350,251.549816
-169.041104,382.737094,28.781334,-230.678856,388.044659,14.071125,-216.614055,567.271305,61.551457,-222.533445,506.603464,47.275670,-181.931266,482.874477,68.507178,-183.857137,549.993518,90.827938,-138.080901,625.723453,13.810676,-198.431772,618.895643,58.672318,-159.838635,682.696293,164.001431,-146.261145,708.958293,203.482343,-132.773337,732.251863,233.612431,-113.272849,697.789558,249.205885,-128.366876,678.654587,218.373059,-138.260251,655.317555,177.808500,-52.266095,809.849795,298.926414,-33.057747,714.161558,279.185424,-43.113319,751.737515,307.203078,72.431880,676.154206,249.501123,74.258432,692.905433,276.137659,117.698851,691.877509,277.421180,119.510427,677.169941,251.558386
-169.046097,382.735436,28.783281,-230.687245,388.044934,14.077311,-216.617547,567.272755,61.554150,-222.539622,506.602916,47.281800,-181.942784,482.873026,68.520374,-183.871329,549.994645,90.841429,-138.092889,625.738925,13.795719,-198.429318,618.894651,58.672798,-159.838003,682.701235,163.999239,-146.261143,708.964221,203.476267,-132.771607,732.248502,233.605307,-113.267023,697.791436,249.192483,-128.364933,678.661043,218.367573,-138.265819,655.323261,177.810673,-52.269292,809.842633,298.916507,-33.040695,714.160570,279.166047,-43.101517,751.727869,307.198610,72.469285,676.146911,249.506657,74.287352,692.909529,276.144331,117.729193,691.887799,277.425904,119.543790,677.178540,251.566933
-169.051105,382.733747,28.785420,-230.695547,388.045190,14.083537,-216.620905,567.274230,61.556715,-222.545676,506.602378,47.287813,-181.954236,482.871606,68.533521,-183.885394,549.995819,90.854764,-138.104853,625.754204,13.780931,-198.426811,618.893690,58.673154,-159.837367,682.706159,163.996966,-146.261087,708.970022,203.470183,-132.769806,732.245042,233.598187,-113.261123,697.793197,249.179114,-128.362888,678.667372,218.362015,-138.271295,655.328911,177.812698,-52.272413,809.835500,298.906660,-33.023699,714.159571,279.146872,-43.089744,751.718285,307.194193,72.506478,676.139719,249.512115,74.316121,692.913637,276.150937,117.759376,691.898047,277.430571,119.576962,677.187121,251.575388
-169.056109,382.732022,28.787873,-230.703660,388.045411,14.089794,-216.624054,567.275738,61.559077,-222.551520,506.601859,47.293616,-181.965547,482.870241,68.546530,-183.899204,549.997066,90.867797,-138.116676,625.769105,13.766481,-198.424235,618.892780,58.673315,-159.836725,682.711027,163.994577,-146.260942,708.975600,203.464110,-132.767896,732.241429,233.591095,-113.255113,697.794762,249.165823,-128.360675,678.673478,218.356360,-138.276597,655.334439,177.814481,-52.275407,809.828424,298.896928,-33.006820,714.158558,279.128049,-43.078034,751.708814,307.189862,72.543275,676.132699,249.517444,74.344609,692.917756,276.157427,117.789257,691.908210,277.435142,119.609778,677.195659,251.583684
-169.061091,382.730252,28.790768,-230.711484,388.045582,14.096074,-216.626914,567.277287,61.561160,-222.557067,506.601367,47.299115,-181.976647,482.868960,68.559314,-183.912636,549.998409,90.880380,-138.128232,625.783444,13.752532,-198.421577,618.891940,58.673209,-159.836072,682.715800,163.992035,-146.260676,708.980859,203.458063,-132.765835,732.237609,233.584050,-113.248953,697.796052,249.152654,-128.358229,678.679262,218.350579,-138.281643,655.339781,177.815929,-52.278224,809.821428,298.887359,-32.990112,714.157524,279.109722,-43.066418,751.699502,307.185654,72.579511,676.125923,249.522593,74.372692,692.921890,276.163755,117.818707,691.918249,277.439580,119.642089,677.204132,251.591757
-169.066031,382.728431,28.794232,-230.718918,388.045688,14.102371,-216.629413,567.278887,61.562892,-222.562232,506.600912,47.304218,-181.987467,482.867788,68.571788,-183.925567,549.999872,90.892369,-138.139397,625.797043,13.739249,-198.418821,618.891190,58.672763,-159.835405,682.720437,163.989305,-146.260254,708.985704,203.452055,-132.763583,732.233522,233.577070,-113.242600,697.796989,249.139646,-128.355482,678.684628,218.344645,-138.286350,655.344872,177.816948,-52.280817,809.814535,298.877999,-32.973619,714.156465,279.092027,-43.054921,751.690393,307.181600,72.615035,676.119454,249.527511,74.400265,692.926043,276.169877,117.847610,691.928133,277.443849,119.673757,677.212524,251.599547
-169.070908,382.726552,28.798386,-230.725864,388.045715,14.108677,-216.631479,567.280546,61.564204,-222.566935,506.600502,47.308837,-181.997943,482.866753,68.583869,-183.937881,550.001480,90.903627,-138.150043,625.809724,13.726789,-198.415957,618.890549,58.671908,-159.834720,682.724900,163.986352,-146.259644,708.990045,203.446100,-132.761099,732.229112,233.570171,-113.236014,697.797499,249.126831,-128.352366,678.689485,218.338527,-138.290636,655.349649,177.817448,-52.283139,809.807764,298.868889,-32.957382,714.155374,279.075088,-43.043565,751.681525,307.177731,72.649713,676.113356,249.532154,74.427232,692.930220,276.175754,117.875864,691.937831,277.447914,119.704663,677.220822,251.606998
-169.075702,382.724611,28.803347,-230.732226,388.045647,14.114980,-216.633048,567.282271,61.565030,-222.571101,506.600144,47.312888,-182.008012,482.865878,68.595475,-183.949467,550.003254,90.914018,-138.160043,625.821323,13.715303,-198.412972,618.890034,58.670580,-159.834012,682.729149,163.983145,-146.258814,708.993796,203.440211,-132.758343,732.224323,233.563369,-113.229151,697.797508,249.114241,-128.348819,678.693744,218.332199,-138.294424,655.354048,177.817346,-52.285146,809.801130,298.860064,-32.941431,714.154245,279.059020,-43.032365,751.672930,307.174075,72.683430,676.107685,249.536478,74.453512,692.934428,276.181349,117.903381,691.947321,277.451747,119.734703,677.229016,251.614060
