 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,, Cylinder_1,,, Cylinder_2,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-241.519631,408.797590,27.121871,-307.958321,414.311793,24.760206,-312.420914,594.554445,-9.725510,-305.867275,505.050246,12.873202,-256.526953,506.708443,31.183890,-259.912018,582.576137,35.511844,-224.590149,682.940355,-48.878416,-301.874711,669.536654,-9.562663,-275.720067,682.131583,91.783647,-264.875814,689.506070,137.011625,-252.548302,701.560744,209.868573,-236.024437,659.248750,207.720318,-245.732672,654.995074,146.975295,-261.829093,648.605486,101.444641,-174.443614,746.057006,314.607658,-133.573494,659.838220,313.711509,-169.315525,692.730868,330.910480,-17.224845,610.499520,262.868695,-14.059892,622.793799,289.307639,28.874554,623.261047,287.187004,28.164852,607.130692,264.711100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-241.521900,408.796080,27.116020,-307.961595,414.310009,24.752187,-312.425359,594.554796,-9.732631,-305.869689,505.050736,12.862375,-256.530928,506.707283,31.177890,-259.919539,582.572599,35.510643,-224.590396,682.940835,-48.881318,-301.876154,669.536291,-9.572500,-275.732520,682.134068,91.777528,-264.889482,689.506311,137.006123,-252.570201,701.555442,209.867845,-236.051240,659.243407,207.719206,-245.751459,654.996099,146.970796,-261.847169,648.607952,101.440741,-174.457165,746.067709,314.610212,-133.588102,659.857243,313.714464,-169.332821,692.741776,330.916437,-17.232037,610.491946,262.860769,-14.071777,622.786842,289.302935,28.864749,623.256759,287.188471,28.155957,607.126112,264.709398,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-241.524185,408.794589,27.110176,-307.964887,414.308241,24.744168,-312.429823,594.555157,-9.739770,-305.872127,505.051240,12.851545,-256.534926,506.706143,31.171889,-259.927083,582.569076,35.509434,-224.590656,682.941327,-48.884260,-301.877614,669.535938,-9.582365,-275.744988,682.136549,91.771382,-264.903163,689.506548,137.000596,-252.592100,701.550152,209.867086,-236.078034,659.238078,207.718073,-245.770255,654.997118,146.966272,-261.865250,648.610417,101.436805,-174.470713,746.078440,314.612715,-133.602704,659.876284,313.717369,-169.350116,692.752713,330.922348,-17.239238,610.484382,262.852806,-14.083670,622.779886,289.298200,28.854935,623.252473,287.189907,28.147051,607.121543,264.707661,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-241.526500,408.793145,27.104379,-307.968205,414.306513,24.736193,-312.434312,594.555539,-9.746914,-305.874608,505.051772,12.840761,-256.538955,506.705050,31.165915,-259.934641,582.565611,35.508206,-224.590956,682.941842,-48.887282,-301.879113,669.535609,-9.592246,-275.757432,682.139005,91.765199,-264.916812,689.506778,136.995034,-252.613897,701.544919,209.866261,-236.104682,659.232806,207.716892,-245.788986,654.998114,146.961710,-261.883256,648.612863,101.432803,-174.484192,746.089182,314.615089,-133.617223,659.895279,313.720144,-169.367330,692.763667,330.928129,-17.246432,610.476875,262.844796,-14.095530,622.772961,289.293414,28.845147,623.248208,287.191267,28.138159,607.117020,264.705848,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-241.528857,408.791778,27.098667,-307.971556,414.304853,24.728303,-312.438835,594.555951,-9.754052,-305.877149,505.052346,12.830071,-256.543026,506.704034,31.159995,-259.942206,582.562242,35.506949,-224.591324,682.942392,-48.890423,-301.880675,669.535316,-9.602137,-275.769817,682.141420,91.758969,-264.930391,689.506994,136.989422,-252.635498,701.539785,209.865328,-236.131060,659.227633,207.715636,-245.807585,654.999072,146.957096,-261.901116,648.615273,101.428704,-174.497541,746.099924,314.617252,-133.631590,659.914172,313.722709,-169.384391,692.774628,330.933694,-17.253601,610.469470,262.836726,-14.107319,622.766096,289.288554,28.835412,623.243987,287.192500,28.129302,607.112579,264.703916,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-241.531273,408.790517,27.093079,-307.974951,414.303285,24.720536,-312.443402,594.556403,-9.761179,-305.879772,505.052978,12.819515,-256.547152,506.703124,31.154153,-259.949775,582.559011,35.505651,-224.591786,682.942991,-48.893726,-301.882325,669.535073,-9.612035,-275.782113,682.143776,91.752676,-264.943865,689.507192,136.983742,-252.656818,701.534789,209.864245,-236.157052,659.222598,207.714276,-245.825993,654.999978,146.952413,-261.918762,648.617633,101.424471,-174.510707,746.110660,314.619123,-133.645739,659.932913,313.724982,-169.401235,692.785595,330.938960,-17.260733,610.462210,262.828576,-14.119006,622.759316,289.283595,28.825755,623.239827,287.193560,28.120496,607.108254,264.701820,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-241.533763,408.789392,27.087649,-307.978400,414.301834,24.712928,-312.448028,594.556905,-9.768291,-305.882496,505.053680,12.809133,-256.551347,506.702347,31.148412,-259.957348,582.555955,35.504299,-224.592374,682.943651,-48.897235,-301.884089,669.534892,-9.621944,-275.794298,682.146058,91.746302,-264.957209,689.507366,136.977975,-252.677782,701.529972,209.862972,-236.182555,659.217740,207.712781,-245.844158,655.000816,146.947640,-261.936137,648.619926,101.420070,-174.523639,746.121390,314.620621,-133.659615,659.951462,313.726883,-169.417803,692.796570,330.943846,-17.267820,610.455135,262.820326,-14.130563,622.752644,289.278507,28.816196,623.235746,287.194397,28.111756,607.104077,264.699516,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-241.536344,408.788430,27.082409,-307.981917,414.300525,24.705511,-312.452728,594.557467,-9.775387,-305.885344,505.054469,12.798957,-256.555628,506.701732,31.142791,-259.964927,582.553112,35.502881,-224.593117,682.944384,-48.900994,-301.885993,669.534787,-9.631868,-275.806351,682.148250,91.739827,-264.970401,689.507512,136.972098,-252.698325,701.525367,209.861467,-236.207478,659.213093,207.711124,-245.862038,655.001574,146.942758,-261.953192,648.622140,101.415461,-174.536295,746.132115,314.621667,-133.673165,659.969788,313.728335,-169.434047,692.807557,330.948273,-17.274855,610.448278,262.811948,-14.141970,622.746099,289.273263,28.806751,623.231759,287.194965,28.103090,607.100077,264.696958,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-241.539032,408.787655,27.077390,-307.985514,414.299378,24.698314,-312.457516,594.558096,-9.782469,-305.888336,505.055358,12.789014,-256.560010,506.701304,31.137307,-259.972515,582.550516,35.501384,-224.594041,682.945203,-48.905047,-301.888065,669.534769,-9.641818,-275.818260,682.150341,91.733230,-264.983424,689.507626,136.966089,-252.718391,701.521008,209.859690,-236.231742,659.208691,207.709275,-245.879598,655.002238,146.937745,-261.969883,648.624262,101.410607,-174.548640,746.142842,314.622188,-133.686346,659.987866,313.729264,-169.449925,692.818566,330.952170,-17.281835,610.441672,262.803418,-14.153209,622.739696,289.267833,28.797433,623.227878,287.195221,28.094505,607.096282,264.694101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
