Sh_x,Sh_y,Sh_z,El_x,El_y,El_z,Wr_x,Wr_y,Wr_z,WrVec_x,WrVec_y,WrVec_z
-133.37972142777318,100.05521492718594,52.51195022665906,-281.02741195948676,-66.84678063209086,-200.1946863852743,-271.8185798673661,-323.25811241532267,-211.78325283718476,-66.3918728409917,3.662693269629484,-20.506549642174374
-135.08339571871443,99.1540247804742,51.912866951490656,-283.11812737939596,-66.21117751215886,-202.7629340224202,-273.47664200043215,-325.2644785365011,-212.1660840652724,-65.79533020188047,5.767497496403287,-22.06510290209128
-134.86428236781038,99.22935006167936,51.878591697601685,-282.7048348895989,-66.56434795753061,-202.2572310092182,-273.1965855444424,-324.9533195168215,-212.19173627137235,-65.94157842642636,5.260946064066526,-21.736231783893277
-135.2279371453666,99.05390285914373,51.69891640375372,-283.09542088969476,-66.58494467621948,-202.67525118720428,-273.5080543461247,-325.38789163041406,-212.3052539322089,-65.88343580650363,5.580641686359785,-21.95101685264916
-135.1764786092142,99.1111200814681,51.65637856420535,-282.95638239379855,-66.78241959444058,-202.46133525839872,-273.3940316752086,-325.333358417649,-212.29552507592095,-65.90617463164132,5.360791137769612,-21.748228705952478
-135.36306395901536,99.07021270494513,51.576804340317594,-283.09582239336356,-66.83225933459954,-202.6697693171167,-273.46780828711724,-325.55261930029917,-212.21839821791406,-65.69585387850117,5.483898469305766,-21.947218194059822
-135.26910590912058,99.16007851794484,51.61670099174408,-282.7906058618303,-67.01674431391491,-202.47981014845064,-273.2685273100584,-325.4096315131238,-212.04445336868272,-65.61226772188589,5.3412481545806845,-22.215552210500025
-135.29914456882904,99.146054663661,51.68138990958676,-282.7759290590797,-67.05994342491691,-202.45247885067153,-273.4926908163579,-325.59697503923917,-212.27979507614154,-65.9842500863009,5.697169505825859,-22.23320984530916
-135.13045223489692,99.13721990805402,51.87653306385989,-283.18789045776765,-66.91369039989951,-201.89311436494972,-273.7231707337339,-325.75188343646465,-212.760769140262,-67.08254865515096,5.645153174397645,-20.421214603064687
-135.0943026561188,98.92597403513928,52.11972376417407,-285.06871362135223,-66.11939513673494,-201.12736556264426,-272.4150091490505,-325.1658161999726,-210.63404014482938,-67.17554939090427,3.1794388056121043,-19.32436682989341
