 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,, Cylinder_1,,, Cylinder_2,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
110.05,281.418,35.6623,167.323,280.267,13.9444,199.781,459.89,91.7277,172.16,401.987,72.1022,202.87,393.148,29.8719,220.249,460.137,47.1311,,,,228.519,520.079,61.7407,212.808,543.172,153.966,208.051,569.895,200.741,210.046,589.592,243.363,233.479,615.069,227.425,234.009,597.253,186.423,234.691,574.546,139.025,178.536,738.387,333.804,135.006,639.827,321.433,158.114,666.24,354.079,0.278748,623.465,283.002,1.55224,633.054,312.162,45.04,631.319,310.188,44.9906,618.77,282.051,,,,,,
110.048,281.418,35.6609,167.322,280.267,13.9445,199.781,459.889,91.7306,172.16,401.986,72.1023,202.87,393.147,29.8748,220.252,460.136,47.1353,,,,228.524,520.076,61.7477,212.806,543.165,153.969,208.054,569.885,200.745,210.046,589.577,243.369,233.478,615.053,227.441,234.011,597.239,186.436,234.695,574.535,139.039,178.537,738.378,333.81,135.01,639.814,321.437,158.116,666.229,354.085,0.281529,623.444,283.007,1.5563,633.038,312.168,45.0447,631.302,310.193,44.9957,618.75,282.059,,,,,,
110.047,281.418,35.6595,167.321,280.268,13.9446,199.781,459.889,91.7334,172.16,401.986,72.1024,202.871,393.145,29.8775,220.255,460.134,47.1394,,,,228.53,520.072,61.7545,212.805,543.158,153.972,208.056,569.875,200.749,210.046,589.563,243.374,233.477,615.038,227.456,234.012,597.225,186.449,234.698,574.524,139.053,178.539,738.37,333.815,135.015,639.802,321.441,158.117,666.219,354.091,0.284244,623.423,283.013,1.56027,633.022,312.173,45.0494,631.285,310.198,45.0007,618.73,282.066,,,,,,
110.045,281.418,35.6582,167.32,280.268,13.9446,199.782,459.888,91.736,172.161,401.985,72.1023,202.871,393.144,29.8801,220.258,460.133,47.1432,,,,228.535,520.069,61.761,212.803,543.151,153.975,208.058,569.865,200.753,210.046,589.549,243.379,233.476,615.023,227.471,234.014,597.212,186.462,234.701,574.513,139.066,178.541,738.361,333.821,135.02,639.789,321.446,158.118,666.208,354.096,0.286895,623.402,283.018,1.56414,633.006,312.178,45.0539,631.268,310.203,45.0056,618.711,282.073,,,,,,
110.044,281.417,35.657,167.319,280.268,13.9446,199.782,459.888,91.7384,172.161,401.985,72.1021,202.872,393.143,29.8824,220.261,460.132,47.1469,,,,228.541,520.066,61.7673,212.802,543.144,153.977,208.061,569.855,200.757,210.047,589.535,243.384,233.475,615.008,227.486,234.016,597.2,186.474,234.704,574.503,139.079,178.542,738.353,333.826,135.024,639.777,321.45,158.12,666.198,354.102,0.289481,623.382,283.024,1.56793,632.99,312.183,45.0583,631.252,310.208,45.0104,618.692,282.08,,,,,,
110.043,281.417,35.6557,167.319,280.268,13.9446,199.783,459.887,91.7407,172.162,401.984,72.1018,202.873,393.141,29.8845,220.264,460.131,47.1503,,,,228.546,520.063,61.7733,212.801,543.138,153.98,208.063,569.845,200.761,210.047,589.521,243.389,233.475,614.994,227.5,234.019,597.187,186.487,234.707,574.492,139.091,178.544,738.345,333.832,135.029,639.764,321.455,158.121,666.188,354.108,0.292002,623.362,283.03,1.57162,632.974,312.188,45.0626,631.235,310.213,45.015,618.673,282.088,,,,,,
110.041,281.417,35.6546,167.318,280.268,13.9445,199.783,459.886,91.7427,172.162,401.984,72.1013,202.874,393.14,29.8864,220.267,460.129,47.1536,,,,228.552,520.059,61.7791,212.8,543.131,153.983,208.066,569.835,200.765,210.048,589.508,243.394,233.474,614.98,227.514,234.021,597.175,186.498,234.71,574.483,139.103,178.545,738.336,333.837,135.034,639.752,321.46,158.123,666.178,354.114,0.294458,623.343,283.036,1.57522,632.959,312.194,45.0669,631.219,310.219,45.0196,618.654,282.095,,,,,,
110.04,281.417,35.6534,167.317,280.268,13.9444,199.784,459.886,91.7447,172.163,401.983,72.1008,202.874,393.139,29.8882,220.27,460.128,47.1567,,,,228.557,520.056,61.7846,212.8,543.125,153.985,208.069,569.825,200.769,210.049,589.495,243.399,233.474,614.967,227.527,234.024,597.163,186.51,234.714,574.473,139.114,178.547,738.328,333.843,135.039,639.74,321.464,158.125,666.167,354.12,0.296849,623.323,283.041,1.57873,632.944,312.199,45.071,631.203,310.224,45.024,618.636,282.102,,,,,,
110.039,281.417,35.6523,167.316,280.269,13.9442,199.785,459.885,91.7464,172.164,401.982,72.1001,202.875,393.138,29.8897,220.273,460.126,47.1596,,,,228.562,520.054,61.7899,212.799,543.119,153.988,208.072,569.815,200.773,210.05,589.483,243.404,233.474,614.954,227.54,234.026,597.151,186.521,234.717,574.464,139.125,178.549,738.32,333.848,135.044,639.727,321.469,158.127,666.157,354.126,0.299175,623.304,283.047,1.58214,632.929,312.204,45.075,631.188,310.229,45.0283,618.618,282.11,,,,,,
110.038,281.418,35.6512,167.315,280.269,13.944,199.786,459.884,91.748,172.165,401.981,72.0994,202.876,393.137,29.8911,220.276,460.125,47.1623,,,,228.567,520.051,61.795,212.799,543.113,153.99,208.075,569.805,200.777,210.051,589.47,243.408,233.474,614.941,227.553,234.029,597.14,186.531,234.72,574.456,139.136,178.55,738.311,333.854,135.049,639.715,321.474,158.129,666.147,354.132,0.301437,623.285,283.053,1.58547,632.915,312.21,45.079,631.172,310.235,45.0325,618.6,282.117,,,,,,
110.037,281.418,35.6502,167.314,280.269,13.9437,199.786,459.883,91.7494,172.166,401.981,72.0985,202.877,393.136,29.8922,220.279,460.124,47.1649,,,,228.572,520.048,61.7998,212.799,543.107,153.993,208.078,569.795,200.781,210.052,589.458,243.413,233.474,614.929,227.565,234.032,597.129,186.542,234.723,574.447,139.146,178.552,738.303,333.86,135.055,639.703,321.479,158.131,666.137,354.138,0.303633,623.267,283.059,1.5887,632.9,312.215,45.0828,631.157,310.24,45.0365,618.582,282.125,,,,,,
110.036,281.418,35.6492,167.314,280.269,13.9434,199.788,459.882,91.7507,172.168,401.98,72.0975,202.878,393.134,29.8931,220.282,460.122,47.1672,,,,228.577,520.045,61.8044,212.799,543.102,153.995,208.081,569.785,200.785,210.053,589.446,243.417,233.474,614.917,227.577,234.036,597.119,186.552,234.726,574.439,139.156,178.554,738.295,333.865,135.06,639.691,321.483,158.133,666.126,354.144,0.305765,623.248,283.065,1.59184,632.886,312.221,45.0866,631.142,310.246,45.0405,618.564,282.132,,,,,,
110.035,281.418,35.6483,167.313,280.27,13.9431,199.789,459.881,91.7518,172.169,401.979,72.0964,202.879,393.133,29.8939,220.285,460.121,47.1694,,,,228.581,520.043,61.8088,212.8,543.096,153.997,208.084,569.775,200.788,210.055,589.435,243.421,233.475,614.906,227.588,234.039,597.109,186.562,234.729,574.432,139.166,178.555,738.287,333.871,135.066,639.679,321.488,158.135,666.116,354.151,0.307831,623.23,283.071,1.59488,632.873,312.226,45.0903,631.127,310.251,45.0443,618.547,282.14,,,,,,
