 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
113.409,349.749,31.0275,183.453,343.283,21.0748,109.998,503.946,71.3426,115.217,441.675,51.2322,157.108,449.368,77.8264,152.922,513.594,104.178,125.193,614.281,30.5347,176.846,593.914,101.533,118.393,631.42,157.642,107.498,659.011,179.396,97.7807,684.496,202.571,129.056,713.067,183.946,138.597,682.007,168.181,146.16,650.945,149.042,61.4538,847.123,287.504,16.5384,756.966,288.348,48.4308,791.231,303.915,-133,695.619,218.173,-137.117,706.344,247.692,-92.4434,708.033,254.866,-89.7036,697.266,225.128
113.411,349.75,31.0295,183.449,343.286,21.0743,109.993,503.947,71.3372,115.215,441.676,51.2298,157.106,449.371,77.8216,152.918,513.596,104.172,125.188,614.28,30.5316,176.841,593.917,101.529,118.387,631.42,157.637,107.497,659.011,179.396,97.7873,684.499,202.569,129.053,713.069,183.941,138.595,682.007,168.178,146.156,650.947,149.036,61.4523,847.123,287.501,16.5352,756.979,288.327,48.4318,791.234,303.917,-132.982,695.609,218.182,-137.098,706.34,247.7,-92.4222,708.031,254.872,-89.6829,697.254,225.134
113.413,349.75,31.0312,183.445,343.289,21.0737,109.989,503.947,71.332,115.213,441.676,51.2273,157.105,449.373,77.8171,152.915,513.597,104.166,125.184,614.28,30.5286,176.835,593.92,101.524,118.382,631.421,157.632,107.497,659.011,179.396,97.7935,684.501,202.568,129.05,713.071,183.935,138.593,682.007,168.175,146.153,650.948,149.031,61.4508,847.123,287.499,16.5319,756.992,288.307,48.4328,791.237,303.918,-132.966,695.601,218.192,-137.08,706.336,247.709,-92.4019,708.031,254.879,-89.6631,697.243,225.141
113.414,349.751,31.0327,183.441,343.291,21.0732,109.984,503.948,71.3272,115.211,441.677,51.2248,157.103,449.375,77.813,152.912,513.599,104.161,125.18,614.279,30.5259,176.831,593.923,101.521,118.377,631.421,157.628,107.497,659.01,179.396,97.7994,684.504,202.566,129.047,713.073,183.93,138.59,682.007,168.172,146.149,650.95,149.026,61.4493,847.124,287.496,16.5286,757.006,288.288,48.4336,791.24,303.92,-132.95,695.592,218.202,-137.063,706.334,247.718,-92.3824,708.031,254.886,-89.644,697.232,225.148
113.415,349.752,31.034,183.438,343.293,21.0727,109.98,503.948,71.3226,115.209,441.677,51.2223,157.101,449.377,77.8092,152.908,513.6,104.157,125.176,614.279,30.5233,176.826,593.925,101.517,118.372,631.421,157.624,107.497,659.01,179.396,97.8049,684.506,202.564,129.044,713.075,183.924,138.588,682.007,168.169,146.145,650.951,149.022,61.4478,847.125,287.493,16.5252,757.02,288.269,48.4344,791.244,303.921,-132.934,695.585,218.212,-137.046,706.332,247.727,-92.3638,708.031,254.893,-89.6258,697.223,225.155
113.416,349.752,31.0352,183.434,343.295,21.0723,109.977,503.948,71.3183,115.207,441.677,51.2198,157.099,449.379,77.8056,152.905,513.601,104.153,125.173,614.278,30.5208,176.822,593.926,101.515,118.368,631.421,157.62,107.497,659.01,179.396,97.8102,684.508,202.562,129.041,713.077,183.919,138.586,682.006,168.167,146.142,650.952,149.017,61.4463,847.126,287.49,16.5216,757.034,288.251,48.4351,791.248,303.922,-132.92,695.578,218.222,-137.031,706.331,247.735,-92.3461,708.032,254.9,-89.6084,697.213,225.162
113.417,349.753,31.0361,183.431,343.297,21.0719,109.974,503.948,71.3143,115.205,441.678,51.2173,157.097,449.38,77.8024,152.902,513.602,104.149,125.17,614.277,30.5186,176.819,593.927,101.513,118.364,631.42,157.616,107.497,659.01,179.396,97.815,684.511,202.559,129.039,713.078,183.915,138.585,682.006,168.165,146.139,650.952,149.013,61.4449,847.128,287.487,16.518,757.048,288.234,48.4358,791.252,303.924,-132.907,695.572,218.232,-137.016,706.33,247.744,-92.3293,708.033,254.908,-89.5918,697.205,225.169
113.418,349.753,31.0368,183.429,343.298,21.0715,109.971,503.948,71.3105,115.204,441.678,51.2147,157.095,449.381,77.7996,152.899,513.603,104.146,125.168,614.276,30.5165,176.816,593.928,101.511,118.36,631.42,157.613,107.498,659.01,179.396,97.8195,684.513,202.556,129.036,713.08,183.91,138.583,682.005,168.163,146.135,650.952,149.01,61.4434,847.13,287.484,16.5143,757.062,288.217,48.4363,791.257,303.925,-132.894,695.567,218.242,-137.002,706.33,247.753,-92.3134,708.035,254.915,-89.5761,697.197,225.176
113.418,349.754,31.0373,183.426,343.299,21.0711,109.968,503.948,71.3071,115.202,441.678,51.2122,157.093,449.381,77.797,152.896,513.603,104.143,125.165,614.275,30.5145,176.814,593.928,101.51,118.357,631.419,157.61,107.499,659.01,179.395,97.8237,684.515,202.553,129.033,713.081,183.906,138.581,682.004,168.162,146.132,650.952,149.007,61.442,847.133,287.481,16.5106,757.076,288.201,48.4368,791.262,303.926,-132.882,695.562,218.251,-136.989,706.33,247.762,-92.2983,708.037,254.923,-89.5611,697.19,225.184
