 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-186.445,355.445,30.2947,-260.097,340.331,21.2421,-272.327,469.075,27.8081,-266.492,392.931,30.7749,-219.898,406.565,48.6944,-215.315,479.223,32.8577,,,,-289.556,580.895,-17.2015,-258.186,591.088,103.218,-244.702,589.58,155.19,-228.028,600.29,212.522,-200.152,556.327,212.75,-227.205,556.913,157.764,-243.335,558.612,108.584,-159.504,659.364,292.263,-124.804,562.733,251.017,-144.607,596.026,292.951,-13.8115,541.449,191.308,-12.0564,545.964,213.46,25.8504,548.393,211.635,17.7226,542.059,186.904
-186.447,355.445,30.3016,-260.097,340.329,21.2439,-272.322,469.073,27.8005,-266.492,392.931,30.7768,-219.899,406.565,48.6943,-215.31,479.222,32.845,,,,-289.552,580.887,-17.2209,-258.187,591.083,103.191,-244.711,589.584,155.167,-228.037,600.297,212.523,-200.168,556.338,212.759,-227.214,556.92,157.746,-243.338,558.61,108.56,-159.5,659.377,292.29,-124.802,562.735,251.051,-144.6,596.037,292.98,-13.8256,541.454,191.328,-12.07,545.974,213.474,25.8362,548.408,211.649,17.712,542.07,186.918
-186.449,355.446,30.3083,-260.097,340.327,21.2454,-272.316,469.071,27.7928,-266.492,392.93,30.7785,-219.899,406.566,48.6939,-215.305,479.222,32.8325,,,,-289.549,580.88,-17.2401,-258.188,591.08,103.165,-244.719,589.588,155.145,-228.045,600.304,212.524,-200.182,556.349,212.768,-227.223,556.928,157.73,-243.341,558.608,108.537,-159.497,659.389,292.316,-124.8,562.737,251.083,-144.595,596.049,293.009,-13.8395,541.46,191.348,-12.0836,545.985,213.488,25.822,548.422,211.663,17.7015,542.081,186.931
-186.452,355.446,30.3147,-260.097,340.325,21.2467,-272.311,469.069,27.7849,-266.492,392.93,30.7799,-219.9,406.567,48.6933,-215.3,479.221,32.8204,,,,-289.545,580.873,-17.2589,-258.19,591.077,103.14,-244.728,589.592,155.124,-228.053,600.311,212.524,-200.197,556.359,212.777,-227.233,556.935,157.714,-243.344,558.607,108.515,-159.494,659.402,292.341,-124.799,562.739,251.114,-144.589,596.06,293.036,-13.8533,541.466,191.367,-12.0971,545.995,213.501,25.8078,548.436,211.677,17.6911,542.092,186.945
-186.454,355.445,30.3208,-260.097,340.323,21.2478,-272.307,469.068,27.7769,-266.493,392.93,30.781,-219.9,406.568,48.6925,-215.296,479.221,32.8085,,,,-289.542,580.866,-17.2775,-258.191,591.074,103.116,-244.736,589.596,155.104,-228.06,600.317,212.525,-200.211,556.37,212.785,-227.242,556.942,157.699,-243.348,558.606,108.494,-159.492,659.414,292.364,-124.798,562.742,251.144,-144.585,596.072,293.063,-13.8669,541.472,191.385,-12.1107,546.005,213.513,25.7936,548.451,211.69,17.6807,542.103,186.957
-186.456,355.445,30.3266,-260.097,340.321,21.2486,-272.302,469.066,27.7688,-266.493,392.93,30.7819,-219.901,406.569,48.6914,-215.292,479.22,32.797,,,,-289.538,580.861,-17.2958,-258.192,591.072,103.092,-244.745,589.601,155.085,-228.068,600.323,212.525,-200.224,556.38,212.794,-227.251,556.95,157.685,-243.351,558.605,108.473,-159.491,659.427,292.386,-124.797,562.745,251.173,-144.581,596.083,293.087,-13.8803,541.478,191.403,-12.1243,546.015,213.525,25.7795,548.464,211.703,17.6704,542.114,186.97
-186.458,355.445,30.3321,-260.098,340.32,21.2491,-272.298,469.065,27.7606,-266.493,392.931,30.7824,-219.901,406.57,48.6901,-215.288,479.22,32.7857,,,,-289.534,580.855,-17.3138,-258.194,591.071,103.07,-244.753,589.605,155.067,-228.075,600.329,212.526,-200.238,556.389,212.802,-227.26,556.957,157.672,-243.355,558.605,108.454,-159.49,659.439,292.407,-124.797,562.747,251.2,-144.578,596.095,293.111,-13.8936,541.485,191.42,-12.1379,546.025,213.536,25.7654,548.478,211.715,17.6602,542.124,186.982
-186.461,355.445,30.3373,-260.099,340.319,21.2495,-272.295,469.064,27.7522,-266.494,392.931,30.7827,-219.901,406.571,48.6886,-215.284,479.22,32.7748,,,,-289.53,580.851,-17.3316,-258.196,591.07,103.048,-244.762,589.61,155.05,-228.081,600.335,212.526,-200.25,556.399,212.811,-227.269,556.964,157.66,-243.359,558.605,108.436,-159.49,659.452,292.426,-124.797,562.75,251.226,-144.575,596.106,293.133,-13.9067,541.491,191.436,-12.1515,546.036,213.547,25.7513,548.492,211.727,17.6501,542.135,186.994
-186.463,355.445,30.3422,-260.099,340.318,21.2495,-272.292,469.064,27.7436,-266.494,392.932,30.7827,-219.902,406.572,48.6868,-215.281,479.22,32.7642,,,,-289.526,580.846,-17.349,-258.198,591.069,103.027,-244.77,589.615,155.034,-228.087,600.34,212.526,-200.263,556.408,212.819,-227.277,556.971,157.648,-243.363,558.606,108.419,-159.49,659.464,292.444,-124.797,562.753,251.25,-144.573,596.118,293.155,-13.9196,541.498,191.452,-12.1651,546.046,213.557,25.7373,548.505,211.739,17.64,542.146,187.005
