 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,, Cylinder_1,,, Cylinder_2,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-233.278,235.291,40.4248,-305.994,231.207,26.0751,-323.685,443.932,63.5561,-294.157,355.706,57.8807,-257.34,357.572,45.1073,-287.279,452.948,59.3194,,,,-360.346,511.755,34.672,-311.972,560.388,102.778,-292.97,582.535,130.105,-274.611,599.08,156.361,-256.166,562.539,166.842,-270.153,546.474,137.349,-292.825,523.524,107.828,-139.315,714.896,301.836,-127.259,598.127,272.398,-141.094,640.803,317.359,5.98463,533.678,222.449,6.82207,544.241,247.79,50.3095,537.128,250.06,48.5978,524.13,224.768,,,,,,
-233.386,235.036,40.1545,-306.195,231.085,25.9679,-324.324,443.444,64.0181,-294.585,355.27,57.9798,-257.72,357.308,45.1271,-287.881,452.41,60.1702,,,,-360.699,511.532,35.407,-312.264,560.387,103.373,-293.209,582.569,130.681,-274.771,599.158,156.848,-256.448,562.641,167.494,-270.567,546.501,138.135,-293.404,523.51,108.74,-139.189,715,301.984,-127.215,598.157,272.721,-140.951,640.922,317.566,6.01938,533.765,222.533,6.87582,544.329,247.876,50.3636,537.194,250.128,48.627,524.199,224.836,,,,,,
-233.497,234.812,39.8924,-306.39,230.969,25.8568,-324.969,442.979,64.4781,-295.02,354.857,58.0832,-258.107,357.064,45.1635,-288.493,451.9,61.0137,,,,-361.062,511.328,36.1359,-312.564,560.398,103.965,-293.452,582.611,131.252,-274.935,599.237,157.331,-256.728,562.745,168.131,-270.978,546.535,138.902,-293.979,523.508,109.631,-139.066,715.099,302.13,-127.172,598.185,273.035,-140.811,641.036,317.768,6.05266,533.849,222.615,6.92764,544.415,247.96,50.4159,537.258,250.192,48.6548,524.264,224.902,,,,,,
-233.609,234.619,39.6384,-306.581,230.861,25.7417,-325.618,442.537,64.936,-295.46,354.467,58.1909,-258.503,356.842,45.2165,-289.115,451.418,61.8499,,,,-361.436,511.143,36.8586,-312.869,560.422,104.551,-293.699,582.659,131.817,-275.103,599.32,157.811,-257.006,562.852,168.753,-271.388,546.576,139.651,-294.551,523.519,110.5,-138.948,715.194,302.272,-127.131,598.211,273.34,-140.677,641.145,317.965,6.08445,533.931,222.693,6.97753,544.497,248.04,50.4663,537.319,250.255,48.6813,524.328,224.966,,,,,,
-233.724,234.457,39.3926,-306.767,230.761,25.6227,-326.273,442.12,65.3918,-295.907,354.1,58.303,-258.907,356.642,45.2859,-289.746,450.964,62.6787,,,,-361.82,510.977,37.5751,-313.182,560.458,105.134,-293.951,582.715,132.377,-275.276,599.406,158.287,-257.281,562.96,169.359,-271.795,546.623,140.382,-295.12,523.542,111.348,-138.833,715.285,302.411,-127.092,598.235,273.635,-140.546,641.249,318.156,6.11476,534.01,222.769,7.02548,544.577,248.118,50.5148,537.378,250.314,48.7064,524.389,225.027,,,,,,
-233.841,234.326,39.1552,-306.947,230.668,25.4997,-326.933,441.726,65.8454,-296.36,353.756,58.4193,-259.319,356.463,45.372,-290.388,450.539,63.5001,,,,-362.215,510.829,38.2853,-313.5,560.506,105.711,-294.206,582.779,132.932,-275.452,599.494,158.76,-257.555,563.071,169.95,-272.2,546.678,141.093,-295.685,523.578,112.174,-138.723,715.372,302.547,-127.055,598.258,273.921,-140.42,641.349,318.341,6.14359,534.087,222.842,7.07151,544.653,248.192,50.5614,537.434,250.372,48.7302,524.448,225.085,,,,,,
-233.96,234.227,38.9264,-307.122,230.583,25.3729,-327.598,441.356,66.2968,-296.819,353.436,58.5398,-259.739,356.305,45.4745,-291.039,450.141,64.3139,,,,-362.62,510.701,38.9891,-313.825,560.567,106.285,-294.465,582.85,133.482,-275.633,599.585,159.229,-257.826,563.185,170.525,-272.602,546.739,141.787,-296.246,523.626,112.978,-138.616,715.455,302.679,-127.019,598.278,274.198,-140.299,641.443,318.521,6.17094,534.16,222.912,7.1156,544.727,248.264,50.6062,537.489,250.426,48.7525,524.504,225.141,,,,,,
-234.081,234.159,38.7065,-307.291,230.505,25.2423,-328.268,441.009,66.7459,-297.284,353.139,58.6647,-260.167,356.17,45.5936,-291.698,449.772,65.1199,,,,-363.036,510.592,39.6863,-314.156,560.641,106.853,-294.729,582.928,134.026,-275.817,599.679,159.695,-258.095,563.301,171.085,-273.003,546.807,142.461,-296.804,523.687,113.76,-138.513,715.534,302.809,-126.985,598.297,274.466,-140.181,641.533,318.695,6.19681,534.231,222.979,7.15776,544.798,248.332,50.6491,537.54,250.478,48.7736,524.558,225.194,,,,,,
-234.203,234.122,38.4962,-307.454,230.436,25.1079,-328.942,440.687,67.1924,-297.754,352.866,58.7938,-260.602,356.056,45.7291,-292.367,449.432,65.9176,,,,-363.461,510.501,40.3765,-314.493,560.726,107.416,-294.996,583.013,134.564,-276.005,599.776,160.157,-258.361,563.419,171.629,-273.4,546.881,143.117,-297.358,523.76,114.52,-138.414,715.609,302.935,-126.952,598.313,274.724,-140.069,641.619,318.864,6.2212,534.3,223.042,7.19799,544.867,248.398,50.6901,537.59,250.528,48.7932,524.61,225.245,,,,,,
