 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-161.275,320.562,43.7759,-239.169,312.004,17.3354,-277.4,441.936,67.8709,-245.769,370.004,55.1429,-190.876,386.156,76.8892,-227.89,450.394,97.6971,,,,-297.672,547.889,76.7482,-264.14,587.497,155.111,-243.843,602.278,195.707,-221.603,621.317,245.507,-175.552,591.642,247.235,-208.177,569.625,199.625,-232.272,550.654,162.348,-132.028,749.815,312.532,-79.32,654.677,316.514,-109.333,685.038,338.265,42.4437,615.687,245.265,40.3452,630.051,266.457,85.9777,631.207,269.051,88.9961,612.898,246.229
-161.252,320.536,43.7552,-239.155,311.996,17.3739,-277.373,441.897,67.9119,-245.716,369.967,55.1799,-190.81,386.112,76.9203,-227.866,450.317,97.8119,,,,-297.789,547.861,76.7613,-264.237,587.471,155.154,-243.888,602.274,195.716,-221.682,621.323,245.499,-175.607,591.679,247.223,-208.203,569.638,199.65,-232.339,550.631,162.441,-132.002,749.739,312.52,-79.3353,654.555,316.475,-109.355,684.928,338.201,42.4658,615.605,245.258,40.3872,629.966,266.456,86.0163,631.128,269.036,89.0287,612.834,246.196
-161.232,320.517,43.7369,-239.143,311.99,17.4125,-277.352,441.864,67.9493,-245.668,369.935,55.2157,-190.751,386.074,76.9522,-227.85,450.247,97.9234,,,,-297.907,547.839,76.7686,-264.338,587.452,155.192,-243.936,602.275,195.72,-221.763,621.329,245.486,-175.663,591.714,247.208,-208.234,569.653,199.671,-232.413,550.612,162.529,-131.977,749.662,312.507,-79.3511,654.432,316.434,-109.378,684.817,338.135,42.4871,615.522,245.249,40.4281,629.88,266.455,86.0537,631.047,269.02,89.0603,612.769,246.163
-161.214,320.505,43.7209,-239.131,311.986,17.451,-277.338,441.836,67.983,-245.626,369.907,55.2504,-190.7,386.042,76.9848,-227.843,450.183,98.0317,,,,-298.027,547.821,76.7701,-264.442,587.441,155.224,-243.986,602.279,195.718,-221.844,621.335,245.47,-175.721,591.749,247.19,-208.271,569.669,199.689,-232.492,550.599,162.612,-131.953,749.584,312.493,-79.3674,654.308,316.393,-109.402,684.705,338.07,42.5078,615.438,245.24,40.4678,629.793,266.453,86.0901,630.965,269.004,89.0911,612.702,246.13
-161.198,320.5,43.7073,-239.121,311.984,17.4894,-277.33,441.813,68.013,-245.59,369.882,55.284,-190.656,386.017,77.018,-227.844,450.126,98.1366,,,,-298.148,547.81,76.7657,-264.549,587.436,155.25,-244.04,602.288,195.712,-221.925,621.343,245.45,-175.781,591.782,247.169,-208.313,569.687,199.703,-232.578,550.59,162.689,-131.931,749.504,312.478,-79.3843,654.184,316.352,-109.427,684.592,338.004,42.5278,615.353,245.23,40.5064,629.705,266.451,86.1254,630.882,268.988,89.1209,612.634,246.096
-161.184,320.503,43.6962,-239.111,311.984,17.5279,-277.328,441.795,68.0393,-245.559,369.862,55.3164,-190.619,385.998,77.052,-227.854,450.075,98.2383,,,,-298.271,547.803,76.7555,-264.659,587.438,155.27,-244.096,602.3,195.7,-222.007,621.351,245.427,-175.842,591.814,247.145,-208.36,569.707,199.714,-232.67,550.586,162.762,-131.91,749.423,312.462,-79.4017,654.06,316.31,-109.452,684.478,337.937,42.5471,615.267,245.219,40.5438,629.615,266.448,86.1596,630.798,268.971,89.1498,612.565,246.063
-161.173,320.512,43.6873,-239.102,311.987,17.5662,-277.332,441.782,68.062,-245.534,369.846,55.3478,-190.589,385.984,77.0866,-227.872,450.031,98.3367,,,,-298.395,547.802,76.7394,-264.771,587.446,155.285,-244.155,602.317,195.682,-222.089,621.359,245.399,-175.905,591.845,247.118,-208.412,569.728,199.721,-232.768,550.586,162.828,-131.891,749.34,312.445,-79.4197,653.934,316.267,-109.478,684.363,337.869,42.5656,615.18,245.207,40.58,629.525,266.443,86.1926,630.713,268.953,89.1778,612.495,246.028
-161.164,320.529,43.6809,-239.094,311.992,17.6046,-277.342,441.774,68.0809,-245.514,369.834,55.3781,-190.566,385.977,77.1219,-227.898,449.994,98.4318,,,,-298.521,547.807,76.7176,-264.887,587.462,155.294,-244.217,602.337,195.66,-222.172,621.368,245.368,-175.969,591.875,247.088,-208.469,569.751,199.724,-232.872,550.592,162.889,-131.872,749.256,312.427,-79.4382,653.809,316.224,-109.505,684.247,337.802,42.5835,615.093,245.195,40.6151,629.434,266.439,86.2246,630.626,268.935,89.2048,612.424,245.994
-161.157,320.553,43.6768,-239.087,311.999,17.6429,-277.359,441.771,68.0962,-245.5,369.826,55.4072,-190.55,385.976,77.1579,-227.933,449.963,98.5236,,,,-298.648,547.817,76.6898,-265.006,587.485,155.298,-244.281,602.362,195.632,-222.255,621.378,245.334,-176.035,591.904,247.055,-208.532,569.776,199.724,-232.982,550.602,162.945,-131.856,749.171,312.408,-79.4572,653.683,316.179,-109.532,684.13,337.733,42.6007,615.005,245.182,40.6491,629.341,266.433,86.2555,630.539,268.917,89.2309,612.352,245.959
-161.153,320.584,43.6751,-239.08,312.008,17.681,-277.381,441.773,68.1077,-245.491,369.822,55.4351,-190.541,385.981,77.1945,-227.976,449.939,98.612,,,,-298.776,547.832,76.6563,-265.127,587.514,155.295,-244.349,602.39,195.599,-222.339,621.389,245.295,-176.102,591.932,247.018,-208.6,569.803,199.72,-233.099,550.616,162.996,-131.84,749.084,312.389,-79.4768,653.556,316.135,-109.56,684.012,337.664,42.6172,614.915,245.167,40.6819,629.248,266.426,86.2852,630.45,268.898,89.2561,612.278,245.924
-161.151,320.622,43.6758,-239.075,312.02,17.719,-277.41,441.78,68.1155,-245.487,369.822,55.4619,-190.539,385.993,77.2318,-228.027,449.921,98.6971,,,,-298.906,547.853,76.6169,-265.251,587.55,155.287,-244.419,602.423,195.561,-222.423,621.4,245.253,-176.171,591.958,246.979,-208.673,569.832,199.712,-233.221,550.636,163.041,-131.826,748.996,312.368,-79.4969,653.428,316.089,-109.589,683.893,337.595,42.633,614.825,245.152,40.7135,629.153,266.419,86.3139,630.36,268.878,89.2803,612.203,245.889
-161.151,320.668,43.6788,-239.07,312.033,17.7568,-277.445,441.792,68.1195,-245.489,369.826,55.4874,-190.544,386.01,77.2696,-228.087,449.91,98.7788,,,,-299.037,547.879,76.5717,-265.379,587.593,155.274,-244.492,602.459,195.518,-222.508,621.412,245.207,-176.242,591.984,246.937,-208.751,569.862,199.701,-233.35,550.66,163.081,-131.814,748.906,312.346,-79.5176,653.301,316.043,-109.619,683.773,337.525,42.648,614.734,245.137,40.744,629.058,266.411,86.3414,630.269,268.859,89.3036,612.126,245.854
-161.154,320.721,43.6842,-239.065,312.049,17.7944,-277.485,441.81,68.1198,-245.497,369.835,55.5116,-190.556,386.034,77.3079,-228.154,449.906,98.857,,,,-299.17,547.91,76.5207,-265.508,587.643,155.254,-244.568,602.5,195.469,-222.593,621.424,245.157,-176.313,592.008,246.892,-208.835,569.893,199.687,-233.484,550.689,163.115,-131.803,748.815,312.323,-79.5388,653.172,315.996,-109.65,683.652,337.455,42.6624,614.642,245.12,40.7734,628.961,266.402,86.3678,630.176,268.839,89.326,612.049,245.818
-161.158,320.781,43.692,-239.061,312.067,17.8316,-277.531,441.832,68.1162,-245.509,369.848,55.5345,-190.575,386.065,77.3467,-228.229,449.909,98.9318,,,,-299.303,547.946,76.4638,-265.641,587.699,155.229,-244.646,602.544,195.415,-222.679,621.437,245.104,-176.387,592.031,246.844,-208.923,569.927,199.668,-233.624,550.722,163.144,-131.793,748.722,312.299,-79.5606,653.043,315.949,-109.681,683.53,337.384,42.6761,614.549,245.102,40.8016,628.863,266.393,86.3932,630.083,268.818,89.3475,611.97,245.782
-161.164,320.849,43.7021,-239.058,312.088,17.8684,-277.583,441.859,68.1088,-245.527,369.865,55.556,-190.6,386.101,77.3859,-228.311,449.918,99.003,,,,-299.438,547.988,76.4011,-265.776,587.762,155.198,-244.727,602.592,195.356,-222.765,621.45,245.047,-176.462,592.053,246.793,-209.016,569.962,199.646,-233.77,550.76,163.167,-131.784,748.628,312.274,-79.5828,652.914,315.901,-109.713,683.408,337.312,42.6891,614.456,245.084,40.8286,628.765,266.383,86.4174,629.988,268.797,89.368,611.891,245.746
