 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
161.016,198.823,37.6581,225.593,195.823,19.506,224.885,382.609,71.8023,199.838,314.196,57.6414,249.142,307.612,38.715,264.436,372.027,44.3675,199.619,462.55,-16.2429,274.36,451.75,29.6657,226.356,476.843,126.09,212.581,502.265,166.207,202.839,525.911,212.505,230.167,563.116,195.419,236.952,535.103,151.807,248.095,507.528,113.135,147.472,666.092,298.105,101.611,569.497,284.747,140.854,607.298,320.044,-49.8307,528.852,248.828,-49.8607,540.967,274.616,-6.5219,542.958,273.025,-5.69086,533.077,246.595
160.994,198.822,37.6545,225.577,195.827,19.5177,224.871,382.605,71.8009,199.815,314.191,57.6482,249.118,307.613,38.7207,264.427,372.02,44.3663,199.587,462.504,-16.2206,274.342,451.75,29.6641,226.35,476.845,126.065,212.577,502.247,166.17,202.831,525.857,212.474,230.183,563.072,195.412,236.964,535.085,151.79,248.094,507.527,113.112,147.543,666.008,298.101,101.651,569.439,284.729,140.915,607.204,320.056,-49.7696,528.824,248.799,-49.8006,540.931,274.589,-6.46383,542.923,272.999,-5.63197,533.038,246.569
160.975,198.82,37.6513,225.562,195.83,19.5284,224.858,382.601,71.7988,199.795,314.187,57.6542,249.097,307.613,38.7255,264.418,372.014,44.3645,199.555,462.458,-16.1992,274.327,451.75,29.6613,226.344,476.846,126.04,212.575,502.228,166.133,202.825,525.805,212.444,230.199,563.028,195.405,236.977,535.066,151.772,248.093,507.525,113.089,147.613,665.926,298.098,101.69,569.382,284.713,140.975,607.114,320.068,-49.7094,528.798,248.77,-49.7414,540.898,274.563,-6.40669,542.89,272.973,-5.57392,533.001,246.543
160.957,198.819,37.6483,225.549,195.833,19.5382,224.848,382.598,71.7962,199.777,314.183,57.6595,249.077,307.613,38.7294,264.412,372.008,44.3621,199.526,462.412,-16.1788,274.314,451.749,29.6574,226.34,476.846,126.015,212.574,502.209,166.097,202.82,525.753,212.414,230.217,562.985,195.398,236.99,535.048,151.756,248.094,507.522,113.067,147.682,665.847,298.094,101.729,569.327,284.696,141.035,607.027,320.08,-49.6501,528.773,248.741,-49.6832,540.866,274.536,-6.35048,542.858,272.948,-5.51672,532.967,246.518
160.941,198.817,37.6458,225.538,195.836,19.5469,224.838,382.595,71.7928,199.762,314.179,57.664,249.061,307.614,38.7323,264.406,372.003,44.359,199.499,462.365,-16.1593,274.303,451.749,29.6524,226.336,476.846,125.99,212.574,502.189,166.062,202.816,525.702,212.386,230.235,562.943,195.392,237.004,535.029,151.74,248.097,507.518,113.045,147.75,665.772,298.091,101.767,569.274,284.681,141.093,606.943,320.092,-49.5917,528.751,248.711,-49.6259,540.836,274.51,-6.2952,542.829,272.922,-5.46035,532.934,246.492
160.927,198.815,37.6436,225.527,195.839,19.5548,224.831,382.593,71.7889,199.749,314.175,57.6678,249.046,307.614,38.7342,264.401,371.999,44.3553,199.473,462.319,-16.1408,274.293,451.748,29.6463,226.334,476.845,125.964,212.574,502.169,166.028,202.814,525.652,212.358,230.254,562.902,195.386,237.019,535.01,151.724,248.101,507.514,113.023,147.817,665.699,298.087,101.805,569.223,284.666,141.15,606.861,320.104,-49.5342,528.731,248.682,-49.5695,540.809,274.483,-6.24084,542.802,272.896,-5.40484,532.904,246.466
160.914,198.814,37.6418,225.518,195.841,19.5616,224.825,382.591,71.7844,199.739,314.171,57.6708,249.034,307.614,38.7352,264.398,371.995,44.351,199.45,462.272,-16.1233,274.285,451.748,29.639,226.332,476.843,125.939,212.576,502.149,165.995,202.813,525.602,212.332,230.273,562.861,195.38,237.035,534.991,151.709,248.106,507.509,113.002,147.882,665.628,298.083,101.842,569.174,284.652,141.207,606.783,320.115,-49.4776,528.713,248.653,-49.514,540.784,274.457,-6.18742,542.776,272.871,-5.35016,532.876,246.441
160.904,198.812,37.6403,225.511,195.843,19.5675,224.821,382.59,71.7792,199.73,314.168,57.6731,249.024,307.614,38.7353,264.396,371.992,44.346,199.428,462.225,-16.1068,274.28,451.747,29.6307,226.332,476.841,125.913,212.579,502.129,165.962,202.813,525.553,212.306,230.293,562.82,195.375,237.052,534.971,151.694,248.112,507.503,112.981,147.947,665.561,298.079,101.879,569.127,284.638,141.262,606.708,320.126,-49.4219,528.696,248.624,-49.4595,540.76,274.43,-6.13493,542.753,272.845,-5.29633,532.85,246.415
160.896,198.81,37.6392,225.505,195.844,19.5724,224.818,382.589,71.7734,199.724,314.165,57.6747,249.016,307.613,38.7344,264.395,371.99,44.3404,199.408,462.178,-16.0912,274.276,451.747,29.6212,226.332,476.838,125.887,212.582,502.109,165.93,202.815,525.505,212.282,230.314,562.781,195.371,237.069,534.951,151.681,248.12,507.496,112.96,148.01,665.496,298.075,101.915,569.081,284.625,141.316,606.635,320.137,-49.3671,528.682,248.594,-49.406,540.739,274.404,-6.08337,542.732,272.82,-5.24334,532.826,246.389
