 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-78.2229,288.137,26.41,-142.654,268.417,23.8974,-195.605,417.09,66.2773,-152.62,335.325,49.763,-104.492,348.959,41.7598,-142.634,436.111,76.6614,,,,-229.062,519.562,46.8062,-220.319,617.411,141.592,-212.599,659.522,189.6,-207.758,695.794,240.296,-168.374,654.355,255.724,-183.32,625.563,212.177,-192.901,594.496,167.876,-160.315,775.594,288.071,-107.954,691.961,292.211,-142.19,729.637,306.688,23.882,651.242,260.947,26.1706,664.467,284.653,67.0398,662.868,278.261,59.2488,649.622,256.426
-78.224,288.137,26.4102,-142.655,268.416,23.8956,-195.607,417.088,66.2764,-152.622,335.324,49.7614,-104.494,348.958,41.76,-142.637,436.11,76.6619,,,,-229.063,519.56,46.8072,-220.319,617.407,141.596,-212.601,659.517,189.605,-207.761,695.79,240.301,-168.377,654.349,255.73,-183.324,625.556,212.184,-192.9,594.493,167.879,-160.315,775.587,288.075,-107.956,691.95,292.222,-142.189,729.629,306.691,23.8853,651.238,260.958,26.1736,664.471,284.662,67.0436,662.87,278.271,59.2535,649.618,256.438
-78.2251,288.136,26.4104,-142.656,268.415,23.8937,-195.609,417.086,66.2755,-152.623,335.323,49.7598,-104.496,348.957,41.7601,-142.64,436.109,76.6623,,,,-229.065,519.559,46.8081,-220.32,617.402,141.601,-212.603,659.513,189.609,-207.764,695.786,240.306,-168.381,654.344,255.736,-183.328,625.549,212.191,-192.899,594.489,167.881,-160.316,775.58,288.079,-107.959,691.939,292.234,-142.187,729.622,306.694,23.8882,651.234,260.969,26.1762,664.475,284.67,67.047,662.872,278.281,59.2577,649.615,256.45
-78.2262,288.136,26.4105,-142.657,268.415,23.8917,-195.61,417.084,66.2745,-152.625,335.322,49.7581,-104.498,348.956,41.7602,-142.643,436.108,76.6626,,,,-229.067,519.557,46.8089,-220.32,617.398,141.605,-212.606,659.508,189.613,-207.767,695.781,240.31,-168.385,654.339,255.741,-183.332,625.542,212.197,-192.898,594.486,167.884,-160.316,775.573,288.082,-107.961,691.929,292.244,-142.186,729.615,306.696,23.8907,651.23,260.98,26.1783,664.478,284.678,67.05,662.873,278.29,59.2616,649.612,256.461
-78.2273,288.135,26.4106,-142.658,268.414,23.8897,-195.612,417.083,66.2733,-152.627,335.32,49.7563,-104.499,348.954,41.7603,-142.646,436.107,76.6628,,,,-229.069,519.555,46.8094,-220.321,617.394,141.609,-212.608,659.504,189.617,-207.771,695.777,240.315,-168.389,654.334,255.747,-183.336,625.536,212.203,-192.898,594.482,167.886,-160.317,775.567,288.086,-107.964,691.919,292.255,-142.186,729.608,306.699,23.8929,651.226,260.99,26.1801,664.481,284.686,67.0525,662.875,278.3,59.2651,649.609,256.473
-78.2285,288.135,26.4107,-142.66,268.413,23.8877,-195.614,417.081,66.2721,-152.628,335.319,49.7545,-104.501,348.953,41.7603,-142.649,436.106,76.6629,,,,-229.07,519.554,46.8099,-220.323,617.39,141.612,-212.611,659.499,189.621,-207.774,695.773,240.319,-168.393,654.329,255.752,-183.34,625.529,212.209,-192.898,594.479,167.887,-160.318,775.56,288.089,-107.967,691.909,292.265,-142.185,729.601,306.702,23.8946,651.221,261.001,26.1815,664.484,284.694,67.0547,662.876,278.309,59.2681,649.606,256.484
-78.2297,288.134,26.4107,-142.661,268.412,23.8855,-195.616,417.079,66.2708,-152.63,335.318,49.7526,-104.503,348.952,41.7603,-142.651,436.105,76.663,,,,-229.072,519.552,46.8101,-220.324,617.385,141.615,-212.614,659.495,189.624,-207.778,695.769,240.323,-168.398,654.324,255.757,-183.344,625.523,212.214,-192.898,594.475,167.889,-160.319,775.553,288.092,-107.97,691.9,292.274,-142.185,729.594,306.704,23.896,651.217,261.011,26.1824,664.487,284.702,67.0565,662.878,278.319,59.2708,649.603,256.495
-78.2309,288.134,26.4106,-142.662,268.412,23.8834,-195.618,417.077,66.2694,-152.632,335.317,49.7507,-104.505,348.951,41.7602,-142.654,436.104,76.6629,,,,-229.075,519.551,46.8102,-220.326,617.381,141.618,-212.617,659.491,189.627,-207.782,695.765,240.327,-168.402,654.318,255.761,-183.349,625.516,212.219,-192.898,594.472,167.891,-160.321,775.547,288.095,-107.974,691.891,292.283,-142.186,729.588,306.706,23.8969,651.213,261.021,26.183,664.49,284.71,67.0579,662.879,278.328,59.273,649.6,256.506
-78.2321,288.133,26.4106,-142.663,268.411,23.8812,-195.62,417.075,66.2679,-152.634,335.316,49.7487,-104.507,348.95,41.7601,-142.657,436.103,76.6628,,,,-229.077,519.549,46.8101,-220.327,617.377,141.621,-212.621,659.486,189.63,-207.786,695.761,240.33,-168.407,654.313,255.766,-183.354,625.51,212.224,-192.899,594.468,167.892,-160.322,775.54,288.098,-107.977,691.882,292.291,-142.186,729.581,306.708,23.8975,651.209,261.031,26.1832,664.493,284.718,67.0589,662.88,278.337,59.2748,649.597,256.517
