 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
172.238,194.334,43.0226,225.035,191.443,12.4998,244.876,314.845,60.176,219.563,250.76,52.9505,238.78,246.063,4.97953,267.708,316.122,15.8117,211.682,435.008,-6.04925,276.211,406.388,37.2158,263.317,431.17,107.191,262.708,460.43,156.448,252.925,485.794,219.635,264.275,526.28,202.514,274.821,487.783,139.09,274.964,455.726,89.919,180.066,586.968,301.96,148.905,485.741,250.98,180.509,527.345,296.431,24.6285,466.887,217.631,22.7201,476.06,243.461,63.6117,475.363,243.424,60.1524,465.206,219.109
172.238,194.334,43.0238,225.035,191.443,12.5008,244.876,314.847,60.175,219.563,250.761,52.9509,238.78,246.063,4.97917,267.708,316.122,15.8112,211.683,435.008,-6.05375,276.21,406.387,37.2113,263.318,431.17,107.186,262.71,460.428,156.442,252.928,485.792,219.632,264.278,526.279,202.511,274.824,487.783,139.085,274.965,455.725,89.9136,180.063,586.963,301.964,148.906,485.734,250.979,180.513,527.345,296.433,24.6342,466.888,217.622,22.7251,476.057,243.453,63.6174,475.364,243.416,60.1567,465.204,219.103
172.239,194.334,43.025,225.034,191.442,12.5018,244.875,314.849,60.1741,219.564,250.761,52.9513,238.78,246.063,4.97887,267.707,316.122,15.8107,211.683,435.008,-6.05821,276.21,406.387,37.207,263.319,431.169,107.181,262.711,460.427,156.436,252.932,485.79,219.629,264.28,526.279,202.508,274.826,487.782,139.08,274.967,455.723,89.9084,180.06,586.959,301.967,148.908,485.728,250.978,180.517,527.346,296.434,24.64,466.889,217.613,22.7302,476.056,243.446,63.6232,475.364,243.409,60.161,465.202,219.097
172.239,194.334,43.0262,225.034,191.441,12.5028,244.875,314.851,60.1732,219.564,250.762,52.9517,238.78,246.063,4.97862,267.707,316.123,15.8102,211.684,435.008,-6.06263,276.21,406.386,37.2029,263.319,431.169,107.176,262.713,460.426,156.43,252.935,485.788,219.626,264.283,526.279,202.505,274.829,487.781,139.075,274.968,455.722,89.9033,180.058,586.955,301.97,148.909,485.722,250.977,180.521,527.346,296.436,24.6457,466.89,217.604,22.7355,476.055,243.438,63.629,475.365,243.402,60.1655,465.201,219.092
172.239,194.334,43.0273,225.034,191.441,12.5038,244.875,314.852,60.1723,219.564,250.762,52.9521,238.78,246.063,4.97843,267.707,316.123,15.8097,211.684,435.009,-6.06699,276.21,406.385,37.1989,263.32,431.169,107.171,262.715,460.424,156.425,252.938,485.786,219.623,264.286,526.279,202.502,274.832,487.781,139.071,274.97,455.721,89.8985,180.056,586.952,301.973,148.911,485.716,250.976,180.525,527.347,296.437,24.6515,466.891,217.596,22.7409,476.054,243.431,63.635,475.367,243.395,60.17,465.2,219.086
172.239,194.334,43.0285,225.034,191.44,12.5048,244.875,314.854,60.1715,219.565,250.763,52.9525,238.78,246.063,4.9783,267.707,316.124,15.8092,211.685,435.009,-6.07131,276.209,406.384,37.195,263.321,431.169,107.166,262.716,460.423,156.42,252.941,485.785,219.62,264.288,526.279,202.499,274.834,487.78,139.066,274.971,455.719,89.8938,180.054,586.949,301.976,148.913,485.71,250.976,180.529,527.348,296.438,24.6574,466.893,217.588,22.7465,476.054,243.424,63.6411,475.368,243.388,60.1745,465.2,219.08
172.239,194.334,43.0297,225.034,191.44,12.5058,244.875,314.855,60.1708,219.565,250.763,52.9529,238.781,246.063,4.97823,267.706,316.124,15.8087,211.685,435.009,-6.07557,276.209,406.384,37.1912,263.322,431.169,107.162,262.718,460.422,156.415,252.945,485.784,219.617,264.291,526.279,202.497,274.836,487.779,139.062,274.972,455.718,89.8893,180.053,586.946,301.978,148.914,485.704,250.975,180.533,527.349,296.439,24.6633,466.896,217.58,22.7521,476.054,243.417,63.6473,475.37,243.382,60.1792,465.2,219.075
172.24,194.334,43.0308,225.034,191.44,12.5068,244.874,314.856,60.1701,219.565,250.764,52.9532,238.781,246.063,4.97822,267.706,316.125,15.8083,211.685,435.009,-6.07979,276.209,406.383,37.1876,263.323,431.169,107.157,262.72,460.421,156.411,252.947,485.783,219.614,264.293,526.28,202.494,274.838,487.779,139.058,274.973,455.717,89.8849,180.052,586.944,301.981,148.916,485.698,250.975,180.537,527.351,296.44,24.6693,466.898,217.572,22.7579,476.055,243.411,63.6536,475.372,243.375,60.1838,465.2,219.07
172.24,194.334,43.032,225.034,191.439,12.5077,244.874,314.858,60.1694,219.565,250.764,52.9536,238.781,246.063,4.97826,267.706,316.125,15.8078,211.686,435.01,-6.08395,276.209,406.383,37.1842,263.323,431.169,107.153,262.721,460.42,156.406,252.95,485.782,219.612,264.296,526.28,202.492,274.841,487.779,139.054,274.974,455.716,89.8808,180.051,586.942,301.983,148.918,485.693,250.974,180.541,527.352,296.441,24.6752,466.901,217.565,22.7639,476.056,243.404,63.66,475.375,243.369,60.1886,465.201,219.064
172.24,194.334,43.0331,225.034,191.439,12.5086,244.874,314.859,60.1689,219.565,250.764,52.9539,238.781,246.063,4.97836,267.706,316.125,15.8074,211.686,435.01,-6.08805,276.208,406.382,37.1808,263.324,431.169,107.149,262.723,460.419,156.402,252.953,485.782,219.61,264.298,526.281,202.49,274.843,487.778,139.05,274.975,455.715,89.8768,180.051,586.94,301.985,148.92,485.688,250.974,180.546,527.354,296.442,24.6813,466.905,217.558,22.77,476.057,243.398,63.6665,475.378,243.362,60.1934,465.201,219.059
172.241,194.335,43.0342,225.034,191.439,12.5095,244.874,314.86,60.1683,219.565,250.765,52.9543,238.781,246.063,4.97851,267.705,316.126,15.8069,211.686,435.01,-6.09208,276.208,406.382,37.1777,263.324,431.169,107.146,262.724,460.418,156.398,252.956,485.781,219.607,264.3,526.282,202.487,274.844,487.778,139.046,274.976,455.714,89.873,180.051,586.939,301.987,148.922,485.683,250.974,180.55,527.356,296.443,24.6873,466.908,217.551,22.7762,476.06,243.392,63.6731,475.381,243.356,60.1983,465.203,219.054
172.241,194.335,43.0353,225.034,191.439,12.5104,244.873,314.861,60.1679,219.566,250.765,52.9546,238.782,246.063,4.97872,267.705,316.126,15.8065,211.686,435.01,-6.09604,276.208,406.381,37.1746,263.325,431.169,107.142,262.726,460.417,156.394,252.958,485.781,219.605,264.303,526.283,202.485,274.846,487.778,139.043,274.976,455.713,89.8694,180.051,586.938,301.989,148.925,485.678,250.974,180.554,527.358,296.444,24.6934,466.912,217.544,22.7825,476.062,243.386,63.6798,475.384,243.35,60.2032,465.204,219.049
172.241,194.335,43.0364,225.035,191.439,12.5113,244.873,314.861,60.1675,219.565,250.766,52.9549,238.782,246.063,4.97899,267.705,316.127,15.8061,211.687,435.011,-6.09992,276.207,406.381,37.1717,263.325,431.169,107.139,262.727,460.417,156.391,252.961,485.781,219.604,264.305,526.285,202.483,274.848,487.778,139.039,274.977,455.712,89.8659,180.052,586.938,301.991,148.927,485.673,250.974,180.559,527.36,296.444,24.6996,466.917,217.538,22.789,476.065,243.381,63.6866,475.388,243.344,60.2082,465.206,219.044
172.242,194.335,43.0375,225.035,191.44,12.5121,244.873,314.862,60.1671,219.565,250.766,52.9553,238.782,246.064,4.9793,267.704,316.127,15.8057,211.687,435.011,-6.1037,276.207,406.38,37.169,263.326,431.169,107.136,262.729,460.416,156.387,252.963,485.782,219.602,264.307,526.286,202.481,274.85,487.777,139.036,274.977,455.711,89.8627,180.053,586.938,301.992,148.93,485.668,250.974,180.563,527.362,296.445,24.7058,466.922,217.531,22.7956,476.069,243.375,63.6935,475.392,243.338,60.2133,465.208,219.039
172.242,194.335,43.0386,225.035,191.44,12.5128,244.872,314.863,60.1668,219.565,250.767,52.9556,238.783,246.064,4.97967,267.704,316.127,15.8053,211.687,435.012,-6.10738,276.206,406.38,37.1664,263.326,431.169,107.133,262.73,460.416,156.384,252.965,485.783,219.6,264.309,526.288,202.479,274.851,487.777,139.033,274.977,455.71,89.8596,180.054,586.938,301.993,148.932,485.664,250.974,180.568,527.364,296.445,24.712,466.927,217.525,22.8023,476.073,243.37,63.7005,475.397,243.333,60.2184,465.211,219.035
172.242,194.336,43.0396,225.036,191.44,12.5135,244.872,314.863,60.1666,219.565,250.767,52.9559,238.783,246.064,4.98009,267.703,316.128,15.8049,211.687,435.012,-6.11094,276.206,406.38,37.1639,263.327,431.169,107.13,262.731,460.416,156.381,252.967,485.784,219.598,264.311,526.29,202.478,274.852,487.777,139.03,274.977,455.709,89.8567,180.056,586.939,301.995,148.935,485.66,250.974,180.572,527.367,296.446,24.7183,466.932,217.52,22.8092,476.078,243.365,63.7076,475.401,243.327,60.2236,465.213,219.03
172.243,194.336,43.0406,225.036,191.44,12.5142,244.872,314.863,60.1664,219.565,250.767,52.9562,238.783,246.065,4.98055,267.703,316.128,15.8045,211.687,435.012,-6.11438,276.206,406.38,37.1616,263.327,431.169,107.128,262.733,460.415,156.379,252.969,485.785,219.597,264.313,526.292,202.476,274.854,487.778,139.027,274.978,455.708,89.8541,180.058,586.94,301.996,148.938,485.656,250.974,180.577,527.37,296.446,24.7246,466.938,217.514,22.8162,476.083,243.36,63.7148,475.406,243.322,60.2288,465.216,219.026
172.243,194.336,43.0416,225.037,191.441,12.5148,244.871,314.864,60.1663,219.565,250.768,52.9566,238.784,246.065,4.98106,267.703,316.129,15.8042,211.687,435.013,-6.11767,276.205,406.379,37.1595,263.327,431.169,107.125,262.734,460.415,156.376,252.971,485.786,219.596,264.315,526.294,202.474,274.855,487.778,139.025,274.977,455.708,89.8516,180.06,586.941,301.996,148.94,485.652,250.975,180.581,527.372,296.446,24.7309,466.944,217.509,22.8233,476.088,243.355,63.7221,475.412,243.317,60.2341,465.22,219.021
172.244,194.337,43.0426,225.037,191.441,12.5154,244.871,314.864,60.1663,219.565,250.768,52.9569,238.784,246.066,4.9816,267.702,316.129,15.8038,211.687,435.013,-6.12081,276.205,406.379,37.1575,263.328,431.169,107.123,262.735,460.415,156.374,252.973,485.788,219.595,264.317,526.296,202.472,274.856,487.778,139.022,274.977,455.707,89.8493,180.062,586.943,301.997,148.943,485.648,250.975,180.586,527.376,296.446,24.7373,466.951,217.504,22.8306,476.094,243.35,63.7294,475.417,243.312,60.2394,465.224,219.017
172.244,194.337,43.0436,225.038,191.442,12.5159,244.871,314.864,60.1663,219.565,250.768,52.9573,238.785,246.066,4.98218,267.702,316.129,15.8035,211.686,435.014,-6.12378,276.204,406.379,37.1557,263.328,431.169,107.121,262.736,460.416,156.372,252.975,485.79,219.593,264.319,526.299,202.471,274.857,487.779,139.02,274.977,455.707,89.8472,180.065,586.945,301.998,148.946,485.645,250.975,180.591,527.379,296.446,24.7437,466.958,217.499,22.8379,476.101,243.346,63.7369,475.423,243.307,60.2449,465.228,219.013
172.245,194.337,43.0445,225.038,191.442,12.5163,244.87,314.864,60.1663,219.565,250.769,52.9576,238.785,246.067,4.98278,267.701,316.13,15.8032,211.686,435.014,-6.12657,276.204,406.379,37.1541,263.328,431.17,107.12,262.738,460.416,156.37,252.976,485.792,219.592,264.321,526.302,202.469,274.858,487.779,139.018,274.977,455.706,89.8453,180.069,586.948,301.998,148.95,485.642,250.975,180.595,527.382,296.446,24.7501,466.965,217.494,22.8454,476.108,243.341,63.7445,475.43,243.302,60.2503,465.232,219.009
172.245,194.338,43.0454,225.039,191.443,12.5167,244.87,314.864,60.1664,219.564,250.769,52.958,238.786,246.067,4.98341,267.701,316.13,15.8029,211.686,435.015,-6.12918,276.203,406.38,37.1526,263.328,431.17,107.118,262.739,460.416,156.369,252.978,485.794,219.591,264.323,526.305,202.468,274.859,487.78,139.016,274.976,455.706,89.8436,180.072,586.951,301.998,148.953,485.639,250.976,180.6,527.386,296.446,24.7566,466.973,217.49,22.853,476.115,243.337,63.7521,475.436,243.297,60.2558,465.237,219.005
172.246,194.338,43.0462,225.039,191.444,12.517,244.87,314.864,60.1666,219.564,250.769,52.9584,238.786,246.068,4.98405,267.701,316.131,15.8026,211.686,435.016,-6.13158,276.203,406.38,37.1513,263.329,431.171,107.117,262.74,460.417,156.367,252.979,485.797,219.591,264.325,526.308,202.466,274.86,487.781,139.014,274.976,455.706,89.842,180.076,586.954,301.998,148.956,485.637,250.976,180.605,527.389,296.445,24.7631,466.981,217.486,22.8608,476.123,243.333,63.7598,475.443,243.292,60.2614,465.242,219.001
172.246,194.338,43.047,225.04,191.444,12.5173,244.87,314.864,60.1668,219.564,250.77,52.9587,238.787,246.068,4.98469,267.701,316.131,15.8024,211.685,435.016,-6.13377,276.202,406.38,37.1501,263.329,431.171,107.116,262.741,460.418,156.366,252.981,485.8,219.59,264.326,526.311,202.465,274.86,487.782,139.013,274.976,455.706,89.8407,180.081,586.957,301.997,148.96,485.634,250.976,180.61,527.393,296.445,24.7696,466.989,217.482,22.8686,476.131,243.33,63.7676,475.45,243.288,60.267,465.247,218.997
172.246,194.339,43.0478,225.041,191.445,12.5176,244.87,314.864,60.167,219.564,250.77,52.9591,238.787,246.069,4.98533,267.7,316.131,15.8021,211.685,435.017,-6.13575,276.202,406.381,37.1491,263.329,431.172,107.115,262.742,460.419,156.365,252.982,485.803,219.589,264.328,526.315,202.463,274.861,487.783,139.011,274.975,455.706,89.8395,180.085,586.961,301.997,148.963,485.633,250.977,180.615,527.397,296.444,24.7761,466.998,217.478,22.8765,476.14,243.326,63.7755,475.458,243.284,60.2727,465.253,218.993
172.247,194.339,43.0485,225.041,191.445,12.5178,244.87,314.863,60.1672,219.564,250.77,52.9595,238.787,246.069,4.98596,267.7,316.132,15.8019,211.684,435.018,-6.13751,276.201,406.381,37.1482,263.33,431.173,107.114,262.743,460.421,156.364,252.984,485.807,219.588,264.33,526.318,202.462,274.862,487.785,139.01,274.975,455.707,89.8385,180.09,586.966,301.996,148.967,485.631,250.977,180.621,527.402,296.443,24.7827,467.007,217.475,22.8846,476.149,243.323,63.7834,475.465,243.279,60.2784,465.259,218.989
172.247,194.339,43.0492,225.042,191.446,12.5179,244.87,314.863,60.1675,219.565,250.77,52.9599,238.788,246.07,4.98657,267.7,316.132,15.8017,211.684,435.018,-6.13905,276.201,406.382,37.1474,263.33,431.174,107.114,262.745,460.422,156.363,252.985,485.811,219.588,264.331,526.322,202.46,274.862,487.787,139.009,274.974,455.707,89.8376,180.096,586.971,301.995,148.971,485.63,250.977,180.626,527.406,296.442,24.7892,467.017,217.472,22.8927,476.158,243.32,63.7914,475.473,243.275,60.2841,465.265,218.986
172.248,194.34,43.0499,225.043,191.447,12.518,244.87,314.863,60.1678,219.565,250.77,52.9603,238.788,246.07,4.98714,267.7,316.132,15.8015,211.683,435.019,-6.14038,276.2,406.383,37.1468,263.331,431.175,107.113,262.746,460.424,156.363,252.986,485.815,219.587,264.333,526.326,202.459,274.863,487.789,139.008,274.974,455.708,89.8368,180.102,586.976,301.994,148.975,485.629,250.977,180.631,527.411,296.441,24.7958,467.026,217.469,22.9009,476.168,243.317,63.7995,475.482,243.271,60.2899,465.271,218.982
