 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,, Cylinder_1,,, Cylinder_2,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
157.184,346.311,44.9123,214.83,347.985,8.05742,147.066,472.475,41.6683,153.946,418.277,48.5005,205.51,435.392,51.7938,210.922,474.07,48.4257,,,,220.257,602.849,22.6301,168.776,646.904,122.276,157.629,675.898,150.104,144.771,702.31,175.76,173.362,738.211,150.377,185.59,709.49,129.326,197.197,679.037,102.939,62.2642,843.403,237.944,47.6935,742.477,224.509,64.383,779.42,246.629,-96.8746,699.378,173.714,-96.257,707.834,201.878,-50.3239,709.21,201.869,-52.4426,700.298,174.403,,,,,,
157.255,346.272,44.834,214.872,348.037,7.9571,147.125,472.458,41.638,153.997,418.255,48.4445,205.544,435.382,51.7742,210.963,474.061,48.4141,,,,220.243,602.871,22.6148,168.697,646.879,122.224,157.607,675.906,150.041,144.79,702.348,175.717,173.346,738.249,150.292,185.555,709.5,129.229,197.133,679.035,102.856,62.2536,843.413,237.959,47.6494,742.479,224.528,64.3557,779.414,246.621,-96.9002,699.387,173.717,-96.2812,707.844,201.882,-50.3473,709.217,201.873,-52.4684,700.299,174.41,,,,,,
157.316,346.242,44.7498,214.915,348.082,7.86658,147.19,472.447,41.6054,154.049,418.237,48.3866,205.582,435.372,51.7532,211.01,474.049,48.4029,,,,220.242,602.896,22.6069,168.638,646.86,122.186,157.594,675.915,149.988,144.81,702.381,175.683,173.33,738.286,150.218,185.522,709.514,129.141,197.078,679.042,102.779,62.242,843.42,237.972,47.6045,742.479,224.547,64.3273,779.406,246.614,-96.9257,699.395,173.721,-96.3052,707.853,201.886,-50.3705,709.222,201.877,-52.4941,700.299,174.417,,,,,,
157.367,346.221,44.6596,214.96,348.117,7.78588,147.261,472.441,41.5706,154.102,418.222,48.3268,205.622,435.36,51.7309,211.062,474.037,48.3922,,,,220.254,602.921,22.6064,168.6,646.848,122.163,157.591,675.925,149.945,144.833,702.41,175.658,173.314,738.321,150.155,185.491,709.531,129.06,197.029,679.058,102.709,62.2294,843.422,237.983,47.5589,742.477,224.567,64.2979,779.396,246.608,-96.9509,699.402,173.725,-96.329,707.86,201.89,-50.3935,709.226,201.882,-52.5197,700.298,174.424,,,,,,
157.407,346.208,44.5634,215.005,348.145,7.71501,147.338,472.44,41.5335,154.156,418.211,48.2651,205.665,435.347,51.7073,211.12,474.022,48.3818,,,,220.279,602.949,22.6134,168.582,646.841,122.154,157.596,675.936,149.913,144.859,702.434,175.642,173.298,738.354,150.103,185.463,709.552,128.986,196.987,679.083,102.646,62.2157,843.421,237.993,47.5125,742.472,224.587,64.2675,779.383,246.602,-96.976,699.407,173.729,-96.3525,707.866,201.894,-50.4163,709.229,201.886,-52.5451,700.296,174.431,,,,,,
157.438,346.204,44.4614,215.051,348.164,7.65407,147.422,472.444,41.4942,154.21,418.203,48.2016,205.71,435.332,51.6825,211.183,474.006,48.3719,,,,220.318,602.979,22.6279,168.585,646.839,122.16,157.611,675.948,149.891,144.886,702.454,175.636,173.282,738.386,150.062,185.438,709.575,128.921,196.953,679.117,102.59,62.2011,843.417,238,47.4653,742.466,224.608,64.2361,779.368,246.598,-97.0009,699.411,173.734,-96.3757,707.871,201.899,-50.439,709.23,201.891,-52.5704,700.292,174.439,,,,,,
157.457,346.21,44.3536,215.098,348.174,7.60317,147.512,472.453,41.4526,154.264,418.199,48.1363,205.759,435.317,51.6564,211.252,473.989,48.3624,,,,220.369,603.01,22.6497,168.608,646.844,122.179,157.636,675.961,149.879,144.916,702.47,175.639,173.266,738.416,150.032,185.415,709.602,128.864,196.925,679.16,102.54,62.1855,843.409,238.006,47.4174,742.457,224.629,64.2037,779.351,246.595,-97.0257,699.414,173.739,-96.3987,707.874,201.904,-50.4615,709.23,201.896,-52.5956,700.287,174.446,,,,,,
157.467,346.224,44.2403,215.145,348.176,7.56253,147.607,472.466,41.409,154.319,418.198,48.0692,205.81,435.3,51.6293,211.326,473.969,48.3534,,,,220.434,603.043,22.6788,168.652,646.854,122.213,157.669,675.975,149.878,144.948,702.481,175.651,173.25,738.444,150.013,185.394,709.632,128.814,196.905,679.212,102.497,62.1689,843.397,238.011,47.3688,742.445,224.65,64.1703,779.331,246.592,-97.0502,699.416,173.743,-96.4215,707.876,201.909,-50.4837,709.229,201.902,-52.6206,700.281,174.454,,,,,,
157.465,346.247,44.1217,215.193,348.169,7.53244,147.709,472.485,41.3632,154.374,418.201,48.0005,205.863,435.282,51.6011,211.405,473.948,48.3451,,,,220.511,603.077,22.7152,168.716,646.87,122.26,157.712,675.99,149.887,144.982,702.487,175.672,173.235,738.47,150.004,185.376,709.665,128.772,196.892,679.273,102.46,62.1512,843.381,238.013,47.3194,742.432,224.672,64.1358,779.31,246.591,-97.0746,699.416,173.749,-96.444,707.877,201.914,-50.5058,709.227,201.908,-52.6455,700.273,174.462,,,,,,
157.453,346.279,43.9981,215.24,348.153,7.5133,147.815,472.509,41.3154,154.429,418.208,47.9303,205.917,435.263,51.5722,211.488,473.926,48.3375,,,,220.602,603.113,22.7588,168.8,646.892,122.322,157.764,676.006,149.906,145.019,702.49,175.702,173.219,738.494,150.007,185.36,709.701,128.738,196.887,679.342,102.431,62.1326,843.362,238.014,47.2693,742.416,224.695,64.1004,779.286,246.591,-97.0988,699.415,173.754,-96.4662,707.876,201.92,-50.5277,709.223,201.914,-52.6703,700.264,174.47,,,,,,
157.429,346.319,43.8702,215.287,348.128,7.50562,147.927,472.537,41.2657,154.482,418.218,47.8589,205.974,435.243,51.5427,211.576,473.902,48.3309,,,,220.704,603.151,22.8092,168.904,646.919,122.397,157.824,676.023,149.935,145.057,702.487,175.741,173.203,738.517,150.02,185.346,709.739,128.712,196.888,679.42,102.408,62.113,843.34,238.013,47.2185,742.397,224.717,64.0641,779.26,246.591,-97.1228,699.413,173.76,-96.4882,707.874,201.925,-50.5494,709.218,201.92,-52.6949,700.254,174.478,,,,,,
157.393,346.37,43.7387,215.332,348.093,7.50999,148.042,472.571,41.2142,154.535,418.232,47.7865,206.03,435.222,51.513,211.667,473.877,48.3254,,,,220.819,603.189,22.8664,169.029,646.952,122.485,157.894,676.041,149.974,145.098,702.48,175.789,173.188,738.537,150.043,185.335,709.781,128.694,196.896,679.506,102.391,62.0925,843.314,238.01,47.167,742.377,224.74,64.0268,779.231,246.593,-97.1466,699.409,173.765,-96.5099,707.87,201.931,-50.5709,709.212,201.926,-52.7194,700.242,174.487,,,,,,
157.344,346.429,43.6043,215.374,348.049,7.52714,148.161,472.609,41.1612,154.585,418.25,47.7133,206.087,435.2,51.4835,211.761,473.85,48.3213,,,,220.945,603.229,22.93,169.172,646.99,122.585,157.972,676.059,150.023,145.14,702.469,175.845,173.172,738.555,150.077,185.327,709.825,128.683,196.911,679.6,102.381,62.071,843.284,238.005,47.1148,742.354,224.764,63.9886,779.2,246.595,-97.1702,699.404,173.771,-96.5313,707.865,201.937,-50.5922,709.204,201.933,-52.7437,700.229,174.495,,,,,,
157.281,346.498,43.4681,215.412,347.994,7.55784,148.281,472.653,41.1068,154.631,418.273,47.6398,206.143,435.177,51.4547,211.856,473.822,48.319,,,,221.083,603.269,22.9997,169.335,647.034,122.698,158.058,676.078,150.081,145.185,702.452,175.91,173.157,738.57,150.122,185.32,709.871,128.68,196.932,679.702,102.377,62.0486,843.25,237.999,47.062,742.329,224.788,63.9494,779.167,246.599,-97.1936,699.398,173.777,-96.5525,707.859,201.943,-50.6132,709.195,201.94,-52.7679,700.215,174.504,,,,,,
157.204,346.576,43.3314,215.444,347.929,7.60295,148.403,472.702,41.0513,154.673,418.3,47.5665,206.196,435.154,51.4271,211.952,473.793,48.3187,,,,221.231,603.309,23.075,169.515,647.082,122.821,158.152,676.096,150.148,145.231,702.431,175.983,173.142,738.583,150.176,185.316,709.918,128.684,196.96,679.81,102.38,62.0253,843.213,237.991,47.0086,742.302,224.812,63.9095,779.132,246.603,-97.2168,699.391,173.784,-96.5733,707.851,201.949,-50.634,709.185,201.947,-52.7919,700.199,174.513,,,,,,
157.111,346.664,43.1955,215.469,347.853,7.66332,148.523,472.755,40.995,154.709,418.331,47.4938,206.246,435.13,51.4013,212.047,473.764,48.3211,,,,221.388,603.35,23.1554,169.713,647.135,122.955,158.254,676.115,150.224,145.278,702.405,176.064,173.127,738.593,150.24,185.315,709.967,128.696,196.994,679.925,102.388,62.0011,843.173,237.981,46.9546,742.273,224.836,63.8687,779.094,246.608,-97.2398,699.382,173.79,-96.5939,707.843,201.956,-50.6546,709.173,201.955,-52.8157,700.182,174.522,,,,,,
157.002,346.761,43.062,215.484,347.765,7.7398,148.641,472.814,40.9381,154.737,418.367,47.4223,206.29,435.106,51.378,212.14,473.733,48.3263,,,,221.555,603.39,23.2403,169.926,647.192,123.098,158.362,676.133,150.307,145.327,702.373,176.152,173.112,738.6,150.313,185.315,710.017,128.714,197.034,680.045,102.402,61.976,843.128,237.969,46.9001,742.241,224.861,63.8272,779.055,246.614,-97.2625,699.372,173.797,-96.6141,707.832,201.963,-50.6749,709.16,201.962,-52.8394,700.164,174.531,,,,,,
156.874,346.867,42.9328,215.487,347.666,7.83317,148.755,472.877,40.8811,154.756,418.408,47.3527,206.326,435.082,51.3581,212.228,473.702,48.3351,,,,221.729,603.428,23.3289,170.155,647.253,123.25,158.477,676.15,150.399,145.377,702.337,176.248,173.098,738.603,150.395,185.318,710.067,128.74,197.08,680.17,102.421,61.9502,843.081,237.955,46.8452,742.207,224.886,63.785,779.013,246.621,-97.285,699.36,173.804,-96.6341,707.821,201.969,-50.6949,709.146,201.97,-52.8628,700.145,174.541,,,,,,
156.726,346.983,42.8099,215.476,347.554,7.94406,148.862,472.946,40.8243,154.762,418.454,47.2857,206.354,435.058,51.3422,212.31,473.671,48.3477,,,,221.909,603.466,23.4206,170.397,647.316,123.408,158.597,676.166,150.496,145.428,702.294,176.35,173.084,738.602,150.486,185.322,710.117,128.772,197.13,680.298,102.446,61.9236,843.029,237.94,46.7899,742.17,224.911,63.7422,778.968,246.629,-97.3073,699.348,173.811,-96.6537,707.808,201.977,-50.7146,709.131,201.978,-52.886,700.124,174.55,,,,,,
156.557,347.109,42.6952,215.446,347.431,8.07296,148.959,473.019,40.7681,154.755,418.506,47.2221,206.369,435.034,51.3311,212.384,473.639,48.3647,,,,222.095,603.5,23.5144,170.651,647.382,123.571,158.722,676.18,150.6,145.479,702.246,176.458,173.07,738.597,150.584,185.328,710.165,128.81,197.185,680.428,102.475,61.8963,842.975,237.922,46.7342,742.132,224.937,63.6989,778.922,246.637,-97.3293,699.334,173.819,-96.6729,707.793,201.984,-50.734,709.114,201.986,-52.9089,700.102,174.559,,,,,,
156.366,347.243,42.5911,215.395,347.295,8.2201,149.045,473.097,40.7128,154.731,418.563,47.1626,206.371,435.011,51.3258,212.446,473.607,48.3866,,,,222.284,603.532,23.6095,170.915,647.449,123.739,158.85,676.191,150.709,145.531,702.192,176.571,173.056,738.587,150.689,185.336,710.211,128.854,197.244,680.56,102.508,61.8684,842.916,237.903,46.6783,742.091,224.962,63.6551,778.873,246.646,-97.351,699.319,173.826,-96.6918,707.778,201.991,-50.753,709.096,201.994,-52.9316,700.079,174.569,,,,,,
156.149,347.387,42.4999,215.319,347.146,8.38545,149.117,473.179,40.6587,154.689,418.626,47.108,206.355,434.988,51.327,212.494,473.576,48.4138,,,,222.475,603.56,23.7048,171.187,647.516,123.908,158.981,676.199,150.822,145.583,702.132,176.689,173.043,738.571,150.801,185.345,710.255,128.903,197.306,680.691,102.545,61.8399,842.854,237.882,46.6222,742.048,224.988,63.6108,778.823,246.656,-97.3724,699.303,173.834,-96.7103,707.761,201.999,-50.7716,709.077,202.003,-52.9539,700.054,174.579,,,,,,
155.907,347.539,42.424,215.214,346.985,8.56864,149.17,473.267,40.6064,154.624,418.695,47.0592,206.319,434.967,51.3354,212.526,473.544,48.4468,,,,222.668,603.583,23.7994,171.464,647.583,124.078,159.114,676.204,150.939,145.633,702.065,176.811,173.03,738.55,150.918,185.356,710.294,128.957,197.371,680.821,102.585,61.8108,842.789,237.859,46.5659,742.003,225.014,63.5663,778.77,246.667,-97.3935,699.286,173.841,-96.7285,707.743,202.006,-50.7899,709.056,202.011,-52.976,700.028,174.588,,,,,,
155.637,347.699,42.3657,215.077,346.812,8.76895,149.204,473.358,40.5559,154.534,418.77,47.017,206.261,434.946,51.352,212.538,473.513,48.4859,,,,222.858,603.601,23.8922,171.744,647.648,124.248,159.246,676.203,151.057,145.684,701.991,176.937,173.017,738.521,151.04,185.367,710.328,129.014,197.437,680.947,102.628,61.7813,842.72,237.834,46.5096,741.955,225.039,63.5216,778.714,246.678,-97.4143,699.267,173.849,-96.7462,707.724,202.014,-50.8077,709.034,202.019,-52.9978,700.002,174.598,,,,,,
