 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-169.066678,242.860284,59.614047,-232.641628,204.435167,44.802545,-281.464576,307.226965,65.854283,-259.284404,245.970235,36.721296,-194.799599,278.291654,64.487965,-219.937853,347.042842,63.262676,-255.419797,395.315803,1.786544,-344.750474,441.885434,57.889489,-288.966794,485.081721,123.704853,-262.345372,508.517754,164.138454,-240.272387,532.720716,204.425174,-198.499691,498.323925,205.705805,-227.115010,480.444236,166.979611,-258.006181,461.708673,132.984282,-145.991698,638.977952,273.389476,-87.510626,552.425990,243.434345,-115.636694,585.840683,280.321128,9.092515,485.815695,177.809157,12.237294,504.073429,200.640935,54.227576,506.125762,196.687554,53.589504,485.634054,178.100245
-169.053153,242.883739,59.562184,-232.631387,204.456286,44.768186,-281.453753,307.245407,65.819346,-259.276719,245.989417,36.686712,-194.787311,278.314417,64.439528,-219.926430,347.063031,63.220779,-255.421189,395.316829,1.787315,-344.754448,441.895660,57.858545,-288.973025,485.082812,123.680167,-262.350741,508.513340,164.115963,-240.277469,532.710936,204.404451,-198.506559,498.311123,205.678998,-227.122260,480.438325,166.953495,-258.011043,461.708690,132.953782,-146.001819,638.964174,273.368210,-87.523734,552.408159,243.421122,-115.648072,585.824073,280.298178,9.094143,485.785769,177.817743,12.238163,504.048290,200.652412,54.227732,506.099362,196.696779,53.592342,485.607080,178.110535
-169.039696,242.908232,59.509539,-232.621417,204.478364,44.733731,-281.443043,307.264793,65.784368,-259.269312,246.009563,36.652052,-194.775040,278.338209,64.390513,-219.915249,347.084275,63.178224,-255.422524,395.317822,1.788079,-344.758570,441.906829,57.827916,-288.979497,485.084699,123.655939,-262.356468,508.509592,164.093985,-240.283048,532.701710,204.384571,-198.514058,498.298728,205.653481,-227.130079,480.432910,166.928207,-258.016287,461.709329,132.923962,-146.011641,638.950654,273.347815,-87.536823,552.390443,243.408672,-115.659260,585.807590,280.276106,9.095942,485.755815,177.827208,12.239255,504.023174,200.664710,54.228106,506.073001,196.706731,53.595369,485.580107,178.121614
-169.026336,242.933739,59.456207,-232.611746,204.501379,44.699256,-281.432470,307.285101,65.749436,-259.262203,246.030656,36.617397,-194.762812,278.363005,64.341015,-219.904344,347.106556,63.135083,-255.423796,395.318777,1.788834,-344.762835,441.918939,57.797702,-288.986205,485.087393,123.632261,-262.362554,508.506527,164.072609,-240.289127,532.693058,204.365631,-198.522191,498.286765,205.629375,-227.138472,480.428003,166.903853,-258.021915,461.710599,132.894935,-146.021135,638.937413,273.328362,-87.549866,552.372864,243.397054,-115.670228,585.791253,280.254987,9.097920,485.725865,177.837579,12.240583,503.998105,200.677853,54.228711,506.046708,196.717431,53.598589,485.553162,178.133504
-169.013103,242.960233,59.402288,-232.602399,204.525307,44.664840,-281.422057,307.306308,65.714640,-259.255414,246.052676,36.582830,-194.750650,278.388780,64.291135,-219.893746,347.129851,63.091432,-255.425001,395.319691,1.789578,-344.767239,441.931987,57.768010,-288.993141,485.090903,123.609230,-262.368997,508.504158,164.051929,-240.295710,532.685003,204.347733,-198.530958,498.275258,205.606801,-227.147438,480.423613,166.880545,-258.027926,461.712504,132.866817,-146.030268,638.924471,273.309925,-87.562837,552.355442,243.386330,-115.680946,585.775084,280.234900,9.100084,485.695947,177.848885,12.242158,503.973112,200.691861,54.229558,506.020513,196.728898,53.602010,485.526272,178.146227
-169.000027,242.987683,59.347884,-232.593403,204.550119,44.630563,-281.411830,307.328389,65.680073,-259.248968,246.075597,36.548440,-194.738579,278.415503,64.240977,-219.883491,347.154135,63.047354,-255.426133,395.320561,1.790310,-344.771773,441.945967,57.738945,-289.000299,485.095238,123.586946,-262.375795,508.502498,164.032042,-240.302798,532.677565,204.330979,-198.540359,498.264232,205.585884,-227.156979,480.419750,166.858396,-258.034321,461.715047,132.839730,-146.039011,638.911847,273.292579,-87.575709,552.338198,243.376563,-115.691383,585.759103,280.215922,9.102443,485.666094,177.861151,12.243991,503.948223,200.706758,54.230658,505.994444,196.741152,53.605639,485.499465,178.159804
-168.987138,243.016055,59.293108,-232.584785,204.575783,44.596511,-281.401812,307.351313,65.645833,-259.242884,246.099394,36.514316,-194.726626,278.443140,64.190652,-219.873612,347.179378,63.002934,-255.427186,395.321383,1.791027,-344.776432,441.960869,57.710620,-289.007669,485.100401,123.565513,-262.382945,508.501560,164.013045,-240.310391,532.670762,204.315476,-198.550392,498.253707,205.566750,-227.167093,480.416423,166.837524,-258.041099,461.718229,132.813796,-146.047330,638.899563,273.276397,-87.588453,552.321151,243.367813,-115.701507,585.743330,280.198132,9.105005,485.636334,177.874405,12.246095,503.923464,200.722564,54.232026,505.968531,196.754212,53.609482,485.472769,178.174254
-168.974469,243.045311,59.238074,-232.576572,204.602265,44.562770,-281.392027,307.375045,65.612019,-259.237185,246.124034,36.480553,-194.714816,278.471654,64.140275,-219.864144,347.205546,62.958262,-255.428157,395.322153,1.791727,-344.781207,441.976681,57.683150,-289.015243,485.106397,123.545037,-262.390441,508.501352,163.995042,-240.318488,532.664613,204.301331,-198.561052,498.243707,205.549527,-227.177778,480.413637,166.818048,-258.048256,461.722050,132.789142,-146.055193,638.887635,273.261455,-87.601040,552.304322,243.360146,-115.711286,585.727785,280.181611,9.107779,485.606700,177.888671,12.248481,503.898862,200.739299,54.233672,505.942803,196.768096,53.613547,485.446210,178.189599
-168.962050,243.075409,59.182903,-232.568789,204.629524,44.529432,-281.382499,307.399550,65.578737,-259.231890,246.149484,36.447248,-194.703176,278.501002,64.089965,-219.855120,347.232604,62.913433,-255.429039,395.322869,1.792407,-344.786090,441.993387,57.656653,-289.023010,485.113225,123.525625,-262.398279,508.501882,163.978136,-240.327085,532.659133,204.288655,-198.572335,498.234251,205.534344,-227.189030,480.411397,166.800088,-258.055790,461.726507,132.765898,-146.062568,638.876083,273.247828,-87.613440,552.287730,243.353623,-115.720687,585.712487,280.166437,9.110774,485.577221,177.903976,12.251163,503.874445,200.756984,54.235609,505.917289,196.782824,53.617841,485.419818,178.205856
