 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,, Cylinder_1,,, Cylinder_2,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-236.149911,258.963435,46.169976,-305.023882,265.621611,30.476673,-295.201508,442.505882,48.829797,-290.075362,376.924785,51.801815,-233.056054,371.107213,56.482793,-231.388117,426.200674,64.888779,-203.363712,528.074124,-12.844821,-277.537333,529.630799,22.066078,-238.967661,555.275857,125.929770,-223.593826,579.506866,157.579705,-211.688032,597.106015,201.795017,-182.642983,549.554428,213.480900,-200.892775,542.034398,171.106547,-217.749267,527.571500,136.788222,-110.965206,669.146128,335.150920,-75.745313,573.973644,301.671646,-100.037336,602.180296,339.761961,51.308826,525.050237,260.292175,51.564373,539.391345,282.640783,92.891308,544.799506,278.669748,91.466480,532.349685,255.404291,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-236.132847,258.973355,46.185683,-305.006170,265.622961,30.490403,-295.197095,442.508743,48.829691,-290.066918,376.928853,51.807667,-233.047441,371.116095,56.490098,-231.382706,426.210343,64.890142,-203.368404,528.078998,-12.844114,-277.540950,529.631317,22.060455,-238.969307,555.273349,125.924013,-223.596019,579.505135,157.574279,-211.690024,597.105618,201.788870,-182.646311,549.552614,213.474459,-200.894621,542.032304,171.100117,-217.749380,527.569494,136.781024,-110.969308,669.136642,335.145829,-75.740391,573.967651,301.661555,-100.036932,602.171149,339.754175,51.309722,525.048429,260.273967,51.564047,539.387602,282.624229,92.890291,544.796783,278.655497,91.467109,532.350981,255.387686,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-236.114969,258.983034,46.201493,-304.987531,265.623967,30.504069,-295.191946,442.511210,48.829505,-290.057684,376.932561,51.813486,-233.038061,371.124672,56.497406,-231.376495,426.219771,64.891316,-203.372684,528.083472,-12.843374,-277.544132,529.631358,22.054575,-238.970521,555.270308,125.917968,-223.597972,579.502945,157.568633,-211.691855,597.104828,201.782539,-182.649258,549.550505,213.467770,-200.896052,542.029836,171.093424,-217.748904,527.567065,136.773544,-110.973413,669.127078,335.140645,-75.735346,573.961645,301.651312,-100.036459,602.161945,339.746245,51.310696,525.046699,260.255520,51.563787,539.383911,282.607462,92.889331,544.794138,278.641049,91.467812,532.352407,255.370854,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-236.096291,258.992443,46.217375,-304.967975,265.624616,30.517638,-295.186047,442.513263,48.829232,-290.047652,376.935886,51.819252,-233.027909,371.132913,56.504700,-231.369468,426.228930,64.892286,-203.376526,528.087522,-12.842602,-277.546856,529.630904,22.048434,-238.971285,555.266719,125.911631,-223.599674,579.500285,157.562762,-211.693515,597.103634,201.776026,-182.651811,549.548094,213.460832,-200.897050,542.026985,171.086467,-217.747818,527.564200,136.765779,-110.977517,669.117442,335.135369,-75.730179,573.955632,301.640922,-100.035916,602.152694,339.738173,51.311750,525.045053,260.236843,51.563593,539.380279,282.590493,92.888430,544.791578,278.626411,91.468591,532.353968,255.353802,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-236.076828,259.001548,46.233294,-304.947514,265.624893,30.531074,-295.179383,442.514885,48.828864,-290.036815,376.938807,51.824950,-233.016979,371.140788,56.511963,-231.361614,426.237790,64.893037,-203.379907,528.091122,-12.841798,-277.549100,529.629938,22.042029,-238.971581,555.262569,125.904999,-223.601110,579.497142,157.556665,-211.694995,597.102026,201.769329,-182.653955,549.545374,213.453645,-200.897601,542.023741,171.079244,-217.746104,527.560889,136.757728,-110.981614,669.107744,335.130003,-75.724892,573.949618,301.630391,-100.035300,602.143405,339.729962,51.312886,525.043498,260.217948,51.563468,539.376713,282.573332,92.887591,544.789110,278.611593,91.469447,532.355670,255.336541,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-236.056597,259.010320,46.249214,-304.926165,265.624784,30.544340,-295.171941,442.516057,48.828393,-290.025170,376.941304,51.830561,-233.005270,371.148266,56.519176,-231.352920,426.246323,64.893555,-203.382802,528.094247,-12.840963,-277.550840,529.628442,22.035357,-238.971391,555.257842,125.898066,-223.602270,579.493506,157.550339,-211.696287,597.099992,201.762449,-182.655675,549.542339,213.446210,-200.897689,542.020096,171.071755,-217.743743,527.557117,136.749393,-110.985700,669.097992,335.124548,-75.719487,573.943612,301.619723,-100.034612,602.134087,339.721614,51.314104,525.042040,260.198845,51.563415,539.373221,282.555989,92.886817,544.786742,278.596602,91.470383,532.357517,255.319079,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-236.035620,259.018725,46.265099,-304.903946,265.624274,30.557400,-295.163711,442.516760,48.827813,-290.012713,376.943357,51.836066,-232.992779,371.155316,56.526320,-231.343376,426.254499,64.893826,-203.385185,528.096874,-12.840098,-277.552055,529.626398,22.028413,-238.970699,555.252529,125.890830,-223.603140,579.489367,157.543781,-211.697380,597.097524,201.755385,-182.656959,549.538982,213.438528,-200.897301,542.016041,171.063999,-217.740717,527.552875,136.740774,-110.989769,669.088195,335.119005,-75.713967,573.937619,301.608922,-100.033850,602.124748,339.713132,51.315407,525.040687,260.179546,51.563436,539.369810,282.538474,92.886110,544.784479,278.581448,91.471400,532.359514,255.301428,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-236.013919,259.026731,46.280911,-304.880878,265.623350,30.570214,-295.154681,442.516977,48.827115,-289.999444,376.944945,51.841445,-232.979508,371.161906,56.533377,-231.332973,426.262287,64.893836,-203.387034,528.098978,-12.839204,-277.552722,529.623791,22.021196,-238.969488,555.246616,125.883286,-223.603708,579.484714,157.536989,-211.698266,597.094612,201.748138,-182.657793,549.535300,213.430600,-200.896422,542.011569,171.055976,-217.737010,527.548152,136.731870,-110.993817,669.078362,335.113377,-75.708334,573.931647,301.597995,-100.033012,602.115399,339.704518,51.316795,525.039445,260.160062,51.563533,539.366489,282.520799,92.885473,544.782330,278.566138,91.472498,532.361666,255.283596,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-235.991519,259.034306,46.296610,-304.856984,265.621999,30.582744,-295.144843,442.516691,48.826291,-289.985364,376.946047,51.846679,-232.965459,371.168006,56.540326,-231.321703,426.269659,64.893568,-203.388324,528.100536,-12.838281,-277.552819,529.620604,22.013703,-238.967743,555.240093,125.875433,-223.603963,579.479539,157.529961,-211.698937,597.091249,201.740708,-182.658165,549.531286,213.422428,-200.895039,542.006674,171.047687,-217.732607,527.542937,136.722685,-110.997839,669.068502,335.107665,-75.702591,573.925703,301.586945,-100.032098,602.106048,339.695776,51.318269,525.038321,260.140405,51.563707,539.363264,282.502974,92.884909,544.780302,278.550682,91.473680,532.363977,255.265595,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
