 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,, Cylinder_1,,, Cylinder_2,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-229.896,252.815,45.4591,-299.534,258.028,31.7206,-294.013,434.84,51.6276,-287.64,369.412,53.5243,-230.397,364.942,57.7768,-229.963,419.159,68.1307,-203.388,524.405,-9.09842,-277.232,522.79,27.5995,-237.923,547.985,132.614,-222.829,573.088,164.873,-210.814,590.988,209.09,-180.418,544.022,218.858,-197.841,536.844,176.272,-215.051,521.533,142.691,-109.219,666.354,336.201,-74.7318,570.895,301.167,-98.2317,598.988,340.471,46.057,520.516,249.265,46.3005,532.643,273.001,87.6163,537.535,270.01,86.6444,526.996,245.616,,,,,,
-229.897,252.814,45.4606,-299.533,258.029,31.7194,-294.01,434.841,51.6239,-287.639,369.413,53.5224,-230.396,364.942,57.7767,-229.96,419.159,68.1294,-203.381,524.403,-9.10193,-277.228,522.791,27.595,-237.915,547.981,132.61,-222.822,573.084,164.87,-210.807,590.985,209.088,-180.411,544.019,218.856,-197.833,536.841,176.268,-215.044,521.53,142.687,-109.212,666.352,336.202,-74.7279,570.892,301.167,-98.2266,598.986,340.471,46.0659,520.517,249.264,46.3065,532.643,273.001,87.6238,537.535,270.012,86.6535,526.996,245.617,,,,,,
-229.898,252.814,45.462,-299.533,258.031,31.7181,-294.007,434.842,51.6203,-287.638,369.414,53.5205,-230.395,364.942,57.7765,-229.958,419.159,68.1281,-203.373,524.401,-9.10544,-277.223,522.792,27.5905,-237.908,547.978,132.606,-222.815,573.08,164.867,-210.8,590.981,209.085,-180.405,544.016,218.853,-197.825,536.837,176.264,-215.036,521.527,142.682,-109.205,666.35,336.203,-74.7241,570.889,301.167,-98.2215,598.984,340.47,46.0746,520.518,249.262,46.3125,532.644,273.001,87.6312,537.536,270.013,86.6625,526.996,245.618,,,,,,
-229.899,252.813,45.4634,-299.533,258.032,31.7169,-294.003,434.843,51.6169,-287.636,369.415,53.5186,-230.394,364.942,57.7764,-229.955,419.159,68.1268,-203.366,524.399,-9.10895,-277.218,522.793,27.586,-237.9,547.974,132.602,-222.809,573.076,164.864,-210.793,590.978,209.083,-180.398,544.013,218.851,-197.817,536.833,176.261,-215.028,521.524,142.678,-109.198,666.348,336.204,-74.7204,570.886,301.166,-98.2166,598.982,340.469,46.0831,520.518,249.261,46.3182,532.645,273.002,87.6385,537.537,270.015,86.6713,526.996,245.618,,,,,,
-229.9,252.812,45.4647,-299.533,258.033,31.7156,-294,434.844,51.6135,-287.635,369.416,53.5168,-230.393,364.942,57.7762,-229.953,419.159,68.1255,-203.359,524.397,-9.11248,-277.214,522.794,27.5816,-237.893,547.971,132.598,-222.802,573.072,164.861,-210.787,590.975,209.08,-180.392,544.011,218.849,-197.81,536.83,176.257,-215.021,521.522,142.674,-109.191,666.347,336.205,-74.7168,570.883,301.166,-98.2119,598.98,340.469,46.0915,520.519,249.26,46.3239,532.645,273.002,87.6455,537.537,270.017,86.6799,526.996,245.619,,,,,,
-229.901,252.812,45.466,-299.533,258.034,31.7143,-293.997,434.845,51.6102,-287.633,369.417,53.515,-230.392,364.942,57.7761,-229.951,419.159,68.1242,-203.352,524.395,-9.11601,-277.209,522.794,27.5773,-237.886,547.968,132.594,-222.796,573.069,164.858,-210.78,590.973,209.078,-180.386,544.009,218.847,-197.802,536.827,176.253,-215.014,521.519,142.67,-109.185,666.345,336.206,-74.7133,570.88,301.166,-98.2072,598.979,340.468,46.0996,520.52,249.259,46.3294,532.646,273.002,87.6524,537.538,270.019,86.6883,526.996,245.62,,,,,,
-229.901,252.812,45.4673,-299.533,258.036,31.7131,-293.993,434.846,51.607,-287.632,369.418,53.5132,-230.391,364.942,57.7759,-229.948,419.159,68.1228,-203.345,524.392,-9.11955,-277.205,522.795,27.573,-237.879,547.966,132.591,-222.789,573.066,164.856,-210.774,590.97,209.076,-180.38,544.007,218.845,-197.795,536.824,176.25,-215.007,521.517,142.666,-109.178,666.344,336.207,-74.7099,570.878,301.166,-98.2027,598.977,340.467,46.1076,520.52,249.258,46.3347,532.646,273.002,87.6591,537.539,270.02,86.6965,526.996,245.621,,,,,,
-229.902,252.811,45.4685,-299.533,258.037,31.7118,-293.99,434.847,51.6039,-287.631,369.419,53.5115,-230.39,364.942,57.7757,-229.946,419.16,68.1214,-203.338,524.39,-9.12309,-277.2,522.796,27.5687,-237.872,547.963,132.587,-222.783,573.063,164.853,-210.768,590.968,209.073,-180.374,544.005,218.843,-197.788,536.821,176.246,-215,521.515,142.662,-109.172,666.342,336.208,-74.7066,570.875,301.166,-98.1982,598.976,340.467,46.1153,520.521,249.257,46.3399,532.647,273.002,87.6657,537.539,270.022,86.7044,526.996,245.622,,,,,,
-229.903,252.811,45.4696,-299.533,258.038,31.7106,-293.987,434.848,51.6008,-287.629,369.42,53.5098,-230.389,364.942,57.7755,-229.943,419.16,68.1201,-203.331,524.388,-9.12664,-277.196,522.796,27.5645,-237.866,547.961,132.583,-222.777,573.06,164.85,-210.761,590.966,209.071,-180.368,544.003,218.842,-197.781,536.818,176.243,-214.993,521.513,142.658,-109.166,666.341,336.208,-74.7034,570.873,301.166,-98.1939,598.974,340.466,46.1229,520.522,249.256,46.345,532.647,273.003,87.6721,537.54,270.024,86.7122,526.995,245.623,,,,,,
