 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-85.9437,317.104,20.7829,-153.861,314.289,36.1392,-165.774,406.628,39.2593,-157.032,360.964,32.7048,-113.406,364.289,55.1737,-126.606,429.959,62.85,,,,-176.064,561.569,29.5583,-123.942,633.234,124.432,-108.703,663.804,151.183,-95.9774,693.428,181.974,-72.6467,666.206,192.71,-85.6018,639.057,158.001,-100.513,612.881,130.449,-19.6287,781.199,237.743,3.73319,684.107,216.95,-16.7671,728.635,252.352,111.469,657.427,192.329,115.102,664.193,221.55,157.467,662.872,219.638,155.937,656.437,190.675
-85.9127,317.119,20.8209,-153.84,314.325,36.2309,-165.78,406.674,39.2559,-157.029,361.003,32.7518,-113.361,364.333,55.1943,-126.553,430.014,62.8205,,,,-175.986,561.595,29.4259,-123.894,633.23,124.312,-108.674,663.806,151.048,-95.9914,693.432,181.838,-72.6666,666.205,192.596,-85.5701,639.056,157.866,-100.415,612.894,130.293,-19.6602,781.178,237.676,3.73486,684.083,216.878,-16.7872,728.616,252.262,111.462,657.4,192.303,115.078,664.157,221.525,157.451,662.845,219.632,155.932,656.413,190.669
-85.8858,317.134,20.8561,-153.824,314.36,36.3154,-165.787,406.718,39.2493,-157.028,361.04,32.7932,-113.32,364.374,55.2125,-126.506,430.066,62.7914,,,,-175.911,561.619,29.299,-123.85,633.227,124.198,-108.647,663.807,150.918,-96.0056,693.437,181.708,-72.6874,666.203,192.489,-85.5417,639.055,157.739,-100.324,612.906,130.146,-19.6898,781.157,237.613,3.73666,684.057,216.812,-16.8052,728.595,252.176,111.455,657.373,192.279,115.053,664.121,221.501,157.436,662.816,219.626,155.927,656.389,190.664
-85.8632,317.147,20.8886,-153.812,314.392,36.3926,-165.796,406.759,39.2396,-157.03,361.075,32.829,-113.285,364.412,55.2285,-126.463,430.113,62.7625,,,,-175.839,561.642,29.1778,-123.808,633.225,124.089,-108.623,663.81,150.795,-96.0199,693.441,181.585,-72.7092,666.202,192.389,-85.5166,639.054,157.62,-100.24,612.917,130.008,-19.7176,781.135,237.554,3.7386,684.028,216.751,-16.8211,728.574,252.094,111.448,657.347,192.256,115.029,664.086,221.48,157.421,662.787,219.621,155.922,656.363,190.66
-85.8448,317.158,20.9184,-153.804,314.423,36.4627,-165.807,406.796,39.2267,-157.035,361.107,32.8592,-113.255,364.447,55.2421,-126.426,430.156,62.734,,,,-175.77,561.663,29.0621,-123.768,633.223,123.986,-108.6,663.812,150.679,-96.0345,693.446,181.47,-72.7319,666.2,192.296,-85.4948,639.054,157.508,-100.163,612.928,129.88,-19.7435,781.113,237.499,3.74067,683.996,216.696,-16.835,728.552,252.016,111.441,657.32,192.235,115.005,664.051,221.46,157.406,662.757,219.618,155.917,656.337,190.657
-85.8307,317.168,20.9454,-153.801,314.451,36.5255,-165.82,406.83,39.2108,-157.042,361.136,32.8838,-113.23,364.478,55.2534,-126.393,430.194,62.7057,,,,-175.704,561.683,28.9521,-123.732,633.222,123.888,-108.58,663.815,150.569,-96.0493,693.451,181.361,-72.7556,666.199,192.209,-85.4763,639.053,157.404,-100.092,612.938,129.76,-19.7676,781.091,237.447,3.74288,683.961,216.647,-16.8468,728.53,251.942,111.434,657.294,192.215,114.981,664.016,221.442,157.392,662.726,219.615,155.911,656.31,190.655
-85.8207,317.177,20.9697,-153.801,314.477,36.581,-165.835,406.861,39.1917,-157.053,361.163,32.9028,-113.21,364.506,55.2625,-126.364,430.229,62.6778,,,,-175.642,561.701,28.8476,-123.698,633.221,123.796,-108.561,663.818,150.465,-96.0643,693.456,181.259,-72.7802,666.197,192.128,-85.461,639.052,157.309,-100.028,612.947,129.65,-19.7897,781.069,237.4,3.74521,683.923,216.604,-16.8565,728.507,251.872,111.427,657.268,192.197,114.957,663.981,221.425,157.377,662.695,219.614,155.905,656.282,190.653
-85.815,317.185,20.9912,-153.807,314.5,36.6294,-165.851,406.889,39.1694,-157.066,361.187,32.9161,-113.195,364.531,55.2692,-126.341,430.26,62.6502,,,,-175.583,561.717,28.7488,-123.666,633.222,123.71,-108.545,663.822,150.368,-96.0794,693.461,181.165,-72.8057,666.195,192.055,-85.4489,639.052,157.221,-99.9707,612.955,129.549,-19.81,781.046,237.356,3.74769,683.882,216.567,-16.8642,728.484,251.806,111.42,657.242,192.18,114.934,663.946,221.411,157.362,662.663,219.613,155.898,656.254,190.653
-85.8134,317.192,21.0099,-153.816,314.522,36.6705,-165.869,406.914,39.1441,-157.081,361.208,32.924,-113.185,364.552,55.2737,-126.323,430.286,62.623,,,,-175.527,561.732,28.6556,-123.638,633.223,123.629,-108.53,663.826,150.277,-96.0948,693.466,181.077,-72.8321,666.193,191.988,-85.4402,639.052,157.14,-99.9202,612.962,129.457,-19.8284,781.023,237.316,3.7503,683.838,216.536,-16.8697,728.46,251.744,111.412,657.216,192.165,114.911,663.912,221.397,157.348,662.631,219.614,155.891,656.225,190.654
