Sh_x,Sh_y,Sh_z,El_x,El_y,El_z,Wr_x,Wr_y,Wr_z,WrVec_x,WrVec_y,WrVec_z
-148.7197027638242,69.6422394437413,65.23491010966607,-274.08886807968105,-54.31860799661313,-210.33619846688467,-244.54014031430648,-209.63399883949748,-197.64707952308882,-73.02085663853182,-16.823819020035522,-6.208505104137439
-147.455774496124,72.21037366430458,65.34713777909997,-272.1176571258138,-59.385984117430404,-209.52302847119662,-237.81282646930808,-210.64681441418847,-195.44768666397567,-72.51340439949948,-18.504059333069712,-7.425125953432146
-147.73208718238692,71.63531758720458,65.3100380589375,-272.60620740471245,-58.19290185373345,-209.78082096283782,-239.50938337384432,-210.4722452828142,-196.06020443467443,-72.64269160696347,-18.067018933052093,-7.10899380950828
-147.5388373766311,71.98471721765532,65.33409314014762,-272.2875107011694,-58.95890029375968,-209.73111031367648,-238.5279050400236,-210.6447413486367,-195.75419190231523,-72.5668473348597,-18.297764682551865,-7.276004014912929
-147.65010121560357,71.68174371494933,65.31869438584934,-272.4382414011689,-58.4816282482606,-209.86582843632198,-239.20247746561728,-210.59958373996665,-196.00917306980676,-72.62892823735089,-18.105513232593708,-7.139303222350712
-147.575345631732,71.78521726657728,65.29076764496736,-272.24545299463466,-58.90343093696073,-209.794956784803,-238.66298879354463,-210.70679787703997,-195.81700604742,-72.60505780277875,-18.227304021465734,-7.256474764996317
-147.69932449894338,71.5243012780393,65.19438290485972,-272.34367409813797,-58.61707700734165,-209.77295647760548,-239.12879739970444,-210.6891932785716,-195.86427046350465,-72.6337686370818,-18.112816473488966,-7.256165028516392
-147.70393261156448,71.5756784714974,65.09138287815303,-272.20929823150624,-58.95785491640724,-209.61509349058568,-238.77369577463327,-210.7869585515735,-195.52129316042817,-72.54440770028458,-18.225965790746557,-7.38317893741339
-147.78235812117654,71.462889531899,65.06321209072547,-272.19213383606314,-58.843721039415435,-209.5581344768123,-238.8900480616195,-210.83856578585358,-195.43876893916706,-72.52758413237356,-18.163775312275515,-7.14785014398048
-147.62858940372092,71.67317177058878,65.32272157356847,-271.943357528401,-59.06828951403704,-209.43472754749254,-238.30581663089492,-210.9302319801678,-195.40175686302632,-72.65102215575665,-18.168008906852187,-6.809937496059153
-147.32122836744318,71.79324929586267,66.07847018600307,-272.06813159472415,-58.61658470733676,-209.08517994449997,-238.95872768274631,-210.7610020365045,-195.4521527404182,-72.87161527378703,-17.98086773729472,-7.139182518802602
-146.63266496981987,72.04926934038386,67.52547371049309,-272.9742874224048,-58.316882612721955,-207.71963319057588,-241.08400897263323,-210.59423858959232,-193.8065877727417,-72.3346483791209,-18.198316066661256,-10.049478907957411
