Sh_x,Sh_y,Sh_z,El_x,El_y,El_z,Wr_x,Wr_y,Wr_z,WrVec_x,WrVec_y,WrVec_z
-145.32855715748073,72.89274700736217,68.71953670040124,-250.99356929436178,-75.8991785720604,-170.8091377685255,-233.58257976192652,-307.4650537869278,-166.88815224014525,-61.28028337499191,-5.7541259455175355,-24.415497953933034
-144.25415085783976,69.6227406113662,76.4700773900185,-254.15446530755685,-82.54582565417229,-165.14464874516386,-221.61631446510512,-306.44399873176576,-151.5736527373926,-60.79678401679832,-13.443167168154899,-23.525801155686363
-144.2862288716421,70.54340756453205,74.48643438772727,-255.23909846557757,-79.08830734523941,-166.19451062202626,-215.70490556451875,-300.8860638531751,-143.5524383381403,-58.14810381928797,-18.082290162832848,-26.206617612409882
-144.16481343066422,70.21161412587985,75.34520551483848,-255.79395186811507,-80.47317046840111,-164.63361203080154,-204.61796415793236,-299.1339679274353,-136.5120156960268,-54.85041587305414,-22.016740976338056,-30.024154549837434
-144.40103022876988,70.72057088963628,74.12555747306227,-255.42742618849192,-80.60864052422569,-164.35830063303672,-195.42622969150705,-298.505038412664,-135.04574540787928,-51.45124962331796,-23.40535477805782,-33.91944606602987
-144.57046777758052,70.5815498081542,74.2720252184293,-254.9709749491469,-82.73673428934171,-163.07862672591466,-186.36109498813175,-300.045256169201,-135.9123744738053,-49.41925278095085,-23.906531675118046,-36.0516244992923
-144.806929778082,70.79155764171759,73.52248677043802,-254.29593186100632,-83.3829907166556,-162.69305341861195,-180.70371070309665,-301.38913113884456,-139.06838962493276,-48.67906679657013,-23.646895458199644,-36.831384505172245
-144.69688003977154,70.39268879848537,74.26006663274813,-253.82710033613952,-84.56590641508548,-161.491220012923,-176.28243744100897,-302.87923705358315,-141.10333288696694,-48.50684508175143,-23.77896984808429,-37.15167486257932
-144.28205787153584,70.01610698990882,75.09263354927431,-253.35975400779267,-84.47642671510565,-160.3153072165194,-174.07531865749164,-303.46661491421844,-142.3936620821376,-48.01824999306756,-23.825890179418618,-38.010010286029384
-143.40317882072213,68.92745251141183,77.51205226519785,-253.10694462562864,-85.27460654804797,-157.75209260116475,-171.5889245365333,-304.2797274522149,-141.6582297735457,-47.32784930876793,-24.287135018043966,-39.03072845301354
-142.4086433385984,67.50986201392796,79.92928538850774,-252.78081397187213,-86.15053180086288,-154.88793350496294,-169.54759491785313,-305.55251802380985,-140.40861637801248,-46.466122184324256,-24.556029592642975,-40.13724027320468
-141.5159624325252,65.10663363293631,82.86098469894638,-252.49365914799375,-88.7371795966186,-151.58533452392493,-166.9168545961621,-308.6485057858714,-138.63763546033738,-45.52096337917007,-24.71021661056124,-41.27297559445522
-141.16956761100244,62.0291699838828,84.70443029615653,-252.16998934977573,-91.8863575112077,-149.41599863314076,-165.0786036073387,-313.20138960523883,-138.11677892928856,-44.40322446739399,-24.268823469698457,-42.66006067208855
-141.41422601882,57.947810331583995,86.04816244847898,-252.12126908686903,-96.30529074416894,-148.05066266310615,-163.0668626386976,-318.9207421954252,-138.43566392095363,-43.351843933019445,-23.85342833818416,-43.882396612365056
-142.23685936421344,53.48281124247831,86.1833840750784,-252.39708269161775,-100.74850553452382,-147.82024803296054,-161.46677621108017,-324.4542167878915,-139.88841703308213,-42.48073958158227,-23.526054648267614,-44.776781292111224
-143.24613749055425,48.747848792842305,86.27574600832777,-253.22135690910557,-105.78317103990064,-147.56193948946867,-159.69658721318365,-329.72248098176084,-141.10218174387552,-41.8172739436112,-23.530276628963477,-45.38270208468478
-144.1789375451342,44.491499387272746,86.11170803485193,-253.94451859855647,-110.14217111254484,-147.18394708377747,-158.9091145145696,-334.4242734022943,-142.3682236912249,-41.09677760364032,-23.329648795650364,-46.119409758714205
-144.7332873659765,40.790989062019825,86.604183848891,-254.60313168820863,-114.04063531848769,-146.26333637714833,-158.47328146557317,-338.63907247127077,-142.64119094008822,-40.20916749330497,-23.191440878790893,-46.913895164363424
-144.94014391127706,38.04150005445248,87.17888182830018,-255.3280768560051,-116.46151751178928,-145.62476775884832,-158.40180090270724,-341.3104247372888,-140.00254629564134,-38.859481948102804,-23.539257029434793,-47.76351662013734
-144.85090211668546,35.96042496371831,88.17865457937336,-256.71054044617296,-118.10030966565571,-144.859352578022,-157.20938688596362,-341.3482911137376,-129.60511331141777,-36.78451487610189,-25.658424258237662,-48.35239610710436
-144.698411199866,34.567819518583896,88.86073598812824,-259.23406232435417,-119.2740819953251,-143.20681954874834,-154.89564419272835,-337.1992102410638,-108.49109467942147,-33.89389460369514,-29.93277137401239,-48.11923925522573
-144.55903407423878,33.44611609615442,89.52935632826605,-263.2496241461581,-121.97060653994475,-138.48701510277618,-151.60324923464054,-328.2378070750865,-76.50279310090936,-30.505558898939,-36.03510205272959,-46.2051001884988
-144.53502551372196,32.64082547447524,89.72331602591125,-268.5360613586779,-126.89881294363133,-129.84183998112803,-149.3327475331464,-314.32251692755136,-38.187599538103555,-26.9722131937247,-42.63467016489427,-42.34048833188747
-144.55349697483635,32.00234728669226,89.90899335341288,-274.87408748297753,-134.2273924481771,-117.13524410131433,-148.9022751274843,-296.34891013529403,1.2146529991232313,-23.475251259639396,-48.87153586281028,-36.68210346163113
-144.6058737705269,31.87455157976327,89.79908236249983,-281.6640467140518,-142.04201363093384,-101.82109586344706,-150.78386323102208,-275.2101304635555,36.86843889876102,-20.0136260714264,-54.0052751949603,-29.931912473709996
-144.59274756427217,32.396412524758446,89.80146524139982,-288.379549630045,-148.93790720918594,-85.24567640056432,-153.79310957232286,-252.2043734112906,67.05374433477648,-16.84154803224067,-57.9686518509711,-22.69804561870159
-144.50715093758777,33.977446682444324,89.62066603805599,-294.6310178163198,-153.31387557742215,-69.09385327536324,-157.2588534885189,-228.4379332541538,91.31394362853356,-14.29420110342773,-60.515118875182274,-15.457647264340414
-144.25262584629982,36.62760364550797,89.58810396580941,-300.3908547813051,-154.95246108242614,-53.971096616192,-160.02561904623056,-205.14215599687026,110.79190329398001,-12.708218128844468,-61.88452384110473,-8.290758813936625
