Sh_x,Sh_y,Sh_z,El_x,El_y,El_z,Wr_x,Wr_y,Wr_z,WrVec_x,WrVec_y,WrVec_z,Trunk_x,Trunk_y,Trunk_z
-141.08785887737503,65.41670329306575,32.58965534809487,-212.6991822412505,-123.1344292693833,-211.07843084427728,-162.1177826674119,-352.38662992300397,-224.95688030459135,-42.40578400433918,-8.149413907362092,-47.27574244394199,101.49185214940084,678.4457406791327,263.4757627225496
-141.0429211356966,65.46578459727408,30.430620312922592,-209.97589628247724,-125.9567336699104,-216.7223532902036,-154.05564604771203,-358.22233951172296,-228.0155914971963,-43.42389421375695,-8.250468656121026,-46.55868047679859,99.34698425723788,677.837622553127,264.6698913919673
-141.0571894240869,65.40100443612602,31.27620629959644,-210.49597593567148,-125.14108516093269,-214.58958855964215,-154.48932766980195,-356.3627938610479,-224.83885869791203,-42.735112539778484,-8.848632621762922,-46.80465867867935,100.41048309522229,677.7063088454382,264.36220829067037
-141.04546642621642,65.4424601701268,31.078585507293234,-210.23193114208155,-124.90715776255202,-215.78045334941513,-151.8686706093767,-356.59713063405707,-222.4998606910081,-42.39289641810437,-9.580065270979528,-46.872354996920365,100.29754430670265,677.4178308580408,264.5748900793768
-141.0459076759888,65.4988312087028,31.540982525863072,-210.89829550830393,-123.4060993492036,-215.64182144265527,-151.06241072630957,-354.586228199189,-217.77607690300928,-41.4701941529913,-10.67287845110286,-47.269591037773395,100.85002048982926,677.2587215387126,264.451192948482
-141.03241096903545,65.62873369153695,31.528529605689226,-211.2965175350386,-121.90406456640403,-217.19081997395853,-148.71958624127672,-353.0147206224609,-212.5611358177249,-40.52852896107471,-12.066415473202317,-47.64175649597099,100.84172509917923,677.0388016574087,264.56108460459154
-141.0233382996676,65.78724617308458,31.88380598564342,-212.24686380135412,-119.56053073960945,-218.03001211750907,-147.2716181436214,-349.6918527277287,-205.27202074441217,-39.13917847549564,-13.87265903773615,-48.175196681902065,101.18412123668455,676.9072796660082,264.47953144393057
-141.0016760041293,66.00825562805557,31.93414865553166,-212.98756312459233,-117.24170547669927,-219.83515659307523,-144.72929392158957,-346.2152869433916,-197.08718854637374,-37.688833796943904,-16.040303943143257,-48.57952388917534,101.15244779918385,676.749295619127,264.54463007289013
-140.9782804218046,66.26216364627223,32.228200528283665,-214.02363272183874,-114.49547324281596,-220.96414291314687,-142.72002203183618,-341.18158660266425,-187.0676498342027,-35.96175043586584,-18.61066228113072,-48.90414181840516,101.34245904366692,676.6655058608728,264.4790386989144
-140.94024078285872,66.57034245453664,32.29928176639793,-214.79898456660737,-112.01419699160054,-222.51880180530327,-139.8962413362529,-335.7460603423757,-176.13857516813098,-34.27955427162734,-21.50660561970535,-48.89644929233166,101.25365133540129,676.5752794934631,264.51855898210533
-140.89457762461012,66.91021439767637,32.54591006435553,-215.6796365701624,-109.52093842707532,-223.28574945559794,-137.49059421280933,-328.93960257756453,-163.73524073087185,-32.51898496158378,-24.706510744602163,-48.5699919504645,101.31923612893404,676.5528478551847,264.46111984577124
-140.83124955012207,67.2942453350861,32.61940327899628,-216.2594492240389,-107.56466195315903,-224.07823683227986,-134.53476603648744,-321.6809884194397,-150.66182983653488,-30.92778701109882,-28.106359593309143,-47.74180282474548,101.168233908032,676.5371836943685,264.4835094813929
