Sh_x,Sh_y,Sh_z,El_x,El_y,El_z,Wr_x,Wr_y,Wr_z,WrVec_x,WrVec_y,WrVec_z,Trunk_x,Trunk_y,Trunk_z
-139.67095036312068,37.25206850150283,97.05109083430995,-273.5083818017197,-114.96453216053236,-157.43163114463863,-144.0247806884259,-330.6870308875064,-160.75535432003852,-53.27159720282821,-30.68730159398203,-38.11237091587662,49.46389408506275,530.455627178597,203.54888852931558
-138.8072914516746,29.68105806526104,100.74388014775342,-286.5767473624467,-117.35784291456055,-150.29043246355346,-158.14631990449485,-333.3164980157317,-160.02789306478724,-54.324072099741855,-31.12831163336933,-36.1832079421695,63.98910130530502,520.0669369642362,201.5782816016517
-139.0629353865726,31.71478798425713,99.69992505919545,-282.6187512793304,-116.6556156532088,-152.59498796553768,-153.7707283551186,-332.5899431705889,-161.24268545248222,-53.79797151561553,-30.946014935559457,-37.1404517666758,59.951910604402926,522.3290709170057,201.9845689063481
-138.9319088278655,30.64126835396462,100.23042236629796,-284.6970640993833,-116.53737050403085,-151.80463539002432,-155.67032071287088,-332.57896787131807,-161.30830740633905,-53.7285331620126,-31.172636996118854,-37.06551310275812,62.006718525542176,520.4330248741327,201.62575224358463
-139.028381618998,31.717376016041584,99.74544538545028,-283.4003289980452,-115.36787449217914,-153.1077368859787,-153.60709462894934,-331.41643456089594,-161.1128720822867,-53.24922407240683,-31.47856799089675,-37.50618503695625,59.9931971992793,521.3159070579437,201.8024174670794
-138.93628001617492,31.46171388315871,99.98612272247018,-285.03908896333536,-114.11989196851296,-153.09561326160983,-154.29959454008332,-330.08773445170624,-159.6024550064894,-52.86343730123524,-32.17711620135966,-37.40963989941556,60.685689488416,520.3434970653531,201.64646782447744
-138.96299811106132,32.52146902166261,99.6529098269009,-284.8417885433168,-111.9818228908982,-154.3866591797981,-152.5513353535842,-327.56271181884836,-157.0501522128446,-52.10615613090186,-33.123674066482224,-37.55836997457725,58.97953272171443,521.0052838186285,201.81336872294068
-138.85878887790938,32.808645029273755,99.79229755673506,-286.5168351264055,-109.5861416593648,-154.93838725529417,-152.34505418643323,-324.38566170872787,-152.74865331804713,-51.25168718253054,-34.49609948056935,-37.34373650146817,58.94379602034774,520.5158392427144,201.7809638290991
-138.82682372980352,34.07275727319668,99.54304620907826,-286.8180219931851,-106.4757552156318,-156.46845456670408,-150.2224512529776,-319.8838732719352,-146.88572857064153,-49.9882363570849,-36.168747565911616,-37.289511567119746,57.202046118407395,521.1873686453636,201.98388043423634
-138.6913353775604,34.83800285288062,99.64061506815602,-288.26467130040743,-103.19729280047751,-157.51156211952718,-148.9942725672543,-314.5032893207865,-139.07004267800085,-48.523869603449526,-38.221171739666325,-36.96475360527721,56.62302354816963,521.0578496536566,202.05412664896514
-138.60226841532094,36.38166708991565,99.44943499953331,-288.3985358479473,-99.52192662952456,-159.2900188008026,-146.15922767511384,-307.85857774367287,-129.61690030893828,-46.66850993807266,-40.5106087562993,-36.72848418803437,54.72954610906685,521.828766131099,202.3119266116289
-138.42653374107908,37.57283428044419,99.52593005819047,-289.0834575334019,-95.96132605181049,-160.64725618983366,-143.91075441736695,-300.42385579148674,-118.46039576196742,-44.631333876327055,-43.04474011074123,-36.21887004641885,53.70442695271948,522.0103192999032,202.47705337463512
-138.28060955120606,39.39002631403681,99.37385817730181,-288.4000385049023,-92.41327060094204,-162.4885202027675,-140.3833069963544,-292.04028467603376,-106.08801374080035,-42.32670063012794,-45.67063221618731,-35.67155307881289,51.62958615635711,522.9256584468985,202.79840558625628
-138.05982129080274,40.92391252803214,99.43052267054642,-287.85034105438564,-89.3236986468569,-163.86265855891438,-137.38934295784748,-283.205521732824,-92.67532767922359,-39.974140828623725,-48.36580806623269,-34.768377433952004,50.24079513464737,523.3935665445772,203.05343593112653
-137.85815845095433,42.94774943995224,99.29638046548432,-285.95555181171085,-86.61232834066791,-165.47189778991054,-133.49875292054256,-273.87840879924545,-78.79062310716337,-37.545714280383166,-50.9966474522954,-33.681952074434705,48.00479215681409,524.4763857122509,203.441028320527
-137.59142972853107,44.70948452560865,99.32450578714038,-284.02272916102316,-84.60590799002378,-166.53513213967688,-130.23269524368033,-264.5045737719841,-64.69282948261147,-35.23690320899252,-53.54787048306611,-32.16609880903285,46.340251657774324,525.2111276503983,203.77911019901464
-137.33752306840879,46.832940124440725,99.18520913126788,-280.94116650084584,-83.17229027956434,-167.634047436974,-126.44431895898207,-255.04789047676465,-50.891042197002065,-33.019204865865134,-55.92612658406526,-30.399814544319913,43.99634648974352,526.4672236700677,204.22930103392537
-137.02803673293113,48.68886296448347,99.1698421320488,-277.8911812992348,-82.49627164237165,-168.14320748972648,-123.39201372243997,-245.8411461156381,-37.58415656284247,-31.03068583943358,-58.13701599149355,-28.234959698033162,42.15229778450457,527.4447459338135,204.63952081291873
-136.72926775841628,50.79091974868277,99.00295940300009,-274.0388136967049,-82.3765572840358,-168.5736804466131,-120.10314194200258,-236.79830564306283,-25.12664988036893,-29.218552702928573,-60.123430361018954,-25.875294085606,39.7737510395529,528.8632551010962,205.14228273884106
-136.38545784545792,52.61183200928939,98.9282455691903,-270.4346192727825,-82.88384282611364,-168.43566718862218,-117.58861213782937,-228.14166241419514,-13.589487472437767,-27.67162923344238,-61.90509459795277,-23.244009796361127,37.84992581471129,530.0506747828529,205.607996599227
-136.05390401647261,54.58296032363759,98.71453209662403,-266.41693514328796,-83.78155763536434,-168.1898305298053,-114.98243841721067,-219.7565370837378,-3.1623816341294897,-26.334439015053274,-63.44162829172947,-20.53317948288136,35.5176087903656,531.6053230812388,206.14674961592212
