Sh_x,Sh_y,Sh_z,El_x,El_y,El_z,Wr_x,Wr_y,Wr_z,WrVec_x,WrVec_y,WrVec_z
-126.6331477111487,642.1311823409937,308.3860651278917,-307.7457241833418,449.1006212706187,54.59320038304492,-109.53919051393834,235.67759624927882,42.84818095343585,-49.05901951678021,-32.842531611435525,-46.26234410719978
-125.30061393606817,631.9591809727883,307.91361096066873,-298.54162368879423,433.4972508039445,49.1489148298772,-95.66131071577144,220.73610906227455,44.151172205576785,-48.53394264321931,-34.70890701334908,-45.46944930708434
-124.96102231500781,635.0608112244521,308.5450486615004,-300.6142009086667,437.5065058248513,51.10681522758553,-98.63509578966217,224.45561733616717,46.48608304548506,-48.41462250222683,-34.51315740024382,-45.71577448358634
-124.37937388155211,633.9664167636912,308.77709534589553,-299.12277217177916,435.18849102096425,50.61984657280696,-96.19354479946831,222.59949417935496,49.72261324874061,-48.03383424036696,-35.3156658019289,-45.526367695296216
-124.08490046020653,635.7598721073493,309.2072317391906,-300.1101309389768,437.0556877877733,51.71247682680931,-97.31739220487479,225.086894494581,54.00799407519344,-47.65234502547126,-35.89886758389289,-45.46988225012114
-123.71674785299396,635.6756762191374,309.44975419179747,-299.51899843499007,436.0049006527037,51.75899244809161,-95.8886061090455,225.29059070710528,59.3704608634353,-47.09377500557948,-37.09267302980862,-45.11433092502832
-123.54337350766612,637.2716358501501,309.8050837175594,-300.39960415822003,437.3233484641848,52.80524367729469,-96.44705295630604,228.21748062961282,65.86900515737082,-46.49877062961712,-38.27038369656371,-44.73035784929614
-123.33645273174655,637.6679338243133,310.0492090773969,-300.3053743646363,436.7189261220656,53.294830282955324,-95.316965423152,229.86354468665584,73.5001379164699,-45.771367514733264,-39.91347138976196,-44.04401159919024
-123.27097853563778,639.2220207076945,310.38309054118423,-301.26785082006216,437.70484648466925,54.60075345537149,-95.54304442404725,233.5574100417671,82.25516290934756,-45.014529683316745,-41.58388085081022,-43.2294516349235
-123.17784416988084,639.8948296611524,310.6526248600377,-301.55909445386845,437.2485130044768,55.636277836859804,-94.54957389380174,236.46408948318924,92.07898443961884,-44.16834062176366,-43.5994128708418,-42.0911655844482
-123.18384624459289,641.4240749190554,311.0054655563618,-302.6822492928935,437.9507022961561,57.41761275983273,-94.61015013341257,241.04212014517142,102.8974495714748,-43.314641943370994,-45.61474575780518,-40.761779451018725
-123.15583656779351,642.2554631346568,311.3247569703114,-303.3203268124908,437.50773960747614,59.11610628503854,-93.7788289300865,245.12713944304082,114.60054198722672,-42.41154025391361,-47.85210978599329,-39.099095021213834
-123.19301201593228,643.7452354443972,311.72243210062135,-304.64629540143505,437.95975264601077,61.5144283413419,-93.84503761495155,250.63672125141616,127.0558894136856,-41.52475276010478,-50.024979712367674,-37.21706625034447
-123.18857030260347,644.6580385172078,312.103183341348,-305.6080526897272,437.4824983062721,63.93919579635159,-93.26523026177156,255.84162090372294,140.10697690495587,-40.62120732801283,-52.29699149691087,-35.01399665966173
-123.22542511110608,646.0898062296209,312.55215813420125,-307.14725301019064,437.7320121212306,66.9999650030304,-93.48512059535926,262.28278893161536,153.57909296514228,-39.752960872246064,-54.427859088732546,-32.595055535532936
-123.21798239217466,647.032836044889,312.9876050775224,-308.3950586605487,437.22363877455217,70.12224484865105,-93.23544167552737,268.5334676050667,167.2877222105734,-38.891110446552965,-56.54674685158884,-29.89012670070809
-123.23908231932474,648.3926323045731,313.4741144677139,-310.1185249201451,437.32872908535995,73.77979834173166,-93.69866382064579,275.85020369939326,181.03936729081175,-38.076123253529346,-58.45507592946605,-26.999768726927385
-123.22036431838656,649.3333265567626,313.9400689199417,-311.58284530241525,436.8145279641464,77.46732888079822,-93.80308349072894,283.025568446259,194.6466584643627,-37.281181210589814,-60.26377852114715,-23.878932095638504
-123.2273463991714,650.6138564063477,314.43504801891373,-313.41774958919,436.8283653431736,81.55284790111328,-94.52175996104229,291.08825524770333,207.9246164305789,-36.53724628040863,-61.81358865038974,-20.62550567940396
-123.20491681921503,651.5334901318718,314.8969847689113,-314.99273812251835,436.33073236156184,85.58873130323882,-94.93477808991331,298.9951708270673,220.70964568250986,-35.81902546966826,-63.20732424846639,-17.21465956724146
-123.21169289827223,652.7338059719905,315.36566733236697,-316.82849981748546,436.28525586459796,89.86590532531004,-95.84711630067746,307.5857818527089,232.8509969091123,-35.15019632221707,-64.32218923857948,-13.742093797492593
-123.20173214731417,653.6236663973874,315.7893729269358,-318.3821257800992,435.8059644713835,93.99466025150912,-96.46459995003559,315.945681909994,244.2314081175854,-34.5074368169999,-65.25805364260887,-10.198523655834036
-123.2259508820262,654.7475055541007,316.20253924494256,-320.08897514545384,435.7029114774806,98.2158167921513,-97.45844747339923,324.7562377391034,254.75340342400344,-33.909506740300614,-65.92439211297535,-6.675809970961528
-123.24388459389634,655.6051147308308,316.56463453915455,-321.4851731915447,435.21786762065204,102.20235711990989,-98.1461328804471,333.21188550964325,264.3600200333181,-33.33606952703136,-66.41937709616695,-3.174273038737971
-123.29780072231884,656.6581368568839,316.9077342842601,-322.94064678810275,435.0323778782082,106.16649113827027,-99.09365251255184,341.8657845336253,273.01580282625014,-32.803193675500964,-66.67911457045322,0.22224093538269277
-123.35004151990832,657.4831435213647,317.2023930704095,-324.06575071122455,434.4999186918644,109.84635720529288,-99.7219343649433,350.0147515954121,280.72675432830243,-32.29450944028164,-66.79843017507478,3.511208443947129
-123.43397618479962,658.4694706988215,317.47941935476115,-325.1801871470893,434.1948245752569,113.4379035186315,-100.51395141791217,358.11460447274936,287.5163022417997,-31.824955113726546,-66.7334357117504,6.622540931863772
-123.51353014799776,659.2596064781991,317.71894385152285,-325.96402954452907,433.57187262352124,116.74038483045445,-100.98732545900208,365.5674697814347,293.4443500863574,-31.382391887113283,-66.57231233074475,9.55890726586153
-123.61404160364748,660.1786391851762,317.94978077203837,-326.6965671073716,433.1154488897067,119.93562446813637,-101.5572736288896,372.76170739153457,298.5790617059044,-30.980964492420465,-66.28457274249526,12.268950794357583
-123.70127355769536,660.9267988496687,318.1589257139402,-327.1216151002238,432.3738711069294,122.87300107290892,-101.83025588166646,379.21082013052563,303.015654193128,-30.61179539091373,-65.94832790458314,14.765370623052263
-123.79443293637013,661.7716219671812,318.3712674468454,-327.48290187734756,431.7548373354475,125.7143431599555,-102.16246460107412,385.2597196733415,306.845419680351,-30.28714685878385,-65.5412073115501,17.017042705708036
-123.862454556493,662.4652486926407,318.5774926886774,-327.5805252392847,430.893607822779,128.3441424308703,-102.23970805155997,390.5353472077162,310.1754916681434,-29.999303781911216,-65.1291417325975,19.04681671372474
-123.92086306337214,663.2236529297792,318.7964088667175,-327.6240170515044,430.13093431318003,130.89502797127778,-102.36291259104188,395.3520407079684,313.0968100871638,-29.756690513688216,-64.69485719897514,20.840397281586508
-123.94350753245094,663.8470058544137,319.0197149891422,-327.4618502997622,429.1828495875727,133.2723645734707,-102.28700982059179,399.4427694525639,315.706209543982,-29.550430381564027,-64.29192936526417,22.425896219544452
-123.94455406764008,664.5052187940521,319.25873247148513,-327.2690284421438,428.3297702751319,135.57231455068177,-102.25858065326699,403.09033927401066,318.07479508275753,-29.38345343369236,-63.90734081422103,23.798313655503353
-123.90420568836737,665.0440031952633,319.5047700600642,-326.9352049032217,427.3621532264647,137.712042536094,-102.09210847993673,406.1154771619348,320.2732668538384,-29.244358006483896,-63.58351733805808,24.982941997610208
-123.83686416724184,665.5920481996291,319.7616139985393,-326.60018234614006,426.5037161875665,139.7495597568288,-101.97984513629865,408.7564500385429,322.34145618879063,-29.130260166623668,-63.31188853117026,25.974894926556804
-123.72969484171377,666.0387957851008,320.0203469907405,-326.1889171573649,425.61236614618923,141.6118861294643,-101.78801407420525,410.8961518758786,324.31700045900516,-29.02752709514376,-63.12492368559955,26.788313609087545
-123.59785059241615,666.4755197464157,320.2785457738783,-325.80550711191563,424.8560540101521,143.32333488415955,-101.65492793803065,412.70934156315053,326.2059063475265,-28.928845794262568,-63.01820370422921,27.410647775756278
-123.43503283299411,666.8335731866355,320.52849831521934,-325.40551515248075,424.1525559073045,144.8247543764452,-101.49302109361221,414.1152090399728,328.0138954108709,-28.82034156846845,-63.01414216096299,27.839297420213434
-123.25657099892798,667.1692345679456,320.7637452389502,-325.05684503070927,423.61297624441886,146.11498181949656,-101.38794976098356,415.2081345378459,329.71718175268666,-28.693129599905223,-63.110725707866905,28.050393336552712
-123.06137674701748,667.4534660168199,320.97975321712397,-324.7417146776405,423.2073670911429,147.1552276610468,-101.2950019792049,415.92503424826145,331.29539147987657,-28.536348621006653,-63.31847342038874,28.02407822869616
-122.86358150231162,667.708468646189,321.168245065431,-324.49120306916416,422.9879802134952,147.92728251326133,-101.24921888317137,416.2721425466529,332.70158370665604,-28.343309620093343,-63.634599872910194,27.727386657517204
-122.66546906077667,667.9419120126277,321.32955912850724,-324.31091377776374,422.97046383763876,148.418369309917,-101.24700453640284,416.1981920934364,333.89582773861196,-28.10996499022026,-64.0546983389801,27.12882211477634
-122.47827236868314,668.1415519348545,321.45513831213333,-324.19469417514,423.14642445556285,148.59914435430784,-101.27514069367642,415.62642122916486,334.8139305213594,-27.835632826220888,-64.57157692934278,26.194609198382096
-122.30579317292178,668.3485396718877,321.5510223829813,-324.16947439055315,423.5721929074906,148.48571214409068,-101.37045412261489,414.5258266383432,335.4014185410118,-27.52637798700977,-65.16305237208105,24.89254593062248
-122.15484146967067,668.5150728015487,321.6088520770219,-324.19244568037334,424.17799960735886,148.04013330192586,-101.47382227780464,412.7545841663621,335.58117510699515,-27.190140849769307,-65.81510873683513,23.200446710409274
-122.02933154036528,668.7128059174457,321.6401635448873,-324.31165683109265,425.05821295041625,147.30745699784663,-101.662583373046,410.3225627898721,335.2882968532161,-26.844513436645883,-66.48700261254486,21.098602520027512
-121.93070753848237,668.8572501405607,321.636254757498,-324.44969808353545,426.0824133078126,146.241006840937,-101.83406086947005,407.0496764767011,334.43738701545664,-26.50607281905883,-67.15856558632292,18.588935514147238
-121.86234870085322,669.0485183860144,321.6131287956073,-324.6774623656109,427.38270476546063,144.91309673590567,-102.1069719606415,403.0137653560625,332.95904553193134,-26.202206869950157,-67.7734467412967,15.675086213955375
-121.82018656808282,669.1649963443175,321.5605307184049,-324.8861767460921,428.77015512583137,143.2667371909769,-102.33748310908483,398.0251443408546,330.7675194815223,-25.95466306072116,-68.31025849913334,12.39096390444507
-121.8072782868863,669.3347009363782,321.49750388312,-325.17251234771226,430.41635352486026,141.39926556896765,-102.68720206004579,392.2551060356213,327.7992189853381,-25.79549209540295,-68.70415721516756,8.767749365113168
-121.81468015840072,669.3995775996867,321.41082227201196,-325.39977313525765,432.07699909306626,139.24140363316823,-102.97326218438457,385.5263044672025,323.98076586690297,-25.745198203027552,-68.94122155873704,4.871242832102065
-121.84607621498866,669.5166971516182,321.32119919727637,-325.6934137665961,433.96639712078246,136.91351150145226,-103.40170577956559,378.1188624640622,319.2691200146625,-25.833293810540376,-68.95786727761596,0.7557822482578012
-121.88884797907846,669.493371838279,321.21122988846395,-325.89136885752606,435.7884034354501,134.33223091357223,-103.75168729232182,369.8754281658668,313.61920130707097,-26.071718143380753,-68.75759982291937,-3.4892849301050703
-121.94868913582208,669.5183247810739,321.10234285629974,-326.1500334630185,437.8040785018044,131.6395305893974,-104.27436511936165,361.1843260196231,307.02445920650814,-26.48068450706488,-68.28731908497994,-7.79809180407975
-122.01070802372801,669.3666808764149,320.97224722250263,-326.28298725478425,439.6686964969246,128.73646728388778,-104.71009019309764,351.8979820502583,299.48270179906217,-27.057952117619312,-67.5757113618119,-12.071654200508044
-122.08402976027392,669.2621939064702,320.84276767243506,-326.4785499137292,441.69438386584716,125.7856468472138,-105.3544347904897,342.4954715357345,291.03569459816765,-27.810501826789164,-66.58547799494379,-16.24781858177153
-122.1526913594835,668.9500594948136,320.68666702820366,-326.52541267709813,443.49039435023974,122.67094408680141,-105.90610567035552,332.81300448210993,281.7318929667025,-28.719881973419955,-65.37317929876373,-20.233298230138477
-122.23033266528107,668.6923487149093,320.5265572719664,-326.6439388895057,445.4242115313953,119.57456059885854,-106.70333428817611,323.3910775680178,271.6640499547365,-29.7798953826046,-63.91674693988568,-23.984259849463243
-122.30058691728847,668.20549926155,320.33084295746295,-326.59636733843905,447.0606482694093,116.36093948630321,-107.39898986300949,314.0152237552162,260.9282081240903,-30.957822050903957,-62.29735061716282,-27.425831232961283
-122.38208664820344,667.7923295911926,320.1239580590199,-326.63506067944707,448.82658456562484,113.23035577900174,-108.37213260142819,305.2552720506848,249.6591938750083,-32.23799211760197,-60.50192111243072,-30.54287177512693
-122.45800564046286,667.1399469345987,319.8710398432564,-326.49388999333746,450.2425775462435,110.02476773705736,-109.22527830230291,296.81306763138065,237.98626233855603,-33.5783610653257,-58.62833197610158,-33.28604554321969
-122.55175266675023,666.5931178424975,319.59980922110367,-326.4576529866335,451.7982552683912,106.96078507683232,-110.37751928764423,289.2628189861776,226.06743630393052,-34.95971808088092,-56.66283091107938,-35.67286446991277
-122.64525722031473,665.807113978084,319.2734416323783,-326.22996326581824,452.9680821582597,103.85461672781896,-111.37710107535459,282.1998200474822,214.043144531337,-36.33695687466945,-54.71031125842863,-37.679783956313855
-122.76588119496974,665.1687925736377,318.9245058283533,-326.1291731262513,454.30663264249614,100.93820442857326,-112.684296527806,276.1917518537967,202.07106924850044,-37.69372950470194,-52.74638081684403,-39.354206918314226
-122.8929674165722,664.2974556173685,318.5153591890852,-325.82666622225383,455.2379603925195,97.99956186517919,-113.79035655747941,270.71888621757176,190.27945515276426,-38.98778457272076,-50.874688077061045,-40.692357311097176
-123.05666046257895,663.6217774548567,318.08469464144923,-325.6760083643508,456.3826868809891,95.2866844625352,-115.20036898075568,266.3471681047928,178.8040989244164,-40.211072300839696,-49.052827791558364,-41.76344951787486
-123.23212191072858,662.7199678730669,317.59465783127854,-325.3139754753459,457.10789917194313,92.55831989079546,-116.34716516052383,262.44653362910606,167.74261840330607,-41.32858714234153,-47.37864901643667,-42.57324840348896
-123.45112830708217,662.0627023621305,317.09075055727845,-325.13141236698647,458.1011479060331,90.08111838113376,-117.78682670620955,259.59839249872766,157.1946089188223,-42.3441141554484,-45.788418680956894,-43.20202593758559
-123.68318799779215,661.181650207479,316.5347326926992,-324.72749060608794,458.6645985705821,87.58443114149827,-118.89317612455346,257.0749167756991,147.21740297057934,-43.23200780469614,-44.37396853528517,-43.65371380331617
-123.96096620000375,660.590951019245,315.9788857992252,-324.5328870253987,459.5546599282839,85.35742903167866,-120.28160751763912,255.49666407047022,137.86963838149376,-44.00893734440289,-43.05070402872343,-44.0095294557708
-124.24731163675831,659.770366043105,315.38359739162127,-324.1054618298575,459.99998161791444,83.09997493227344,-121.26619620534551,254.0519407104711,129.16825439008434,-44.65805009043879,-41.9076163472419,-44.262268769241906
-124.57575649694088,659.2807940998152,314.80728800322277,-323.91897767044753,460.829861328368,81.12816316802093,-122.53132400762792,253.42490992011602,121.13502207633924,-45.207366140422124,-40.84203007971627,-44.48742636875872
-124.90215320982183,658.5447867162958,314.2073426868652,-323.48545155028063,461.19047203513435,79.11143815226907,-123.32898728748448,252.72988996543816,113.7538857573901,-45.645877214836084,-39.94506661169127,-44.66140501503188
-125.26174794128434,658.1753743854023,313.64734733966725,-323.3259108657024,461.99084063910203,77.39721180817527,-124.42259565558969,252.73632782755632,107.01952119165479,-46.00961420758332,-39.09939942054564,-44.85176352903886
-125.60373067696872,657.5322178346557,313.0796882105949,-322.90089979528256,462.2850457654249,75.62200727091047,-124.99646264079284,252.4873509764548,100.89377793377204,-46.2892364646952,-38.40360844138677,-45.01728458927212
-125.96671538016247,657.2879884110498,312.57215054015325,-322.7840535046107,463.0719622644827,74.1687001081227,-125.90271756636209,252.85557206784353,95.35523319661323,-46.5250432239784,-37.728440779866,-45.21909811759705
-126.29401025481691,656.7326211261462,312.07003343285345,-322.377307225988,463.3024944487105,72.63632017331315,-126.24777486831861,252.80755253042702,90.35358280083348,-46.70533891138498,-37.18460603198705,-45.39992783366073
-126.62981413938071,656.6081784362208,311.64468869891857,-322.3138231984923,464.0792042850697,71.44731416428215,-126.98212604268915,253.33412075885022,85.85956150427113,-46.87177024543125,-36.63199257319627,-45.618379904038065
-126.9123820095002,656.1258910781738,311.2323493147263,-321.92782865392104,464.2360132347088,70.1563996477052,-127.11887844289195,253.311766508712,81.81671359254695,-47.007262938268006,-36.196942047848154,-45.804075232336565
-127.19394208560217,656.1096127298975,310.90791705864456,-321.92130002885784,464.99745402091077,69.23047353668156,-127.71814098659165,253.86418792043497,78.19188669330477,-47.15321987018057,-35.727448741369955,-46.018252350145836
-127.40809227995,655.6795643922875,310.59681253302347,-321.54914959858235,465.06217931641334,68.17095789792783,-127.67902534659991,253.7566551340192,74.92462585636368,-47.28526815761713,-35.3680217283799,-46.180621612318284
-127.6174610391857,655.7574184073524,310.3783431456076,-321.59510588343863,465.80079092017775,67.49625118928304,-128.18691000931094,254.2636386452554,71.9792585507141,-47.4442298595261,-34.95183017487018,-46.36055540680716
-127.75048948923079,655.3552124182763,310.1656172541612,-321.21972144783985,465.75143559532165,66.64336889946118,-128.0004499404156,254.01046049006382,69.29262093044649,-47.59729598664423,-34.644079354399956,-46.47020310888619
-127.88235996667153,655.5139395085162,310.0443243288318,-321.30693195442234,466.4632009317896,66.19331664248926,-128.45401799881998,254.4480845678682,66.82898359768767,-47.78538035890237,-34.25885789175425,-46.59217235796021
-127.93456942425657,655.113060442901,309.91386055229316,-320.9025767204295,466.27773294728235,65.50486011576805,-128.13163579547896,254.0238374164942,64.52646359813768,-47.96649155285015,-33.98593605021701,-46.63154494372542
-127.99692538320681,655.3431121164654,309.8696247323616,-321.0175350224806,466.96786286017186,65.23907181760671,-128.55347247360723,254.40427757706644,62.355513607480574,-48.18318298286875,-33.61497710045853,-46.68849590387838
-127.98055336450678,654.9152580551739,309.79556666819053,-320.5535936431392,466.62558987576,64.6578076902032,-128.082405009559,253.80603346330844,60.26337303766407,-48.38358771957352,-33.36675452593769,-46.65890585096161
