 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,, Cylinder_1,,, Cylinder_2,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-228.667,400.951,25.8048,-294.976,403.902,23.7909,-305.041,582.229,-21.5695,-295.877,494.228,6.5311,-246.785,498.331,25.2511,-252.371,574.036,25.0471,,,,-295.939,656.615,-24.7615,-272.877,669.59,77.3779,-262.972,677.808,122.169,-253.993,691.766,195.377,-235.002,650.722,194.193,-242.249,644.68,133.16,-256.754,636.864,87.6844,-180.153,742.307,304.101,-135.651,659.622,304.13,-173.844,690.123,319.988,-17.5543,616.995,255.509,-15.2739,628.426,282.421,27.6419,628.484,281.999,27.7614,613.092,258.883,,,,,,
-228.684,400.954,25.7971,-294.997,403.908,23.7784,-305.049,582.252,-21.5722,-295.9,494.245,6.5257,-246.808,498.343,25.2528,-252.397,574.039,25.0675,,,,-295.936,656.635,-24.7626,-272.887,669.607,77.3781,-262.986,677.824,122.171,-254.008,691.781,195.385,-235.02,650.731,194.203,-242.267,644.69,133.161,-256.767,636.881,87.6814,-180.159,742.319,304.093,-135.644,659.627,304.117,-173.845,690.137,319.991,-17.5445,616.969,255.502,-15.2711,628.4,282.414,27.6398,628.461,282.004,27.7669,613.069,258.887,,,,,,
-228.7,400.958,25.7904,-295.016,403.914,23.7669,-305.057,582.273,-21.5746,-295.921,494.261,6.52091,-246.829,498.354,25.2547,-252.422,574.043,25.0864,,,,-295.934,656.654,-24.7638,-272.897,669.623,77.3782,-263,677.838,122.173,-254.022,691.796,195.391,-235.037,650.74,194.211,-242.285,644.699,133.162,-256.78,636.896,87.6782,-180.164,742.331,304.085,-135.637,659.63,304.104,-173.846,690.15,319.994,-17.5352,616.944,255.494,-15.2685,628.376,282.407,27.6376,628.438,282.009,27.7721,613.047,258.891,,,,,,
-228.715,400.962,25.7846,-295.035,403.919,23.7564,-305.066,582.293,-21.5769,-295.941,494.277,6.51675,-246.85,498.365,25.2569,-252.445,574.048,25.104,,,,-295.933,656.672,-24.7653,-272.908,669.638,77.3782,-263.014,677.851,122.175,-254.036,691.809,195.398,-235.054,650.748,194.22,-242.301,644.706,133.163,-256.791,636.911,87.6746,-180.169,742.341,304.077,-135.631,659.633,304.091,-173.847,690.162,319.996,-17.5262,616.919,255.487,-15.2661,628.351,282.4,27.6353,628.416,282.013,27.7769,613.026,258.894,,,,,,
-228.73,400.966,25.7797,-295.053,403.925,23.747,-305.074,582.313,-21.5788,-295.96,494.292,6.51321,-246.869,498.376,25.2595,-252.467,574.052,25.1202,,,,-295.932,656.689,-24.7668,-272.917,669.652,77.378,-263.027,677.863,122.177,-254.049,691.821,195.404,-235.069,650.755,194.228,-242.317,644.713,133.164,-256.802,636.924,87.6707,-180.174,742.351,304.069,-135.625,659.636,304.078,-173.848,690.173,319.997,-17.5177,616.896,255.479,-15.264,628.328,282.393,27.6327,628.395,282.018,27.7813,613.005,258.898,,,,,,
-228.744,400.97,25.7758,-295.07,403.93,23.7386,-305.082,582.33,-21.5806,-295.978,494.306,6.51028,-246.887,498.387,25.2623,-252.487,574.057,25.135,,,,-295.931,656.705,-24.7686,-272.927,669.664,77.3777,-263.04,677.875,122.178,-254.062,691.833,195.409,-235.084,650.761,194.235,-242.333,644.719,133.164,-256.812,636.937,87.6665,-180.179,742.359,304.06,-135.618,659.637,304.064,-173.849,690.182,319.998,-17.5097,616.873,255.472,-15.2622,628.305,282.386,27.6301,628.374,282.022,27.7853,612.985,258.901,,,,,,
-228.757,400.974,25.7727,-295.086,403.936,23.7313,-305.089,582.347,-21.5821,-295.994,494.319,6.50798,-246.904,498.397,25.2653,-252.506,574.063,25.1484,,,,-295.931,656.72,-24.7705,-272.937,669.676,77.3772,-263.052,677.885,122.179,-254.074,691.843,195.414,-235.098,650.766,194.243,-242.347,644.724,133.165,-256.822,636.948,87.662,-180.184,742.367,304.052,-135.613,659.638,304.051,-173.85,690.191,319.999,-17.5021,616.851,255.464,-15.2605,628.283,282.379,27.6273,628.354,282.026,27.789,612.966,258.903,,,,,,
-228.77,400.978,25.7706,-295.101,403.941,23.7249,-305.097,582.362,-21.5834,-296.01,494.332,6.50629,-246.92,498.407,25.2687,-252.523,574.068,25.1603,,,,-295.932,656.734,-24.7726,-272.946,669.687,77.3766,-263.065,677.894,122.18,-254.085,691.852,195.419,-235.111,650.771,194.249,-242.361,644.728,133.165,-256.83,636.958,87.6572,-180.189,742.373,304.043,-135.607,659.639,304.037,-173.851,690.198,319.998,-17.4949,616.83,255.457,-15.2592,628.262,282.372,27.6243,628.334,282.029,27.7922,612.947,258.906,,,,,,
-228.781,400.983,25.7694,-295.116,403.947,23.7196,-305.104,582.376,-21.5845,-296.024,494.344,6.50522,-246.934,498.417,25.2723,-252.538,574.074,25.1709,,,,-295.933,656.747,-24.7749,-272.955,669.697,77.3758,-263.077,677.903,122.181,-254.096,691.861,195.423,-235.124,650.775,194.256,-242.374,644.732,133.164,-256.838,636.968,87.6521,-180.195,742.378,304.034,-135.602,659.638,304.023,-173.852,690.205,319.998,-17.4882,616.81,255.45,-15.2581,628.242,282.366,27.6212,628.315,282.033,27.7951,612.929,258.908,,,,,,
