 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-177.974,225.266,44.5191,-233.916,222.154,10.3392,-250.556,384.608,19.0868,-237.725,281.791,23.6596,-192.007,282.456,53.1743,-218.459,383.041,65.3975,,,,-244.453,454.031,23.9431,-237.259,517.599,72.7515,-228.504,556.642,103.406,-217.184,596.783,137.218,-215.033,553.045,165.082,-216.373,527.308,128.883,-225.368,490.722,100.532,-167.443,658.893,268.642,-120.001,594.625,258.059,-150.418,613.604,274.249,-12.3446,565.919,225.546,-9.68868,572.918,254.981,30.3585,570.694,252.652,29.5296,563.351,224.946
-177.973,225.267,44.5191,-233.916,222.154,10.3401,-250.556,384.608,19.0864,-237.722,281.791,23.6595,-192.007,282.457,53.1745,-218.459,383.043,65.3951,,,,-244.454,454.031,23.9424,-237.267,517.602,72.7369,-228.504,556.643,103.398,-217.182,596.784,137.21,-215.034,553.047,165.074,-216.375,527.31,128.878,-225.368,490.724,100.529,-167.444,658.895,268.645,-120.002,594.626,258.065,-150.419,613.606,274.249,-12.3481,565.923,225.544,-9.69031,572.92,254.979,30.3567,570.699,252.648,29.5239,563.356,224.94
-177.973,225.268,44.5192,-233.916,222.154,10.341,-250.557,384.609,19.086,-237.719,281.791,23.6595,-192.007,282.459,53.1748,-218.46,383.044,65.393,,,,-244.455,454.031,23.9419,-237.276,517.604,72.7227,-228.505,556.645,103.39,-217.18,596.786,137.203,-215.035,553.049,165.065,-216.377,527.312,128.874,-225.369,490.725,100.526,-167.445,658.897,268.647,-120.004,594.627,258.072,-150.421,613.607,274.249,-12.3517,565.926,225.542,-9.69206,572.922,254.976,30.3547,570.703,252.645,29.5181,563.36,224.935
-177.972,225.269,44.5192,-233.916,222.154,10.3419,-250.557,384.61,19.0857,-237.717,281.792,23.6597,-192.006,282.46,53.175,-218.461,383.046,65.3909,,,,-244.457,454.031,23.9414,-237.284,517.607,72.709,-228.505,556.646,103.383,-217.178,596.787,137.197,-215.036,553.051,165.058,-216.379,527.314,128.869,-225.369,490.727,100.523,-167.446,658.899,268.649,-120.006,594.628,258.078,-150.422,613.609,274.25,-12.3554,565.929,225.541,-9.69393,572.924,254.974,30.3525,570.708,252.641,29.5122,563.364,224.93
-177.972,225.269,44.5192,-233.916,222.154,10.3427,-250.558,384.61,19.0854,-237.715,281.792,23.6599,-192.006,282.461,53.1752,-218.462,383.048,65.3889,,,,-244.458,454.032,23.9411,-237.292,517.61,72.6957,-228.506,556.647,103.376,-217.176,596.788,137.191,-215.037,553.053,165.051,-216.382,527.315,128.865,-225.37,490.728,100.52,-167.448,658.901,268.652,-120.008,594.629,258.085,-150.424,613.611,274.251,-12.3592,565.932,225.539,-9.69594,572.925,254.972,30.3502,570.711,252.638,29.5063,563.368,224.925
-177.971,225.27,44.5193,-233.916,222.155,10.3436,-250.559,384.611,19.0851,-237.713,281.792,23.6603,-192.006,282.462,53.1754,-218.463,383.05,65.3871,,,,-244.459,454.032,23.9408,-237.3,517.612,72.6828,-228.507,556.648,103.37,-217.175,596.789,137.185,-215.037,553.054,165.044,-216.384,527.317,128.862,-225.37,490.73,100.517,-167.449,658.903,268.655,-120.011,594.629,258.091,-150.426,613.612,274.252,-12.3631,565.935,225.538,-9.69807,572.926,254.97,30.3477,570.714,252.635,29.5003,563.371,224.92
-177.97,225.271,44.5193,-233.916,222.155,10.3444,-250.56,384.611,19.0849,-237.711,281.793,23.6608,-192.005,282.463,53.1756,-218.464,383.051,65.3854,,,,-244.461,454.032,23.9407,-237.308,517.614,72.6704,-228.508,556.649,103.365,-217.175,596.789,137.181,-215.039,553.055,165.038,-216.387,527.318,128.858,-225.371,490.731,100.515,-167.451,658.904,268.658,-120.013,594.63,258.098,-150.428,613.614,274.253,-12.3671,565.937,225.537,-9.70032,572.927,254.968,30.345,570.717,252.633,29.4944,563.374,224.916
-177.97,225.272,44.5193,-233.916,222.155,10.3452,-250.561,384.611,19.0847,-237.71,281.793,23.6614,-192.005,282.463,53.1757,-218.465,383.053,65.3838,,,,-244.462,454.032,23.9406,-237.315,517.617,72.6583,-228.51,556.649,103.359,-217.174,596.79,137.176,-215.04,553.056,165.033,-216.39,527.319,128.855,-225.372,490.732,100.513,-167.452,658.906,268.661,-120.016,594.631,258.104,-150.43,613.615,274.255,-12.3712,565.939,225.537,-9.70271,572.928,254.966,30.3421,570.72,252.63,29.4883,563.376,224.912
-177.969,225.272,44.5194,-233.916,222.155,10.346,-250.562,384.611,19.0846,-237.709,281.793,23.6621,-192.005,282.464,53.1758,-218.467,383.054,65.3824,,,,-244.464,454.033,23.9406,-237.323,517.619,72.6468,-228.511,556.65,103.355,-217.174,596.79,137.173,-215.041,553.056,165.028,-216.393,527.32,128.853,-225.374,490.733,100.511,-167.454,658.907,268.664,-120.019,594.632,258.11,-150.433,613.616,274.257,-12.3754,565.94,225.536,-9.70522,572.928,254.965,30.3391,570.722,252.628,29.4822,563.378,224.909
-177.968,225.273,44.5194,-233.915,222.155,10.3468,-250.563,384.612,19.0845,-237.709,281.793,23.663,-192.004,282.465,53.1759,-218.468,383.056,65.3811,,,,-244.465,454.033,23.9407,-237.331,517.621,72.6357,-228.513,556.65,103.35,-217.174,596.79,137.17,-215.042,553.056,165.024,-216.396,527.321,128.851,-225.375,490.733,100.509,-167.456,658.909,268.668,-120.023,594.632,258.117,-150.436,613.618,274.259,-12.3797,565.941,225.535,-9.70786,572.929,254.964,30.3359,570.724,252.626,29.4761,563.38,224.905
-177.967,225.273,44.5194,-233.915,222.154,10.3475,-250.565,384.612,19.0844,-237.708,281.794,23.664,-192.004,282.466,53.1759,-218.47,383.057,65.3799,,,,-244.467,454.033,23.941,-237.338,517.623,72.625,-228.515,556.65,103.347,-217.175,596.79,137.167,-215.044,553.056,165.02,-216.399,527.321,128.849,-225.377,490.734,100.507,-167.458,658.91,268.671,-120.026,594.633,258.123,-150.439,613.619,274.262,-12.3841,565.942,225.535,-9.71062,572.928,254.963,30.3326,570.725,252.624,29.4699,563.381,224.902
-177.966,225.274,44.5194,-233.915,222.154,10.3483,-250.566,384.612,19.0844,-237.708,281.794,23.6651,-192.004,282.466,53.1759,-218.471,383.058,65.3788,,,,-244.468,454.033,23.9413,-237.346,517.625,72.6148,-228.516,556.651,103.343,-217.176,596.79,137.166,-215.045,553.056,165.017,-216.402,527.322,128.847,-225.378,490.734,100.506,-167.46,658.911,268.675,-120.03,594.634,258.129,-150.443,613.62,274.265,-12.3886,565.943,225.535,-9.7135,572.928,254.962,30.329,570.726,252.622,29.4637,563.382,224.899
