Sh_x,Sh_y,Sh_z,El_x,El_y,El_z,Wr_x,Wr_y,Wr_z,WrVec_x,WrVec_y,WrVec_z
-132.94414357550605,83.11972410624229,73.44978776238456,-296.0920384269987,-59.300428409582686,-219.3877314815622,-334.52556445967235,-325.6913948319276,-245.35028142784444,-68.84953298214734,20.87050231516353,-15.415305679230556
-131.77923145402258,85.51356613819613,73.12668407626012,-295.6015696033732,-54.23887801543723,-221.99427746211657,-335.53422077196393,-320.3589189402256,-247.73576499710063,-68.63660247053782,21.20875313413765,-15.412993276027933
-131.9036301464861,84.67810254753186,73.89656274588239,-295.62620936623915,-55.33578391994129,-220.92945583859182,-335.06895856090256,-321.4982701397731,-246.7980791163077,-68.71338731365707,21.048375756961956,-15.387340248766712
-131.62266229563747,84.61768178586073,74.37024153364953,-295.5699999423602,-54.735913853759705,-220.85074670459872,-335.1623648297723,-320.86498232739723,-246.86500286813248,-68.7575030413853,21.069842246553403,-15.369548474305462
-131.66388537182286,83.78477673633992,74.8360593635223,-295.74239177839036,-55.5630095941957,-220.16508611776072,-335.07450523911524,-321.7472547108221,-246.36799177577257,-68.76995918383138,21.01196195683454,-15.332953106832202
-131.6655219622587,83.25974985814489,74.73324287189007,-295.8083788985388,-56.07265538576482,-220.34265357573366,-335.25810036995836,-322.1048777941035,-246.53644314443363,-68.64778644919227,21.0153825800368,-15.185879396539226
-132.01584669560776,82.35473735654845,74.24931711739131,-296.4427086633353,-57.94590180806653,-220.16899989948323,-335.7992825944245,-324.06022279132145,-246.41488891338503,-68.81421102316901,21.003373954754224,-15.217490388492012
-132.41861662317527,81.92794615646461,73.37360618886257,-297.87786173639444,-59.6116749016587,-220.0988973293339,-338.60891614443386,-325.8598276038421,-246.366481608024,-69.21138569968365,20.952180901479828,-16.527079696299893
-132.95094034715208,81.62654075981223,72.6421170338368,-302.49851744037755,-58.88563832304379,-219.40981286069942,-343.1077911168588,-325.97906031189444,-245.17321329998117,-69.24211791946983,19.641615051059926,-18.757160695571592
-133.21767903806116,81.89215942457759,72.18463025725514,-310.5183736900929,-51.35727432918362,-220.1483193446366,-342.92877081163147,-320.69899299713666,-240.98937445376043,-69.68707741532306,15.22320956258196,-19.490291445242907
-133.2781510405373,82.15309779231457,72.13260350844557,-318.1098915129617,-41.14719070438451,-221.8338965308488,-332.1293195284434,-312.3323824991312,-230.32994499072288,-70.53196785385504,6.994757135249721,-20.650800086491564
-133.09648469267646,82.4693301927078,72.2010599893735,-324.40307949672973,-32.64540119748433,-222.23654329268263,-313.68617376946474,-304.2420914877579,-216.2318519044623,-68.656642439548,-3.227355260177456,-26.750467222041763
-133.05823382533688,82.21927786195845,72.31819478195571,-327.8446192854555,-30.894472736432313,-220.51475719415708,-292.9187898424865,-299.9107594702865,-205.979155445671,-64.78141515309665,-11.592452693168731,-33.76815200980238
-133.25134927978587,81.52030624856174,72.33815281158448,-327.6751703443158,-34.8527076163928,-218.85354009675407,-273.55114818856435,-299.3152000147847,-203.96320100358022,-63.01721322856952,-15.904250504982473,-35.294255392711634
-133.81695272204064,80.16476328937841,72.39854364729622,-324.7544272076936,-41.134085620189865,-218.78787605669802,-258.22399021414606,-301.88327781078783,-207.93198938660134,-63.17099916643333,-17.319249997058414,-33.90554573483954
-134.53836594944283,78.58642994641296,72.51798416265127,-321.2098009142955,-45.986881793108395,-220.39506593731645,-247.93819360792793,-305.0906725735165,-213.58630616320534,-62.44076131468473,-17.176203463945573,-34.805054302726624
-135.32224458257235,76.82372600924982,72.80520938790764,-318.5131553262106,-49.5373665582391,-221.9456425567877,-240.3537420845145,-307.5445197100673,-218.64243337840495,-60.770077365478116,-16.40982140712207,-37.655723961393214
-135.9505752228664,75.29108973396609,73.16183381972122,-316.9468945337677,-51.98189739333401,-222.74640891054338,-234.20108413787577,-308.5207969234229,-223.25083096044614,-59.28198251635236,-15.602762017515616,-40.069169164350804
