 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,, Cylinder_1,,, Cylinder_2,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
176.214,341.158,44.6655,229.894,332.525,15.6095,265.618,514.81,80.8202,240.593,459.082,66.1614,269.933,448.818,24.3977,285.745,516.839,36.4443,225.067,600.922,14.8054,292.306,577.437,51.3648,257.97,582.979,142.844,240.165,598.399,191.805,230.856,610.925,235.568,254.228,641.065,226.361,262.049,632.35,182.895,272.871,620.707,134.635,174.571,742.706,332.484,138.154,641.567,317.531,158.543,669.061,350.707,0.486157,624.295,280.867,1.51096,633.874,310.05,45.1724,632.386,308.23,45.408,620.513,279.81,,,,,,
176.412,341.271,45.4497,229.842,332.508,15.9537,265.863,514.945,81.0595,240.846,459.174,66.5559,270.032,448.85,24.6868,285.85,516.9,36.6148,225.25,600.969,14.922,292.449,577.528,51.4819,258.11,583.059,142.983,240.268,598.442,191.963,230.914,610.972,235.722,254.273,641.139,226.505,262.121,632.432,183.033,272.983,620.804,134.764,174.541,742.73,332.544,138.114,641.585,317.617,158.481,669.104,350.796,0.487655,624.265,280.874,1.511,633.838,310.061,45.1728,632.354,308.248,45.412,620.476,279.817,,,,,,
176.579,341.37,46.2218,229.763,332.477,16.295,266.091,515.058,81.3033,241.077,459.246,66.9496,270.11,448.861,24.977,285.944,516.938,36.7926,225.429,600.998,15.0436,292.586,577.594,51.6075,258.242,583.123,143.128,240.364,598.474,192.124,230.967,611.011,235.878,254.316,641.202,226.65,262.19,632.5,183.175,273.09,620.884,134.897,174.513,742.753,332.603,138.073,641.601,317.704,158.418,669.146,350.884,0.488411,624.234,280.881,1.51036,633.801,310.071,45.1726,632.322,308.267,45.4151,620.439,279.824,,,,,,
176.716,341.454,46.9817,229.658,332.431,16.6335,266.302,515.147,81.5514,241.286,459.299,67.3425,270.168,448.851,25.2682,286.027,516.952,36.9775,225.603,601.008,15.17,292.717,577.634,51.7417,258.366,583.171,143.279,240.453,598.494,192.289,231.015,611.04,236.036,254.355,641.253,226.798,262.255,632.554,183.319,273.194,620.945,135.035,174.485,742.773,332.662,138.031,641.617,317.789,158.356,669.185,350.971,0.488427,624.205,280.888,1.50904,633.764,310.082,45.1716,632.29,308.285,45.4174,620.402,279.831,,,,,,
176.823,341.524,47.7295,229.527,332.37,16.9691,266.497,515.214,81.8039,241.474,459.332,67.7345,270.205,448.821,25.5605,286.099,516.943,37.1696,225.774,601,15.3012,292.841,577.648,51.8844,258.481,583.202,143.435,240.534,598.503,192.457,231.057,611.061,236.197,254.391,641.294,226.947,262.316,632.592,183.467,273.293,620.987,135.177,174.458,742.791,332.72,137.988,641.631,317.874,158.293,669.223,351.058,0.487701,624.175,280.895,1.50704,633.728,310.092,45.17,632.258,308.303,45.4189,620.366,279.838,,,,,,
176.899,341.58,48.465,229.37,332.295,17.3019,266.675,515.257,82.0608,241.64,459.345,68.1257,270.222,448.769,25.8539,286.16,516.909,37.369,225.941,600.973,15.4374,292.96,577.638,52.0357,258.589,583.217,143.597,240.609,598.501,192.628,231.094,611.073,236.359,254.424,641.323,227.098,262.374,632.616,183.619,273.389,621.01,135.324,174.431,742.808,332.778,137.944,641.644,317.958,158.23,669.26,351.145,0.486235,624.145,280.902,1.50436,633.691,310.103,45.1676,632.226,308.321,45.4196,620.329,279.844,,,,,,
176.944,341.621,49.1885,229.186,332.205,17.6319,266.837,515.277,82.322,241.784,459.337,68.5161,270.218,448.697,26.1484,286.21,516.852,37.5755,226.103,600.927,15.5784,293.072,577.602,52.1956,258.688,583.215,143.764,240.677,598.487,192.802,231.125,611.076,236.524,254.454,641.341,227.251,262.429,632.626,183.773,273.481,621.015,135.475,174.405,742.823,332.835,137.899,641.656,318.042,158.167,669.294,351.23,0.484028,624.116,280.909,1.501,633.655,310.113,45.1646,632.195,308.338,45.4195,620.293,279.851,,,,,,
176.959,341.649,49.8996,228.975,332.1,17.9589,266.982,515.274,82.5875,241.907,459.31,68.9055,270.193,448.603,26.4439,286.25,516.771,37.7893,226.261,600.863,15.7242,293.178,577.541,52.3639,258.78,583.197,143.937,240.737,598.462,192.979,231.151,611.07,236.691,254.482,641.348,227.406,262.48,632.621,183.93,273.568,621.002,135.63,174.379,742.836,332.892,137.852,641.667,318.125,158.104,669.327,351.315,0.48108,624.087,280.916,1.49697,633.619,310.123,45.1609,632.163,308.355,45.4186,620.256,279.858,,,,,,
176.943,341.662,50.5986,228.739,331.981,18.283,267.11,515.248,82.8574,242.008,459.263,69.2941,270.148,448.489,26.7404,286.278,516.667,38.0101,226.416,600.78,15.8749,293.278,577.455,52.5408,258.863,583.162,144.115,240.791,598.425,193.159,231.172,611.055,236.86,254.506,641.344,227.562,262.527,632.602,184.091,273.652,620.97,135.79,174.354,742.847,332.948,137.805,641.677,318.207,158.041,669.358,351.399,0.477391,624.058,280.923,1.49225,633.584,310.133,45.1564,632.131,308.373,45.4168,620.22,279.864,,,,,,
176.896,341.66,51.2852,228.476,331.848,18.6041,267.221,515.199,83.1316,242.087,459.197,69.6817,270.082,448.354,27.0378,286.295,516.539,38.2381,226.566,600.679,16.0304,293.372,577.343,52.7262,258.938,583.111,144.299,240.837,598.377,193.343,231.188,611.032,237.03,254.527,641.329,227.721,262.572,632.569,184.255,273.731,620.919,135.954,174.33,742.856,333.003,137.757,641.686,318.289,157.978,669.387,351.482,0.472962,624.029,280.929,1.48686,633.548,310.144,45.1513,632.099,308.389,45.4143,620.184,279.87,,,,,,
176.819,341.645,51.9594,228.187,331.699,18.9222,267.316,515.127,83.41,242.144,459.11,70.0684,269.996,448.198,27.3362,286.301,516.387,38.4732,226.712,600.559,16.1907,293.46,577.206,52.9201,259.005,583.043,144.488,240.877,598.318,193.529,231.198,610.999,237.203,254.545,641.303,227.881,262.612,632.52,184.421,273.807,620.85,136.123,174.306,742.863,333.058,137.707,641.693,318.37,157.915,669.415,351.565,0.467791,624.001,280.935,1.48079,633.513,310.153,45.1454,632.068,308.406,45.411,620.147,279.877,,,,,,
176.712,341.615,52.6211,227.871,331.537,19.237,267.395,515.032,83.6925,242.18,459.004,70.4539,269.889,448.021,27.6353,286.296,516.212,38.7153,226.854,600.421,16.3558,293.541,577.044,53.1223,259.063,582.959,144.683,240.909,598.247,193.719,231.203,610.958,237.379,254.56,641.265,228.043,262.649,632.458,184.591,273.878,620.763,136.295,174.283,742.869,333.112,137.657,641.7,318.45,157.852,669.441,351.647,0.46188,623.972,280.942,1.47404,633.477,310.163,45.1389,632.036,308.422,45.4068,620.111,279.883,,,,,,
176.574,341.57,53.2703,227.53,331.359,19.5485,267.456,514.914,83.9792,242.194,458.877,70.8384,269.762,447.824,27.9352,286.28,516.013,38.9643,226.991,600.264,16.5256,293.616,576.857,53.3329,259.113,582.859,144.883,240.935,598.165,193.911,231.202,610.908,237.556,254.571,641.217,228.206,262.683,632.38,184.764,273.945,620.657,136.473,174.261,742.872,333.166,137.605,641.705,318.53,157.789,669.466,351.728,0.455227,623.944,280.948,1.46662,633.442,310.173,45.1317,632.004,308.438,45.4018,620.075,279.889,,,,,,
176.406,341.512,53.9066,227.162,331.168,19.8565,267.501,514.773,84.2698,242.187,458.731,71.2215,269.614,447.606,28.2356,286.253,515.791,39.2201,227.125,600.089,16.7,293.684,576.644,53.5517,259.155,582.742,145.089,240.953,598.072,194.107,231.196,610.85,237.735,254.58,641.157,228.372,262.713,632.289,184.941,274.008,620.532,136.654,174.239,742.874,333.219,137.553,641.709,318.609,157.725,669.488,351.809,0.447834,623.916,280.954,1.45851,633.407,310.183,45.1237,631.972,308.454,45.3961,620.039,279.895,,,,,,
176.208,341.439,54.5301,226.768,330.962,20.1609,267.529,514.609,84.5643,242.157,458.566,71.6033,269.446,447.367,28.5365,286.214,515.545,39.4826,227.254,599.896,16.8791,293.746,576.407,53.7787,259.189,582.609,145.299,240.964,597.967,194.305,231.185,610.782,237.916,254.586,641.086,228.539,262.74,632.183,185.12,274.067,620.389,136.84,174.217,742.874,333.272,137.499,641.712,318.688,157.662,669.509,351.889,0.439701,623.889,280.96,1.44973,633.372,310.192,45.1151,631.941,308.47,45.3895,620.003,279.901,,,,,,
