 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
118.068,352.373,32.1071,188.187,347.588,20.2543,113.93,506.914,71.0361,119.513,444.585,51.5832,161.948,453.128,76.9499,157.264,517.417,102.826,127.916,617.742,28.8928,179.736,598.306,99.7003,120.29,634.118,156.215,108.42,660.903,178.166,97.725,685.879,201.941,129.342,714.94,183.624,139.741,684.367,167.81,147.944,653.603,148.453,60.4011,847.79,287.286,15.3622,758.354,288.534,47.6325,792.014,304.251,-134.968,696.099,220.448,-139.085,707.633,249.65,-94.3486,709.254,256.846,-91.4655,697.699,227.387
117.952,352.382,32.0474,187.952,347.627,20.2514,113.628,506.859,70.8534,119.248,444.573,51.3616,161.635,453.077,76.838,156.936,517.32,102.756,127.707,617.652,28.9598,179.465,598.131,99.7815,120.044,633.976,156.307,108.248,660.792,178.245,97.6828,685.815,202.001,129.274,714.821,183.669,139.607,684.205,167.898,147.755,653.423,148.542,60.3742,847.769,287.302,15.3882,758.24,288.613,47.5933,791.979,304.225,-135.006,696.121,220.431,-139.13,707.634,249.644,-94.3987,709.255,256.846,-91.5137,697.732,227.369
117.838,352.387,31.9813,187.739,347.657,20.2489,113.349,506.804,70.6884,119.001,444.558,51.1553,161.341,453.023,76.7388,156.632,517.224,102.7,127.511,617.561,29.0286,179.216,597.963,99.8635,119.823,633.842,156.4,108.096,660.689,178.324,97.6515,685.756,202.06,129.214,714.712,183.709,139.484,684.055,167.98,147.582,653.256,148.626,60.3477,847.748,287.319,15.4148,758.128,288.689,47.5553,791.943,304.199,-135.044,696.142,220.414,-139.173,707.633,249.637,-94.4471,709.255,256.845,-91.5604,697.763,227.35
117.727,352.39,31.909,187.549,347.679,20.2467,113.093,506.749,70.5409,118.772,444.54,50.9646,161.068,452.967,76.6522,156.351,517.127,102.658,127.33,617.47,29.0992,178.991,597.803,99.9462,119.626,633.716,156.494,107.963,660.592,178.404,97.6311,685.704,202.118,129.161,714.614,183.745,139.371,683.916,168.057,147.423,653.102,148.707,60.3215,847.726,287.335,15.4421,758.017,288.763,47.5186,791.907,304.173,-135.08,696.162,220.396,-139.215,707.632,249.629,-94.494,709.254,256.843,-91.6054,697.793,227.33
117.618,352.389,31.8304,187.382,347.691,20.2449,112.861,506.694,70.4111,118.561,444.52,50.7892,160.815,452.908,76.5783,156.093,517.029,102.629,127.162,617.38,29.1716,178.788,597.65,100.03,119.453,633.598,156.589,107.849,660.504,178.485,97.6215,685.657,202.175,129.115,714.525,183.777,139.27,683.79,168.128,147.281,652.959,148.784,60.2958,847.704,287.352,15.4699,757.907,288.835,47.4832,791.871,304.146,-135.114,696.181,220.377,-139.255,707.629,249.621,-94.5393,709.252,256.84,-91.6488,697.822,227.31
117.512,352.385,31.7456,187.238,347.695,20.2434,112.651,506.64,70.2989,118.367,444.497,50.6294,160.582,452.846,76.5171,155.859,516.931,102.613,127.008,617.289,29.2457,178.609,597.504,100.114,119.305,633.488,156.685,107.754,660.422,178.566,97.6228,685.617,202.232,129.077,714.447,183.805,139.179,683.676,168.193,147.153,652.83,148.857,60.2704,847.682,287.368,15.4984,757.798,288.904,47.4492,791.834,304.12,-135.148,696.199,220.358,-139.294,707.626,249.611,-94.583,709.25,256.835,-91.6907,697.849,227.289
117.408,352.378,31.6549,187.116,347.69,20.2423,112.465,506.586,70.2044,118.192,444.472,50.485,160.369,452.781,76.4686,155.648,516.833,102.611,126.869,617.199,29.3216,178.452,597.366,100.199,119.181,633.386,156.782,107.678,660.348,178.647,97.6349,685.583,202.287,129.046,714.379,183.829,139.099,683.573,168.253,147.042,652.712,148.926,60.2455,847.66,287.385,15.5275,757.689,288.971,47.4163,791.798,304.094,-135.18,696.215,220.337,-139.331,707.622,249.601,-94.6251,709.246,256.83,-91.7309,697.876,227.267
117.308,352.368,31.5585,187.016,347.677,20.2415,112.302,506.532,70.1275,118.034,444.444,50.3563,160.177,452.713,76.4327,155.461,516.735,102.622,126.743,617.108,29.3992,178.318,597.235,100.284,119.081,633.292,156.881,107.622,660.282,178.729,97.6579,685.554,202.343,129.023,714.321,183.849,139.031,683.483,168.306,146.945,652.608,148.991,60.2209,847.637,287.402,15.5573,757.582,289.035,47.3848,791.76,304.067,-135.21,696.231,220.316,-139.367,707.616,249.59,-94.6657,709.241,256.823,-91.7696,697.901,227.244
117.21,352.356,31.457,186.939,347.655,20.2412,112.162,506.478,70.0683,117.895,444.414,50.2434,160.006,452.643,76.4096,155.298,516.637,102.647,126.631,617.018,29.4785,178.208,597.112,100.37,119.006,633.206,156.98,107.584,660.223,178.812,97.6917,685.532,202.397,129.006,714.274,183.864,138.972,683.404,168.354,146.864,652.515,149.051,60.1968,847.614,287.418,15.5877,757.476,289.097,47.3546,791.723,304.041,-135.239,696.246,220.295,-139.401,707.61,249.579,-94.7047,709.235,256.815,-91.8067,697.925,227.22
