 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-169.296,242.972,59.9945,-232.895,204.543,45.2173,-281.658,307.339,66.3352,-259.507,246.098,37.1692,-194.983,278.407,64.9081,-220.212,347.177,63.519,,,,-344.789,442.103,58.5044,-289.018,485.343,124.307,-262.44,508.786,164.734,-240.394,533.003,205.098,-198.624,498.604,206.526,-227.246,480.643,167.713,-258.136,461.914,133.755,-145.834,639.174,273.798,-87.4168,552.596,243.779,-115.503,586.031,280.749,9.10234,485.996,177.981,12.267,504.243,200.785,54.2587,506.298,196.817,53.5896,485.796,178.242
-169.294,242.973,59.9862,-232.889,204.544,45.2073,-281.649,307.333,66.3354,-259.501,246.096,37.1654,-194.978,278.407,64.9003,-220.207,347.171,63.5034,,,,-344.791,442.095,58.5192,-289.023,485.33,124.328,-262.444,508.769,164.757,-240.393,532.981,205.119,-198.619,498.584,206.528,-227.247,480.62,167.732,-258.142,461.9,133.778,-145.851,639.148,273.757,-87.4337,552.564,243.757,-115.52,586.006,280.708,9.09929,485.942,177.978,12.2619,504.197,200.789,54.252,506.249,196.817,53.5869,485.746,178.244
-169.291,242.973,59.9782,-232.883,204.543,45.1978,-281.641,307.327,66.3358,-259.496,246.095,37.1617,-194.973,278.407,64.8929,-220.204,347.166,63.4887,,,,-344.792,442.086,58.5334,-289.028,485.317,124.348,-262.448,508.751,164.779,-240.392,532.96,205.139,-198.613,498.565,206.529,-227.248,480.598,167.749,-258.148,461.886,133.799,-145.868,639.121,273.719,-87.4502,552.532,243.736,-115.537,585.98,280.668,9.09671,485.889,177.975,12.2573,504.153,200.793,54.246,506.2,196.819,53.5847,485.696,178.246
-169.289,242.973,59.9706,-232.877,204.543,45.1888,-281.633,307.321,66.3362,-259.49,246.093,37.1583,-194.968,278.406,64.8861,-220.2,347.16,63.4749,,,,-344.794,442.078,58.5471,-289.033,485.304,124.367,-262.451,508.733,164.799,-240.391,532.938,205.157,-198.607,498.546,206.529,-227.248,480.576,167.765,-258.153,461.871,133.818,-145.884,639.096,273.681,-87.4663,552.5,243.716,-115.553,585.955,280.629,9.0946,485.837,177.973,12.2533,504.109,200.799,54.2406,506.152,196.821,53.583,485.647,178.249
-169.286,242.972,59.9634,-232.871,204.542,45.1803,-281.627,307.315,66.3368,-259.485,246.091,37.1552,-194.964,278.406,64.8798,-220.197,347.155,63.4622,,,,-344.797,442.07,58.5603,-289.038,485.291,124.386,-262.454,508.715,164.819,-240.389,532.917,205.174,-198.602,498.526,206.527,-227.249,480.554,167.78,-258.158,461.857,133.836,-145.9,639.071,273.645,-87.4819,552.469,243.697,-115.568,585.93,280.592,9.09295,485.786,177.973,12.2498,504.066,200.805,54.2357,506.106,196.825,53.5818,485.599,178.254
-169.283,242.972,59.9565,-232.866,204.541,45.1723,-281.62,307.309,66.3374,-259.48,246.088,37.1522,-194.96,278.405,64.8741,-220.195,347.149,63.4503,,,,-344.799,442.061,58.5729,-289.043,485.277,124.403,-262.457,508.697,164.837,-240.387,532.896,205.19,-198.596,498.507,206.525,-227.249,480.532,167.793,-258.162,461.843,133.852,-145.915,639.046,273.611,-87.497,552.439,243.68,-115.583,585.905,280.557,9.09177,485.736,177.974,12.247,504.024,200.813,54.2315,506.061,196.829,53.5812,485.553,178.259
-169.281,242.971,59.9501,-232.861,204.54,45.1647,-281.615,307.302,66.3382,-259.476,246.085,37.1495,-194.956,278.403,64.8688,-220.193,347.143,63.4394,,,,-344.802,442.053,58.585,-289.047,485.263,124.419,-262.459,508.679,164.854,-240.385,532.875,205.204,-198.59,498.487,206.521,-227.249,480.511,167.804,-258.166,461.828,133.867,-145.93,639.022,273.578,-87.5117,552.41,243.663,-115.597,585.881,280.523,9.09107,485.687,177.976,12.2447,503.983,200.821,54.2278,506.016,196.834,53.581,485.507,178.266
-169.278,242.971,59.944,-232.856,204.538,45.1576,-281.61,307.296,66.3391,-259.472,246.082,37.1471,-194.953,278.402,64.8641,-220.191,347.137,63.4295,,,,-344.805,442.045,58.5966,-289.052,485.25,124.435,-262.461,508.661,164.87,-240.383,532.853,205.216,-198.584,498.468,206.516,-227.249,480.491,167.814,-258.17,461.814,133.88,-145.943,638.998,273.547,-87.5259,552.381,243.647,-115.611,585.857,280.491,9.09082,485.64,177.979,12.243,503.943,200.831,54.2248,505.973,196.84,53.5814,485.462,178.273
-169.276,242.97,59.9383,-232.851,204.536,45.151,-281.606,307.289,66.3401,-259.468,246.079,37.1449,-194.95,278.4,64.8599,-220.191,347.131,63.4206,,,,-344.809,442.036,58.6076,-289.056,485.235,124.449,-262.463,508.643,164.884,-240.381,532.832,205.227,-198.578,498.448,206.509,-227.249,480.47,167.822,-258.173,461.799,133.891,-145.956,638.976,273.517,-87.5397,552.353,243.632,-115.624,585.833,280.46,9.09105,485.593,177.984,12.2418,503.904,200.841,54.2223,505.93,196.847,53.5824,485.419,178.281
-169.274,242.969,59.9329,-232.846,204.534,45.1449,-281.602,307.282,66.3412,-259.464,246.076,37.1429,-194.947,278.398,64.8563,-220.19,347.125,63.4126,,,,-344.812,442.027,58.618,-289.061,485.221,124.463,-262.464,508.625,164.897,-240.378,532.811,205.237,-198.572,498.428,206.502,-227.249,480.45,167.829,-258.176,461.785,133.901,-145.969,638.953,273.488,-87.553,552.325,243.618,-115.636,585.809,280.43,9.09175,485.547,177.99,12.2413,503.866,200.852,54.2205,505.889,196.855,53.5838,485.376,178.291
-169.271,242.967,59.928,-232.842,204.532,45.1393,-281.6,307.275,66.3423,-259.461,246.072,37.1411,-194.944,278.396,64.8532,-220.19,347.118,63.4055,,,,-344.816,442.019,58.6278,-289.065,485.207,124.475,-262.466,508.607,164.909,-240.375,532.79,205.245,-198.566,498.409,206.493,-227.248,480.43,167.834,-258.179,461.77,133.909,-145.981,638.931,273.462,-87.5659,552.298,243.605,-115.648,585.786,280.402,9.09291,485.502,177.997,12.2413,503.828,200.864,54.2192,505.849,196.864,53.5858,485.335,178.301
-169.269,242.966,59.9235,-232.838,204.529,45.1341,-281.598,307.268,66.3436,-259.459,246.068,37.1395,-194.942,278.393,64.8506,-220.191,347.112,63.3995,,,,-344.82,442.01,58.6371,-289.069,485.192,124.486,-262.467,508.589,164.919,-240.372,532.77,205.251,-198.56,498.389,206.483,-227.247,480.411,167.838,-258.181,461.756,133.915,-145.992,638.91,273.436,-87.5783,552.271,243.593,-115.659,585.763,280.376,9.09454,485.459,178.005,12.2419,503.792,200.878,54.2186,505.81,196.874,53.5882,485.294,178.312
-169.267,242.964,59.9194,-232.834,204.526,45.1294,-281.596,307.26,66.3449,-259.456,246.064,37.1382,-194.94,278.39,64.8485,-220.192,347.105,63.3944,,,,-344.825,442.001,58.6457,-289.073,485.178,124.497,-262.468,508.571,164.929,-240.368,532.749,205.256,-198.554,498.369,206.472,-227.247,480.392,167.84,-258.183,461.741,133.92,-146.003,638.889,273.412,-87.5902,552.245,243.583,-115.67,585.741,280.351,9.09665,485.416,178.014,12.2431,503.756,200.892,54.2185,505.772,196.885,53.5912,485.255,178.325
-169.264,242.962,59.9157,-232.831,204.522,45.1252,-281.595,307.253,66.3463,-259.454,246.059,37.1371,-194.938,278.387,64.847,-220.194,347.099,63.3903,,,,-344.83,441.992,58.6537,-289.076,485.163,124.506,-262.468,508.553,164.937,-240.364,532.728,205.26,-198.548,498.349,206.46,-227.246,480.373,167.841,-258.185,461.726,133.924,-146.013,638.869,273.39,-87.6017,552.22,243.573,-115.68,585.719,280.328,9.09923,485.374,178.025,12.2449,503.722,200.907,54.219,505.734,196.897,53.5947,485.217,178.338
-169.262,242.96,59.9125,-232.827,204.518,45.1214,-281.595,307.246,66.3477,-259.453,246.054,37.1361,-194.937,278.384,64.846,-220.196,347.092,63.3872,,,,-344.835,441.983,58.661,-289.08,485.148,124.514,-262.468,508.535,164.943,-240.361,532.708,205.263,-198.543,498.329,206.446,-227.245,480.355,167.841,-258.187,461.712,133.925,-146.022,638.849,273.369,-87.6127,552.196,243.564,-115.689,585.697,280.306,9.10228,485.334,178.037,12.2472,503.688,200.923,54.2202,505.699,196.91,53.5988,485.179,178.352
-169.26,242.957,59.9098,-232.824,204.514,45.1181,-281.596,307.238,66.3492,-259.451,246.049,37.1353,-194.936,278.38,64.8455,-220.199,347.085,63.385,,,,-344.84,441.975,58.6677,-289.083,485.133,124.521,-262.468,508.517,164.949,-240.357,532.688,205.264,-198.537,498.309,206.432,-227.244,480.337,167.838,-258.188,461.697,133.925,-146.031,638.83,273.35,-87.6232,552.172,243.557,-115.698,585.675,280.286,9.1058,485.294,178.05,12.2501,503.655,200.94,54.222,505.663,196.923,53.6034,485.143,178.367
