 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,, Cylinder_1,,, Cylinder_2,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-249.11,238.992,39.5113,-322.297,238.662,25.3256,-332.197,452.05,63.6253,-306.141,362.382,57.782,-269.026,362.754,45.4889,-296.068,459.786,60.8258,,,,-364.954,521.809,35.2825,-315.533,569.608,103.252,-296.122,591.324,130.504,-277.614,607.284,157.086,-260.741,570.448,167.992,-274.989,554.516,137.94,-297.215,532.349,107.531,-140.294,718.87,303.455,-129.389,603.963,272.056,-143.38,644.848,318.782,3.17764,535.543,222.005,4.00607,546.546,247.198,47.7146,539.656,249.574,45.8743,526.283,224.456,,,,,,
-249.033,238.989,39.5509,-322.218,238.674,25.3855,-332.048,452.034,63.5852,-305.985,362.379,57.7759,-268.888,362.742,45.4155,-295.838,459.777,60.6675,,,,-364.779,521.761,35.1381,-315.414,569.559,103.124,-296.018,591.295,130.387,-277.536,607.282,156.984,-260.659,570.458,167.915,-274.929,554.497,137.918,-297.172,532.29,107.528,-140.241,718.943,303.447,-129.415,603.929,272.198,-143.326,644.932,318.807,3.21075,535.581,222.066,4.04164,546.587,247.257,47.7521,539.685,249.635,45.9044,526.312,224.52,,,,,,
-248.968,238.986,39.5843,-322.15,238.686,25.4358,-331.931,452.011,63.5557,-305.855,362.369,57.7712,-268.772,362.727,45.35,-295.642,459.759,60.5399,,,,-364.625,521.716,35.0137,-315.311,569.52,103.012,-295.925,591.274,130.283,-277.466,607.285,156.893,-260.588,570.474,167.852,-274.884,554.484,137.911,-297.152,532.24,107.546,-140.188,719.013,303.44,-129.442,603.894,272.339,-143.274,645.013,318.832,3.24208,535.619,222.125,4.07542,546.627,247.315,47.7878,539.713,249.694,45.9328,526.339,224.582,,,,,,
-248.914,238.983,39.6116,-322.094,238.696,25.4765,-331.844,451.982,63.537,-305.75,362.352,57.768,-268.68,362.71,45.2924,-295.481,459.73,60.4429,,,,-364.492,521.674,34.9094,-315.225,569.49,102.915,-295.844,591.26,130.193,-277.405,607.294,156.813,-260.531,570.494,167.803,-274.856,554.477,137.92,-297.155,532.199,107.582,-140.138,719.081,303.434,-129.47,603.859,272.477,-143.223,645.092,318.857,3.27162,535.655,222.183,4.10743,546.665,247.372,47.8216,539.74,249.752,45.9593,526.366,224.643,,,,,,
-248.872,238.979,39.6327,-322.048,238.704,25.5076,-331.789,451.946,63.5289,-305.669,362.329,57.7662,-268.609,362.691,45.2427,-295.355,459.691,60.3766,,,,-364.38,521.635,34.8252,-315.154,569.469,102.834,-295.774,591.253,130.116,-277.352,607.307,156.744,-260.485,570.519,167.767,-274.844,554.475,137.945,-297.182,532.166,107.639,-140.089,719.147,303.428,-129.498,603.823,272.615,-143.174,645.169,318.882,3.29938,535.691,222.24,4.13767,546.702,247.427,47.8535,539.766,249.809,45.984,526.391,224.702,,,,,,
-248.84,238.975,39.6477,-322.015,238.711,25.529,-331.764,451.904,63.5315,-305.615,362.299,57.7658,-268.561,362.671,45.201,-295.263,459.643,60.3409,,,,-364.289,521.599,34.761,-315.1,569.457,102.769,-295.717,591.254,130.054,-277.308,607.326,156.687,-260.452,570.549,167.746,-274.849,554.48,137.986,-297.232,532.143,107.715,-140.042,719.21,303.424,-129.527,603.786,272.751,-143.126,645.243,318.907,3.32537,535.725,222.296,4.16613,546.738,247.481,47.8835,539.79,249.865,46.0069,526.416,224.76,,,,,,
-248.819,238.97,39.6566,-321.992,238.717,25.5409,-331.771,451.855,63.5447,-305.585,362.263,57.7669,-268.536,362.648,45.1672,-295.205,459.585,60.3358,,,,-364.218,521.566,34.7169,-315.062,569.454,102.72,-295.67,591.261,130.005,-277.273,607.35,156.641,-260.432,570.584,167.739,-274.869,554.49,138.042,-297.305,532.128,107.81,-139.996,719.271,303.42,-129.557,603.748,272.885,-143.079,645.314,318.933,3.34957,535.759,222.35,4.19281,546.773,247.535,47.9117,539.813,249.919,46.0279,526.439,224.817,,,,,,
-248.81,238.964,39.6594,-321.981,238.721,25.5431,-331.809,451.801,63.5687,-305.58,362.22,57.7694,-268.534,362.623,45.1414,-295.182,459.517,60.3613,,,,-364.169,521.536,34.6928,-315.039,569.459,102.687,-295.636,591.276,129.969,-277.246,607.38,156.607,-260.424,570.624,167.746,-274.906,554.505,138.114,-297.402,532.122,107.925,-139.952,719.33,303.417,-129.588,603.71,273.018,-143.033,645.383,318.958,3.37199,535.791,222.403,4.21771,546.806,247.586,47.9379,539.834,249.973,46.0472,526.46,224.873,,,,,,
-248.811,238.958,39.656,-321.981,238.724,25.5356,-331.878,451.74,63.6033,-305.601,362.17,57.7734,-268.554,362.596,45.1236,-295.194,459.439,60.4175,,,,-364.14,521.509,34.6888,-315.033,569.474,102.669,-295.613,591.298,129.948,-277.227,607.414,156.583,-260.428,570.668,167.767,-274.959,554.526,138.202,-297.522,532.125,108.059,-139.909,719.387,303.415,-129.62,603.671,273.149,-142.989,645.45,318.984,3.39262,535.822,222.454,4.24083,546.838,247.637,47.9623,539.855,250.024,46.0646,526.481,224.927,,,,,,
-248.824,238.952,39.6467,-321.993,238.725,25.5185,-331.978,451.673,63.6485,-305.647,362.114,57.7789,-268.596,362.567,45.1139,-295.241,459.351,60.5041,,,,-364.132,521.486,34.7049,-315.043,569.498,102.667,-295.602,591.327,129.94,-277.217,607.454,156.571,-260.444,570.717,167.802,-275.029,554.553,138.305,-297.665,532.137,108.213,-139.869,719.441,303.413,-129.652,603.631,273.279,-142.947,645.514,319.009,3.41148,535.852,222.504,4.26218,546.869,247.686,47.9849,539.874,250.075,46.0801,526.5,224.98,,,,,,
-248.848,238.946,39.6313,-322.016,238.725,25.4916,-332.108,451.6,63.7044,-305.718,362.052,57.786,-268.661,362.536,45.1124,-295.322,459.255,60.6211,,,,-364.145,521.465,34.741,-315.069,569.531,102.681,-295.602,591.364,129.945,-277.216,607.498,156.57,-260.473,570.771,167.851,-275.114,554.585,138.424,-297.831,532.158,108.385,-139.83,719.492,303.413,-129.685,603.591,273.407,-142.906,645.575,319.035,3.42854,535.882,222.553,4.28174,546.899,247.735,48.0055,539.892,250.125,46.0939,526.519,225.031,,,,,,
-248.884,238.939,39.6101,-322.05,238.723,25.4549,-332.27,451.522,63.7709,-305.814,361.983,57.7947,-268.749,362.504,45.1193,-295.438,459.149,60.7683,,,,-364.179,521.448,34.797,-315.111,569.573,102.711,-295.615,591.407,129.965,-277.224,607.548,156.581,-260.515,570.829,167.914,-275.215,554.623,138.558,-298.02,532.188,108.576,-139.792,719.542,303.413,-129.719,603.55,273.534,-142.866,645.634,319.061,3.44383,535.91,222.6,4.29952,546.927,247.782,48.0243,539.908,250.173,46.1058,526.536,225.082,,,,,,
-248.93,238.933,39.5831,-322.096,238.72,25.4084,-332.462,451.437,63.848,-305.935,361.909,57.805,-268.859,362.47,45.1345,-295.588,459.035,60.9455,,,,-364.234,521.433,34.8731,-315.17,569.624,102.757,-295.639,591.457,129.998,-277.24,607.603,156.603,-260.568,570.892,167.991,-275.332,554.667,138.707,-298.231,532.227,108.786,-139.756,719.589,303.414,-129.753,603.508,273.659,-142.827,645.691,319.087,3.45733,535.937,222.646,4.31552,546.954,247.827,48.0412,539.923,250.22,46.1159,526.552,225.13,,,,,,
-248.988,238.927,39.5506,-322.152,238.716,25.3521,-332.684,451.348,63.9357,-306.081,361.829,57.8172,-268.992,362.435,45.1583,-295.773,458.913,61.1523,,,,-364.31,521.423,34.9689,-315.244,569.683,102.818,-295.675,591.515,130.045,-277.265,607.662,156.636,-260.634,570.959,168.081,-275.465,554.716,138.871,-298.464,532.274,109.013,-139.722,719.634,303.415,-129.789,603.465,273.783,-142.79,645.745,319.114,3.46903,535.963,222.691,4.32972,546.98,247.872,48.0562,539.937,250.265,46.1242,526.566,225.178,,,,,,
-249.056,238.921,39.5128,-322.219,238.71,25.286,-332.936,451.253,64.0338,-306.252,361.744,57.8312,-269.147,362.4,45.1909,-295.992,458.783,61.3883,,,,-364.407,521.415,35.0845,-315.334,569.752,102.895,-295.722,591.579,130.106,-277.298,607.726,156.68,-260.712,571.03,168.185,-275.613,554.77,139.049,-298.719,532.33,109.258,-139.69,719.676,303.418,-129.825,603.422,273.905,-142.755,645.796,319.14,3.47895,535.988,222.734,4.34214,547.005,247.915,48.0693,539.95,250.31,46.1306,526.58,225.224,,,,,,
-249.136,238.917,39.4701,-322.297,238.702,25.2102,-333.218,451.154,64.1423,-306.447,361.654,57.8472,-269.324,362.363,45.2325,-296.245,458.646,61.653,,,,-364.525,521.412,35.2196,-315.441,569.829,102.988,-295.782,591.65,130.18,-277.34,607.795,156.736,-260.803,571.106,168.303,-275.777,554.83,139.242,-298.995,532.395,109.52,-139.659,719.716,303.421,-129.862,603.378,274.025,-142.721,645.845,319.166,3.48708,536.012,222.776,4.35277,547.028,247.957,48.0805,539.961,250.353,46.1352,526.592,225.269,,,,,,
-249.226,238.914,39.4229,-322.385,238.693,25.1246,-333.529,451.051,64.2611,-306.667,361.56,57.8654,-269.522,362.327,45.2831,-296.531,458.503,61.9456,,,,-364.664,521.412,35.374,-315.563,569.914,103.096,-295.854,591.728,130.268,-277.391,607.868,156.802,-260.905,571.185,168.433,-275.956,554.895,139.448,-299.291,532.468,109.798,-139.63,719.753,303.425,-129.899,603.334,274.144,-142.688,645.891,319.192,3.49341,536.035,222.817,4.36159,547.05,247.998,48.0899,539.971,250.395,46.1379,526.603,225.312,,,,,,
-249.326,238.913,39.3717,-322.483,238.683,25.0295,-333.867,450.944,64.3901,-306.91,361.461,57.886,-269.742,362.292,45.3432,-296.851,458.354,62.2653,,,,-364.823,521.415,35.5473,-315.701,570.008,103.219,-295.937,591.811,130.369,-277.451,607.946,156.88,-261.02,571.268,168.576,-276.149,554.964,139.667,-299.607,532.55,110.091,-139.603,719.789,303.43,-129.938,603.288,274.26,-142.657,645.934,319.219,3.49794,536.057,222.856,4.36861,547.07,248.038,48.0973,539.98,250.435,46.1389,526.613,225.355,,,,,,
-249.436,238.915,39.3173,-322.589,238.672,24.925,-334.234,450.834,64.5291,-307.176,361.36,57.9092,-269.983,362.257,45.4129,-297.203,458.202,62.611,,,,-365.004,521.423,35.7393,-315.855,570.11,103.358,-296.032,591.901,130.484,-277.519,608.028,156.969,-261.146,571.354,168.732,-276.356,555.039,139.899,-299.942,532.64,110.398,-139.578,719.821,303.436,-129.977,603.242,274.375,-142.627,645.975,319.245,3.50067,536.077,222.894,4.37383,547.09,248.076,48.1028,539.987,250.475,46.1379,526.621,225.395,,,,,,
-249.556,238.92,39.2603,-322.704,238.659,24.8113,-334.626,450.723,64.6779,-307.464,361.257,57.9352,-270.244,362.225,45.4925,-297.586,458.047,62.9816,,,,-365.205,521.435,35.9493,-316.024,570.219,103.512,-296.139,591.997,130.611,-277.596,608.113,157.068,-261.283,571.443,168.9,-276.577,555.118,140.143,-300.294,532.738,110.719,-139.554,719.852,303.442,-130.016,603.196,274.488,-142.6,646.013,319.272,3.50159,536.097,222.93,4.37723,547.108,248.113,48.1064,539.994,250.513,46.1352,526.628,225.435,,,,,,
-249.683,238.929,39.2018,-322.825,238.645,24.6887,-335.044,450.61,64.8363,-307.773,361.152,57.9643,-270.523,362.195,45.5823,-298,457.89,63.3756,,,,-365.426,521.451,36.1768,-316.209,570.336,103.68,-296.258,592.099,130.752,-277.681,608.202,157.179,-261.432,571.534,169.079,-276.811,555.202,140.398,-300.663,532.844,111.052,-139.533,719.879,303.449,-130.057,603.149,274.599,-142.573,646.048,319.298,3.50071,536.116,222.965,4.37881,547.125,248.149,48.1082,539.998,250.549,46.1306,526.635,225.472,,,,,,
-249.818,238.944,39.1429,-322.953,238.631,24.5577,-335.486,450.496,65.004,-308.103,361.046,57.9969,-270.822,362.168,45.6824,-298.442,457.733,63.7915,,,,-365.668,521.472,36.4211,-316.408,570.461,103.862,-296.388,592.205,130.905,-277.775,608.294,157.299,-261.592,571.628,169.27,-277.057,555.29,140.663,-301.048,532.958,111.396,-139.513,719.904,303.457,-130.098,603.101,274.708,-142.549,646.081,319.324,3.49802,536.133,222.999,4.37857,547.141,248.183,48.108,540.002,250.585,46.1242,526.64,225.509,,,,,,
-249.96,238.965,39.0846,-323.084,238.616,24.4188,-335.95,450.383,65.1808,-308.451,360.942,58.0332,-271.137,362.146,45.7932,-298.912,457.578,64.2276,,,,-365.928,521.498,36.6815,-316.621,570.592,104.058,-296.529,592.316,131.071,-277.878,608.389,157.43,-261.762,571.723,169.471,-277.316,555.381,140.937,-301.446,533.078,111.749,-139.496,719.927,303.465,-130.14,603.052,274.814,-142.526,646.11,319.35,3.49351,536.15,223.031,4.3765,547.155,248.216,48.1058,540.004,250.619,46.1159,526.643,225.544,,,,,,
