 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
236.453,165.889,36.3762,298.588,166.578,15.5432,262.762,320.144,60.1744,244.939,238.066,37.9701,307.982,234.718,29.536,318.974,322.489,50.4872,275.062,420.774,-14.2596,322.749,406.867,49.7887,233.188,453.908,143.413,206.22,472.669,174.695,185.914,493.198,207.952,220.08,512.545,205.663,239.875,492.911,171.904,256.291,471.804,143.259,161.856,597.427,237.983,168.328,519.555,233.733,149.686,552.801,251.138,-34.223,472.188,155.747,-36.5177,481.952,181.268,8.37481,478.224,181.891,5.46216,469.954,155.313
236.453,165.889,36.3772,298.587,166.579,15.541,262.757,320.142,60.1799,244.94,238.066,37.9703,307.982,234.718,29.5322,318.977,322.488,50.4839,275.063,420.775,-14.2605,322.753,406.866,49.787,233.203,453.908,143.418,206.236,472.671,174.697,185.923,493.196,207.945,220.092,512.543,205.662,239.89,492.912,171.9,256.304,471.805,143.258,161.856,597.416,237.985,168.329,519.542,233.729,149.69,552.786,251.142,-34.2192,472.185,155.737,-36.534,481.943,181.261,8.41165,478.195,181.917,5.46851,469.945,155.314
236.453,165.889,36.3782,298.585,166.579,15.5389,262.753,320.14,60.1851,244.941,238.066,37.9704,307.982,234.718,29.5286,318.981,322.487,50.4809,275.064,420.776,-14.2612,322.757,406.865,49.7856,233.217,453.907,143.423,206.251,472.673,174.699,185.932,493.194,207.939,220.104,512.541,205.661,239.905,492.912,171.896,256.316,471.806,143.258,161.856,597.404,237.987,168.33,519.529,233.725,149.693,552.773,251.145,-34.2158,472.182,155.727,-36.5502,481.934,181.255,8.44691,478.167,181.941,5.47441,469.935,155.315
236.452,165.889,36.3791,298.583,166.579,15.5368,262.749,320.138,60.1901,244.942,238.066,37.9705,307.982,234.717,29.5252,318.984,322.486,50.4782,275.065,420.776,-14.2617,322.761,406.863,49.7845,233.23,453.906,143.428,206.265,472.674,174.701,185.939,493.193,207.933,220.115,512.539,205.66,239.918,492.912,171.892,256.328,471.807,143.257,161.856,597.393,237.989,168.331,519.516,233.721,149.696,552.759,251.149,-34.2127,472.179,155.718,-36.5665,481.926,181.248,8.48058,478.14,181.965,5.47987,469.926,155.316
236.452,165.888,36.3798,298.582,166.579,15.5348,262.745,320.137,60.1948,244.943,238.066,37.9706,307.982,234.717,29.5221,318.987,322.484,50.4758,275.066,420.777,-14.262,322.765,406.862,49.7836,233.242,453.905,143.432,206.278,472.675,174.702,185.946,493.19,207.928,220.125,512.537,205.658,239.931,492.912,171.888,256.339,471.807,143.257,161.855,597.383,237.99,168.332,519.504,233.718,149.699,552.746,251.153,-34.21,472.176,155.709,-36.5827,481.918,181.242,8.51267,478.114,181.988,5.48489,469.917,155.317
236.452,165.888,36.3805,298.58,166.579,15.5329,262.742,320.135,60.1993,244.943,238.065,37.9706,307.982,234.716,29.5191,318.991,322.483,50.4737,275.067,420.778,-14.2621,322.768,406.86,49.7829,233.254,453.904,143.437,206.291,472.676,174.703,185.953,493.188,207.922,220.134,512.534,205.657,239.943,492.912,171.884,256.35,471.807,143.257,161.854,597.372,237.991,168.332,519.492,233.714,149.701,552.733,251.156,-34.2076,472.174,155.7,-36.5988,481.91,181.236,8.54317,478.089,182.01,5.48946,469.909,155.318
236.451,165.888,36.3811,298.578,166.578,15.531,262.738,320.133,60.2036,244.944,238.065,37.9707,307.982,234.715,29.5163,318.993,322.482,50.4718,275.067,420.778,-14.262,322.771,406.859,49.7825,233.265,453.903,143.441,206.303,472.677,174.704,185.959,493.185,207.916,220.143,512.531,205.656,239.954,492.911,171.88,256.36,471.807,143.256,161.853,597.361,237.992,168.332,519.48,233.711,149.703,552.721,251.159,-34.2056,472.173,155.691,-36.615,481.903,181.231,8.57209,478.065,182.03,5.49359,469.901,155.319
236.45,165.888,36.3816,298.577,166.578,15.5292,262.735,320.131,60.2077,244.944,238.065,37.9707,307.982,234.715,29.5138,318.996,322.48,50.4702,275.068,420.778,-14.2617,322.774,406.857,49.7824,233.275,453.902,143.444,206.314,472.677,174.704,185.965,493.182,207.911,220.151,512.528,205.654,239.964,492.91,171.876,256.369,471.807,143.256,161.851,597.351,237.993,168.332,519.468,233.708,149.705,552.708,251.162,-34.2039,472.171,155.682,-36.6311,481.897,181.225,8.59943,478.041,182.05,5.49727,469.893,155.32
236.45,165.887,36.3821,298.575,166.578,15.5275,262.733,320.129,60.2115,244.944,238.065,37.9707,307.981,234.714,29.5114,318.999,322.479,50.469,275.069,420.779,-14.2612,322.776,406.856,49.7825,233.284,453.901,143.448,206.324,472.677,174.704,185.97,493.178,207.906,220.158,512.524,205.652,239.974,492.909,171.872,256.377,471.806,143.256,161.85,597.341,237.994,168.331,519.457,233.705,149.706,552.696,251.165,-34.2026,472.17,155.674,-36.6472,481.891,181.22,8.6252,478.019,182.069,5.50051,469.886,155.321
236.449,165.887,36.3824,298.573,166.577,15.5259,262.73,320.127,60.215,244.944,238.064,37.9708,307.981,234.713,29.5093,319.001,322.477,50.468,275.069,420.779,-14.2606,322.778,406.854,49.7829,233.293,453.899,143.451,206.333,472.676,174.704,185.975,493.175,207.901,220.164,512.521,205.65,239.983,492.907,171.869,256.385,471.805,143.256,161.848,597.33,237.995,168.33,519.446,233.702,149.707,552.685,251.168,-34.2016,472.169,155.666,-36.6633,481.885,181.214,8.64939,477.998,182.087,5.50331,469.879,155.322
236.448,165.887,36.3827,298.572,166.576,15.5243,262.728,320.125,60.2184,244.944,238.064,37.9708,307.98,234.712,29.5073,319.003,322.475,50.4673,275.07,420.779,-14.2597,322.78,406.852,49.7835,233.301,453.897,143.453,206.341,472.676,174.703,185.979,493.171,207.896,220.17,512.517,205.649,239.991,492.906,171.865,256.393,471.804,143.256,161.845,597.32,237.995,168.329,519.435,233.699,149.708,552.673,251.171,-34.2009,472.169,155.658,-36.6793,481.88,181.209,8.67202,477.978,182.105,5.50566,469.873,155.323
