 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-327.44,174.294,39.5116,-395.314,162.089,34.7758,-418.586,351.158,59.4902,-403.776,270.614,51.1345,-342.808,277.389,48.8267,-347.66,364.497,64.3026,,,,-418.955,434.656,42.2018,-378.046,479.923,128.72,-363.457,498.676,162.773,-346.693,510.502,197.1,-332.867,478.026,214.054,-349.162,463.676,177.59,-367.737,449.355,144.834,-244.891,612.343,349.171,-202.498,513.261,336.919,-239.227,541.131,353.619,-96.8474,471.507,256.304,-94.2702,471.089,284.283,-49.12,471.786,281.996,-50.4625,470.295,253.288
-327.541,174.141,39.7739,-395.423,161.99,34.6008,-418.793,350.983,59.7768,-403.961,270.419,51.1806,-343.038,277.292,49.0627,-347.899,364.277,64.7392,,,,-418.981,434.565,42.7577,-377.969,479.732,129.301,-363.404,498.516,163.346,-346.662,510.342,197.707,-332.789,477.852,214.647,-349.123,463.503,178.214,-367.744,449.164,145.491,-244.752,612.252,349.589,-202.312,513.175,337.316,-239.041,541.04,354.025,-96.7791,471.388,256.606,-94.1647,470.978,284.571,-49.0162,471.679,282.256,-50.374,470.165,253.55
-327.617,174.006,40.0536,-395.508,161.896,34.4441,-419.004,350.81,60.0782,-404.139,270.228,51.2471,-343.258,277.206,49.3201,-348.139,364.068,65.1878,,,,-419.026,434.471,43.3263,-377.905,479.538,129.891,-363.36,498.354,163.927,-346.634,510.182,198.316,-332.71,477.679,215.24,-349.084,463.328,178.838,-367.753,448.973,146.148,-244.61,612.161,350.003,-202.125,513.09,337.709,-238.853,540.95,354.426,-96.708,471.268,256.905,-94.0575,470.865,284.859,-48.9105,471.571,282.516,-50.2836,470.032,253.81
-327.67,173.89,40.3506,-395.568,161.808,34.3056,-419.218,350.637,60.3942,-404.31,270.043,51.3339,-343.468,277.131,49.5991,-348.381,363.871,65.6484,-346.413,445.648,-12.4082,-419.091,434.374,43.9075,-377.854,479.343,130.489,-363.327,498.189,164.517,-346.611,510.02,198.929,-332.631,477.507,215.833,-349.047,463.154,179.462,-367.765,448.781,146.807,-244.464,612.072,350.412,-201.936,513.006,338.098,-238.662,540.861,354.825,-96.6342,471.145,257.203,-93.9483,470.751,285.145,-48.8028,471.46,282.775,-50.1912,469.898,254.07
-327.699,173.791,40.6649,-395.603,161.725,34.1855,-419.435,350.465,60.7248,-404.474,269.862,51.4411,-343.668,277.067,49.8995,-348.623,363.684,66.1209,-346.535,445.687,-11.7752,-419.175,434.274,44.5014,-377.816,479.146,131.096,-363.302,498.02,165.115,-346.59,509.858,199.544,-332.552,477.335,216.425,-349.011,462.979,180.086,-367.779,448.589,147.466,-244.314,611.984,350.817,-201.746,512.923,338.485,-238.469,540.774,355.22,-96.5577,471.02,257.5,-93.8374,470.635,285.43,-48.6931,471.347,283.032,-50.0969,469.762,254.329
-327.703,173.71,40.9965,-395.615,161.647,34.0839,-419.656,350.293,61.0702,-404.632,269.685,51.5686,-343.859,277.015,50.2215,-348.867,363.508,66.6054,-346.685,445.728,-11.1421,-419.278,434.172,45.108,-377.792,478.946,131.71,-363.288,497.849,165.722,-346.574,509.694,200.163,-332.473,477.164,217.016,-348.975,462.804,180.711,-367.796,448.397,148.127,-244.161,611.896,351.218,-201.554,512.84,338.867,-238.274,540.688,355.611,-96.4784,470.894,257.794,-93.7245,470.517,285.714,-48.5816,471.232,283.289,-50.0007,469.624,254.587
-327.684,173.647,41.3453,-395.601,161.575,34.0009,-419.879,350.122,61.4302,-404.781,269.514,51.7167,-344.039,276.973,50.5648,-349.112,363.343,67.1017,-346.862,445.77,-10.509,-419.402,434.067,45.7271,-377.78,478.745,132.334,-363.283,497.675,166.338,-346.561,509.53,200.785,-332.394,476.994,217.607,-348.941,462.628,181.336,-367.815,448.204,148.788,-244.004,611.81,351.614,-201.361,512.759,339.247,-238.077,540.604,355.999,-96.3964,470.766,258.087,-93.6099,470.398,285.996,-48.4681,471.115,283.545,-49.9025,469.484,254.843
-327.641,173.603,41.711,-395.564,161.508,33.937,-420.106,349.952,61.8051,-404.924,269.347,51.8854,-344.209,276.943,50.9294,-349.358,363.19,67.6099,-347.066,445.813,-9.87582,-419.544,433.958,46.3588,-377.782,478.543,132.965,-363.287,497.499,166.962,-346.551,509.365,201.41,-332.314,476.825,218.198,-348.907,462.452,181.96,-367.837,448.011,149.45,-243.843,611.724,352.006,-201.166,512.678,339.623,-237.877,540.521,356.384,-96.3116,470.635,258.379,-93.4934,470.277,286.277,-48.3526,470.996,283.8,-49.8024,469.342,255.099
-327.574,173.576,42.0935,-395.501,161.446,33.8925,-420.336,349.782,62.1948,-405.059,269.185,52.0748,-344.368,276.925,51.3151,-349.605,363.047,68.1297,-347.298,445.857,-9.24256,-419.706,433.847,47.0031,-377.797,478.338,133.605,-363.3,497.319,167.594,-346.545,509.2,202.038,-332.234,476.656,218.788,-348.874,462.276,182.585,-367.862,447.818,150.113,-243.679,611.64,352.395,-200.97,512.599,339.996,-237.675,540.44,356.765,-96.2241,470.503,258.668,-93.3751,470.154,286.558,-48.2352,470.875,284.054,-49.7004,469.198,255.354
-327.482,173.567,42.4923,-395.414,161.39,33.8681,-420.568,349.613,62.5994,-405.187,269.028,52.2853,-344.518,276.918,51.7218,-349.852,362.916,68.6609,-347.556,445.903,-8.60917,-419.886,433.734,47.6597,-377.825,478.132,134.253,-363.323,497.137,168.235,-346.543,509.033,202.669,-332.155,476.489,219.378,-348.842,462.099,183.21,-367.888,447.625,150.776,-243.511,611.557,352.778,-200.772,512.52,340.365,-237.47,540.36,357.142,-96.1339,470.369,258.956,-93.2549,470.03,286.837,-48.1159,470.752,284.307,-49.5965,469.052,255.609
-327.367,173.577,42.9071,-395.302,161.339,33.8647,-420.802,349.445,63.0193,-405.306,268.876,52.5173,-344.657,276.922,52.149,-350.1,362.795,69.2035,-347.842,445.95,-7.97559,-420.085,433.617,48.3288,-377.865,477.925,134.909,-363.355,496.953,168.884,-346.543,508.866,203.303,-332.074,476.322,219.968,-348.811,461.922,183.836,-367.918,447.432,151.441,-243.339,611.475,353.158,-200.573,512.442,340.731,-237.264,540.282,357.517,-96.0409,470.233,259.242,-93.133,469.903,287.114,-47.9946,470.627,284.56,-49.4906,468.904,255.862
-327.227,173.604,43.3373,-395.164,161.293,33.8833,-421.038,349.278,63.4544,-405.417,268.729,52.771,-344.785,276.937,52.5964,-350.349,362.686,69.757,-348.154,445.998,-7.34171,-420.302,433.498,49.0101,-377.918,477.717,135.572,-363.395,496.766,169.541,-346.547,508.699,203.94,-331.994,476.157,220.557,-348.781,461.746,184.461,-367.949,447.238,152.106,-243.164,611.393,353.533,-200.373,512.365,341.093,-237.055,540.205,357.887,-95.9452,470.095,259.527,-93.0092,469.776,287.391,-47.8714,470.499,284.811,-49.3828,468.754,256.114
-327.062,173.648,43.7824,-395.002,161.253,33.9252,-421.276,349.113,63.9052,-405.52,268.587,53.047,-344.902,276.964,53.0636,-350.597,362.588,70.321,-348.493,446.048,-6.70741,-420.537,433.375,49.7035,-377.982,477.507,136.244,-363.444,496.578,170.205,-346.553,508.532,204.58,-331.914,475.992,221.146,-348.752,461.569,185.086,-367.983,447.046,152.772,-242.985,611.314,353.905,-200.171,512.289,341.453,-236.843,540.13,358.255,-95.8467,469.955,259.81,-92.8836,469.646,287.666,-47.7463,470.37,285.061,-49.2731,468.603,256.365
-326.873,173.71,44.2416,-394.814,161.217,33.9918,-421.513,348.948,64.372,-405.612,268.45,53.346,-345.008,277.002,53.5501,-350.844,362.502,70.8954,-348.857,446.098,-6.07251,-420.788,433.251,50.4089,-378.059,477.297,136.923,-363.5,496.388,170.877,-346.563,508.365,205.222,-331.833,475.829,221.734,-348.723,461.393,185.712,-368.019,446.853,153.439,-242.802,611.235,354.272,-199.968,512.214,341.809,-236.63,540.057,358.618,-95.7456,469.814,260.091,-92.7562,469.515,287.94,-47.6193,470.238,285.311,-49.1615,468.449,256.616
-326.66,173.79,44.7141,-394.6,161.187,34.0846,-421.751,348.785,64.8551,-405.695,268.319,53.6685,-345.102,277.052,54.0551,-351.09,362.426,71.4794,-349.246,446.15,-5.43679,-421.056,433.123,51.1261,-378.146,477.087,137.61,-363.564,496.197,171.557,-346.575,508.198,205.867,-331.753,475.668,222.322,-348.695,461.218,186.338,-368.057,446.661,154.107,-242.615,611.158,354.634,-199.763,512.14,342.161,-236.414,539.985,358.979,-95.6417,469.671,260.371,-92.627,469.383,288.213,-47.4904,470.105,285.559,-49.0481,468.294,256.865
-326.422,173.886,45.1993,-394.362,161.161,34.2055,-421.988,348.623,65.3551,-405.767,268.193,54.0154,-345.184,277.113,54.578,-351.334,362.362,72.0728,-349.66,446.202,-4.79998,-421.34,432.993,51.8548,-378.244,476.877,138.304,-363.635,496.005,172.243,-346.589,508.031,206.513,-331.672,475.507,222.909,-348.668,461.043,186.964,-368.096,446.47,154.776,-242.425,611.083,354.993,-199.557,512.068,342.51,-236.196,539.916,359.336,-95.5351,469.525,260.648,-92.4961,469.248,288.485,-47.3596,469.97,285.807,-48.9328,468.137,257.114
-326.161,173.998,45.6964,-394.099,161.14,34.3563,-422.223,348.462,65.8724,-405.828,268.073,54.3874,-345.254,277.186,55.118,-351.576,362.308,72.6748,-350.097,446.255,-4.16176,-421.637,432.86,52.595,-378.352,476.667,139.005,-363.713,495.812,172.936,-346.606,507.865,207.162,-331.591,475.349,223.496,-348.641,460.869,187.59,-368.138,446.28,155.445,-242.231,611.009,355.347,-199.35,511.996,342.857,-235.975,539.848,359.69,-95.4259,469.379,260.924,-92.3635,469.113,288.755,-47.2269,469.832,286.053,-48.8156,467.978,257.361
-325.875,174.127,46.2045,-393.811,161.123,34.5391,-422.455,348.303,66.4076,-405.876,267.958,54.7855,-345.312,277.269,55.6742,-351.814,362.266,73.2849,-350.556,446.308,-3.52174,-421.949,432.724,53.3462,-378.469,476.458,139.713,-363.796,495.62,173.635,-346.624,507.701,207.813,-331.51,475.192,224.083,-348.615,460.696,188.216,-368.181,446.091,156.115,-242.033,610.938,355.697,-199.141,511.926,343.199,-235.753,539.783,360.04,-95.314,469.23,261.199,-92.2291,468.976,289.024,-47.0924,469.693,286.299,-48.6967,467.817,257.608
-325.567,174.27,46.7231,-393.499,161.11,34.7559,-422.684,348.146,66.9613,-405.912,267.848,55.2106,-345.356,277.363,56.2458,-352.049,362.234,73.9025,-351.037,446.36,-2.87951,-422.272,432.585,54.1084,-378.594,476.249,140.427,-363.884,495.427,174.34,-346.644,507.538,208.465,-331.429,475.038,224.669,-348.588,460.524,188.843,-368.225,445.904,156.787,-241.832,610.868,356.043,-198.931,511.857,343.539,-235.528,539.72,360.387,-95.1995,469.08,261.471,-92.093,468.837,289.292,-46.9561,469.552,286.544,-48.5759,467.655,257.853
-325.236,174.428,47.2515,-393.163,161.1,35.0086,-422.907,347.991,67.5343,-405.934,267.744,55.6636,-345.387,277.468,56.8319,-352.279,362.213,74.5269,-351.537,446.413,-2.23458,-422.607,432.443,54.8812,-378.728,476.042,141.146,-363.976,495.236,175.05,-346.664,507.376,209.119,-331.347,474.885,225.255,-348.562,460.354,189.47,-368.27,445.717,157.459,-241.627,610.8,356.385,-198.719,511.79,343.876,-235.301,539.66,360.731,-95.0824,468.928,261.742,-91.9553,468.697,289.559,-46.818,469.41,286.787,-48.4534,467.491,258.098
