Sh_x,Sh_y,Sh_z,El_x,El_y,El_z,Wr_x,Wr_y,Wr_z,WrVec_x,WrVec_y,WrVec_z
-145.32855715748073,72.89274700736216,68.71953670040125,-266.5049112282356,-49.2643005850271,-199.7937499853346,-231.2260278136213,-212.68194498022956,-192.28513655075744,-72.59762023384488,-19.61250522540085,-5.211900099911451
-144.25415085783976,69.6227406113662,76.47007739001849,-263.63603747245287,-49.05511800866752,-187.1627596765469,-220.85197086131387,-211.21768390502228,-182.38490892289676,-72.33948324897624,-21.84782363394418,-4.6795790851578465
-144.28622887164207,70.54340756453205,74.48643438772729,-264.23035465290104,-49.03249413286148,-190.62152787269702,-223.35252464130377,-211.54083061390097,-185.2633291012504,-72.40107128104371,-21.273363540123068,-4.858503820499834
-144.1648134306642,70.21161412587986,75.34520551483848,-263.80254699963984,-49.03109241633765,-188.9083714398974,-221.88432187781973,-211.37325389914332,-183.97278798921516,-72.34168181886119,-21.599939705717123,-4.81964171604005
-144.40103022876986,70.72057088963626,74.12555747306227,-264.1365667572088,-49.09206214124933,-190.44114943859643,-222.9910794191176,-211.563882593547,-185.20349928147618,-72.37697682531291,-21.360209369896022,-4.761159610212685
-144.57046777758055,70.58154980815418,74.27202521842928,-264.0038130139361,-49.191636760545435,-189.66907060825457,-222.23384313269707,-211.5861445952134,-184.7198767377336,-72.43487075412295,-21.457838089563033,-4.436203805760725
-144.806929778082,70.79155764171759,73.52248677043805,-264.4857424466532,-49.13421779017712,-190.86240119965822,-223.5974855544072,-211.79305616542092,-185.9988564476688,-72.53269554972752,-21.117478847212723,-4.634940694031069
-144.69688003977151,70.39268879848537,74.26006663274813,-265.4722850982912,-48.770105720353214,-190.0521079382969,-225.40024057689766,-211.65504329708259,-185.35542904740325,-72.27879072070947,-21.24446024855059,-6.285909837860402
-144.28205787153584,70.01610698990882,75.09263354927432,-268.5149442970386,-48.57519064297485,-188.9204085570606,-230.1561950732301,-211.80398927712167,-182.71783873115683,-71.3022936244337,-22.039167001780726,-9.87390767703268
-143.40317882072216,68.92745251141181,77.51205226519785,-273.40139826872877,-50.19635586862708,-183.69112828481906,-234.08264503601598,-214.1206827831937,-174.1256034837553,-69.37866875605562,-24.426122236887693,-14.205981331350943
